,minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0,0.0,0.0,18.0,False,False,(58; 76; 192),49
1,1.0,0.0,18.0,False,False,(58; 76; 192),49
2,2.0,0.0,18.0,False,False,(58; 76; 192),49
3,3.0,0.0,18.0,False,False,(58; 76; 192),49
4,4.0,0.0,18.0,False,False,(58; 76; 192),49
5,5.0,0.0,18.0,False,False,(58; 76; 192),49
6,6.0,0.0,18.0,False,False,(58; 76; 192),49
7,7.0,0.0,18.0,False,False,(58; 76; 192),49
8,8.0,0.0,18.0,False,False,(58; 76; 192),49
9,9.0,0.0,18.0,False,False,(58; 76; 192),49
10,10.0,0.0,18.0,False,False,(58; 76; 192),49
11,11.0,0.0,18.0,False,False,(58; 76; 192),49
12,12.0,0.0,18.0,False,False,(58; 76; 192),49
13,13.0,0.0,18.0,False,False,(58; 76; 192),49
14,14.0,0.0,18.0,False,False,(58; 76; 192),49
15,15.0,0.0,18.0,False,False,(58; 76; 192),49
16,16.0,0.0,18.0,False,False,(58; 76; 192),49
17,17.0,0.0,18.0,False,False,(58; 76; 192),49
18,18.0,0.0,18.0,False,False,(58; 76; 192),49
19,19.0,0.0,18.0,False,False,(58; 76; 192),49
20,20.0,0.0,18.0,False,False,(58; 76; 192),49
21,21.0,0.0,18.0,False,False,(58; 76; 192),49
22,22.0,0.0,18.0,False,False,(58; 76; 192),49
23,23.0,0.0,18.0,False,False,(58; 76; 192),49
24,24.0,0.0,18.0,False,False,(58; 76; 192),49
25,25.0,0.0,18.0,False,False,(58; 76; 192),49
26,26.0,0.0,18.0,False,False,(58; 76; 192),49
27,27.0,0.0,18.0,False,False,(58; 76; 192),49
28,28.0,0.0,18.0,False,False,(58; 76; 192),49
29,29.0,0.0,18.0,False,False,(58; 76; 192),49
30,30.0,0.0,18.0,False,False,(58; 76; 192),49
31,31.0,0.0,18.0,False,False,(58; 76; 192),49
32,32.0,0.0,18.0,False,False,(58; 76; 192),49
33,33.0,0.0,18.0,False,False,(58; 76; 192),49
34,34.0,0.0,18.0,False,False,(58; 76; 192),49
35,35.0,0.0,18.0,False,False,(58; 76; 192),49
36,36.0,0.0,18.0,False,False,(58; 76; 192),49
37,37.0,0.0,18.0,False,False,(58; 76; 192),49
38,38.0,0.0,18.0,False,False,(58; 76; 192),49
39,39.0,0.0,18.0,False,False,(58; 76; 192),49
40,40.0,0.0,18.0,False,False,(58; 76; 192),49
41,41.0,0.0,18.0,False,False,(58; 76; 192),49
42,42.0,0.0,18.0,False,False,(58; 76; 192),49
43,43.0,0.0,18.0,False,False,(58; 76; 192),49
44,44.0,0.0,18.0,False,False,(58; 76; 192),49
45,45.0,0.0,18.0,False,False,(58; 76; 192),49
46,46.0,0.0,18.011,False,True,(59; 77; 193),49
47,47.0,0.0,18.674,False,True,(171; 199; 252),49
48,48.0,0.0,19.337,False,True,(246; 182; 154),288
49,49.0,1.0,20.0,True,True,(179; 3; 38),288
50,50.0,1.0,20.0,True,True,(179; 3; 38),288
51,51.0,1.0,20.0,True,True,(179; 3; 38),288
52,52.0,1.0,20.0,True,True,(179; 3; 38),288
53,53.0,1.0,20.0,True,True,(179; 3; 38),288
54,54.0,1.0,20.0,True,True,(179; 3; 38),288
55,55.0,1.0,20.0,True,True,(179; 3; 38),288
56,56.0,1.0,20.0,True,True,(179; 3; 38),288
57,57.0,1.0,20.0,True,True,(179; 3; 38),288
58,58.0,1.0,20.0,True,True,(179; 3; 38),288
59,59.0,1.0,20.0,True,True,(179; 3; 38),288
60,60.0,1.0,20.0,True,True,(179; 3; 38),288
61,61.0,1.0,20.0,True,True,(179; 3; 38),288
62,62.0,1.0,20.0,True,True,(179; 3; 38),288
63,63.0,1.0,20.0,True,True,(179; 3; 38),288
64,64.0,1.0,20.0,True,True,(179; 3; 38),288
65,65.0,1.0,20.0,True,True,(179; 3; 38),288
66,66.0,1.0,20.0,True,True,(179; 3; 38),288
67,67.0,1.0,20.0,True,True,(179; 3; 38),288
68,68.0,1.0,20.0,True,True,(179; 3; 38),288
69,69.0,1.0,20.0,True,True,(179; 3; 38),288
70,70.0,1.0,20.0,True,True,(179; 3; 38),288
71,71.0,1.0,20.0,True,True,(179; 3; 38),288
72,72.0,1.0,20.0,True,True,(179; 3; 38),288
73,73.0,1.0,20.0,True,True,(179; 3; 38),288
74,74.0,1.0,20.0,True,True,(179; 3; 38),288
75,75.0,1.0,20.0,True,True,(179; 3; 38),288
76,76.0,1.0,20.0,True,True,(179; 3; 38),288
77,77.0,1.0,20.0,True,True,(179; 3; 38),288
78,78.0,1.0,20.0,True,True,(179; 3; 38),288
79,79.0,1.0,20.0,True,True,(179; 3; 38),288
80,80.0,1.0,20.0,True,True,(179; 3; 38),288
81,81.0,1.0,20.0,True,True,(179; 3; 38),288
82,82.0,1.0,20.0,True,True,(179; 3; 38),288
83,83.0,1.0,20.0,True,True,(179; 3; 38),288
84,84.0,1.0,20.0,True,True,(179; 3; 38),288
85,85.0,1.0,20.0,True,True,(179; 3; 38),288
86,86.0,1.0,20.0,True,True,(179; 3; 38),288
87,87.0,1.0,20.0,True,True,(179; 3; 38),288
88,88.0,1.0,20.0,True,True,(179; 3; 38),288
89,89.0,1.0,20.0,True,True,(179; 3; 38),288
90,90.0,1.0,20.0,True,True,(179; 3; 38),288
91,91.0,1.0,20.0,True,True,(179; 3; 38),288
92,92.0,1.0,20.0,True,True,(179; 3; 38),288
93,93.0,1.0,20.0,True,True,(179; 3; 38),288
94,94.0,1.0,20.0,True,True,(179; 3; 38),288
95,95.0,1.0,20.0,True,True,(179; 3; 38),288
96,96.0,1.0,20.0,True,True,(179; 3; 38),288
97,97.0,1.0,20.0,True,True,(179; 3; 38),288
98,98.0,1.0,20.0,True,True,(179; 3; 38),288
99,99.0,1.0,20.0,True,True,(179; 3; 38),288
100,100.0,1.0,20.0,True,True,(179; 3; 38),288
101,101.0,1.0,20.0,True,True,(179; 3; 38),288
102,102.0,1.0,20.0,True,True,(179; 3; 38),288
103,103.0,1.0,20.0,True,True,(179; 3; 38),288
104,104.0,1.0,20.0,True,True,(179; 3; 38),288
105,105.0,1.0,20.0,True,True,(179; 3; 38),288
106,106.0,1.0,20.0,True,True,(179; 3; 38),288
107,107.0,1.0,20.0,True,True,(179; 3; 38),288
108,108.0,1.0,20.0,True,True,(179; 3; 38),288
109,109.0,1.0,20.0,True,True,(179; 3; 38),288
110,110.0,1.0,20.0,True,True,(179; 3; 38),288
111,111.0,1.0,20.0,True,True,(179; 3; 38),288
112,112.0,1.0,20.0,True,True,(179; 3; 38),288
113,113.0,1.0,20.0,True,True,(179; 3; 38),288
114,114.0,1.0,20.0,True,True,(179; 3; 38),288
115,115.0,1.0,20.0,True,True,(179; 3; 38),288
116,116.0,1.0,20.0,True,True,(179; 3; 38),288
117,117.0,1.0,20.0,True,True,(179; 3; 38),288
118,118.0,1.0,20.0,True,True,(179; 3; 38),288
119,119.0,1.0,20.0,True,True,(179; 3; 38),288
120,120.0,1.0,20.0,True,True,(179; 3; 38),288
121,121.0,1.0,20.0,True,True,(179; 3; 38),288
122,122.0,1.0,20.0,True,True,(179; 3; 38),288
123,123.0,1.0,20.0,True,True,(179; 3; 38),288
124,124.0,1.0,20.0,True,True,(179; 3; 38),288
125,125.0,1.0,20.0,True,True,(179; 3; 38),288
126,126.0,1.0,20.0,True,True,(179; 3; 38),288
127,127.0,1.0,20.0,True,True,(179; 3; 38),288
128,128.0,1.0,20.0,True,True,(179; 3; 38),288
129,129.0,1.0,20.0,True,True,(179; 3; 38),288
130,130.0,1.0,20.0,True,True,(179; 3; 38),288
131,131.0,1.0,20.0,True,True,(179; 3; 38),288
132,132.0,1.0,20.0,True,True,(179; 3; 38),288
133,133.0,1.0,20.0,True,True,(179; 3; 38),288
134,134.0,1.0,20.0,True,True,(179; 3; 38),288
135,135.0,1.0,20.0,True,True,(179; 3; 38),288
136,136.0,1.0,20.0,True,True,(179; 3; 38),288
137,137.0,1.0,20.0,True,True,(179; 3; 38),288
138,138.0,1.0,20.0,True,True,(179; 3; 38),288
139,139.0,1.0,20.0,True,True,(179; 3; 38),288
140,140.0,1.0,20.0,True,True,(179; 3; 38),288
141,141.0,1.0,20.0,True,True,(179; 3; 38),288
142,142.0,1.0,20.0,True,True,(179; 3; 38),288
143,143.0,1.0,20.0,True,True,(179; 3; 38),288
144,144.0,1.0,20.0,True,True,(179; 3; 38),288
145,145.0,1.0,20.0,True,True,(179; 3; 38),288
146,146.0,1.0,20.0,True,True,(179; 3; 38),288
147,147.0,1.0,20.0,True,True,(179; 3; 38),288
148,148.0,1.0,20.0,True,True,(179; 3; 38),288
149,149.0,1.0,20.0,True,True,(179; 3; 38),288
150,150.0,1.0,20.0,True,True,(179; 3; 38),288
151,151.0,1.0,20.0,True,True,(179; 3; 38),288
152,152.0,1.0,20.0,True,True,(179; 3; 38),288
153,153.0,1.0,20.0,True,True,(179; 3; 38),288
154,154.0,1.0,20.0,True,True,(179; 3; 38),288
155,155.0,1.0,20.0,True,True,(179; 3; 38),288
156,156.0,1.0,20.0,True,True,(179; 3; 38),288
157,157.0,1.0,20.0,True,True,(179; 3; 38),288
158,158.0,1.0,20.0,True,True,(179; 3; 38),288
159,159.0,1.0,20.0,True,True,(179; 3; 38),288
160,160.0,1.0,20.0,True,True,(179; 3; 38),288
161,161.0,1.0,20.0,True,True,(179; 3; 38),288
162,162.0,1.0,20.0,True,True,(179; 3; 38),288
163,163.0,1.0,20.0,True,True,(179; 3; 38),288
164,164.0,1.0,20.0,True,True,(179; 3; 38),288
165,165.0,1.0,20.0,True,True,(179; 3; 38),288
166,166.0,1.0,20.0,True,True,(179; 3; 38),288
167,167.0,1.0,20.0,True,True,(179; 3; 38),288
168,168.0,1.0,20.0,True,True,(179; 3; 38),288
169,169.0,1.0,20.0,True,True,(179; 3; 38),288
170,170.0,1.0,20.0,True,True,(179; 3; 38),288
171,171.0,1.0,20.0,True,True,(179; 3; 38),288
172,172.0,1.0,20.0,True,True,(179; 3; 38),288
173,173.0,1.0,20.0,True,True,(179; 3; 38),288
174,174.0,1.0,20.0,True,True,(179; 3; 38),288
175,175.0,1.0,20.0,True,True,(179; 3; 38),288
176,176.0,1.0,20.0,True,True,(179; 3; 38),288
177,177.0,1.0,20.0,True,True,(179; 3; 38),288
178,178.0,1.0,20.0,True,True,(179; 3; 38),288
179,179.0,1.0,20.0,True,True,(179; 3; 38),288
180,180.0,1.0,20.0,True,True,(179; 3; 38),288
181,181.0,1.0,20.0,True,True,(179; 3; 38),288
182,182.0,1.0,20.0,True,True,(179; 3; 38),288
183,183.0,1.0,20.0,True,True,(179; 3; 38),288
184,184.0,1.0,20.0,True,True,(179; 3; 38),288
185,185.0,1.0,20.0,True,True,(179; 3; 38),288
186,186.0,1.0,20.0,True,True,(179; 3; 38),288
187,187.0,1.0,20.0,True,True,(179; 3; 38),288
188,188.0,1.0,20.0,True,True,(179; 3; 38),288
189,189.0,1.0,20.0,True,True,(179; 3; 38),288
190,190.0,1.0,20.0,True,True,(179; 3; 38),288
191,191.0,1.0,20.0,True,True,(179; 3; 38),288
192,192.0,1.0,20.0,True,True,(179; 3; 38),288
193,193.0,1.0,20.0,True,True,(179; 3; 38),288
194,194.0,1.0,20.0,True,True,(179; 3; 38),288
195,195.0,1.0,20.0,True,True,(179; 3; 38),288
196,196.0,1.0,20.0,True,True,(179; 3; 38),288
197,197.0,1.0,20.0,True,True,(179; 3; 38),288
198,198.0,1.0,20.0,True,True,(179; 3; 38),288
199,199.0,1.0,20.0,True,True,(179; 3; 38),288
200,200.0,1.0,20.0,True,True,(179; 3; 38),288
201,201.0,1.0,20.0,True,True,(179; 3; 38),288
202,202.0,1.0,20.0,True,True,(179; 3; 38),288
203,203.0,1.0,20.0,True,True,(179; 3; 38),288
204,204.0,1.0,20.0,True,True,(179; 3; 38),288
205,205.0,1.0,20.0,True,True,(179; 3; 38),288
206,206.0,1.0,20.0,True,True,(179; 3; 38),288
207,207.0,1.0,20.0,True,True,(179; 3; 38),288
208,208.0,1.0,20.0,True,True,(179; 3; 38),288
209,209.0,1.0,20.0,True,True,(179; 3; 38),288
210,210.0,1.0,20.0,True,True,(179; 3; 38),288
211,211.0,1.0,20.0,True,True,(179; 3; 38),288
212,212.0,1.0,20.0,True,True,(179; 3; 38),288
213,213.0,1.0,20.0,True,True,(179; 3; 38),288
214,214.0,1.0,20.0,True,True,(179; 3; 38),288
215,215.0,1.0,20.0,True,True,(179; 3; 38),288
216,216.0,1.0,20.0,True,True,(179; 3; 38),288
217,217.0,1.0,20.0,True,True,(179; 3; 38),288
218,218.0,1.0,20.0,True,True,(179; 3; 38),288
219,219.0,1.0,20.0,True,True,(179; 3; 38),288
220,220.0,1.0,20.0,True,True,(179; 3; 38),288
221,221.0,1.0,20.0,True,True,(179; 3; 38),288
222,222.0,1.0,20.0,True,True,(179; 3; 38),288
223,223.0,1.0,20.0,True,True,(179; 3; 38),288
224,224.0,1.0,20.0,True,True,(179; 3; 38),288
225,225.0,1.0,20.0,True,True,(179; 3; 38),288
226,226.0,1.0,20.0,True,True,(179; 3; 38),288
227,227.0,1.0,20.0,True,True,(179; 3; 38),288
228,228.0,1.0,20.0,True,True,(179; 3; 38),288
229,229.0,1.0,20.0,True,True,(179; 3; 38),288
230,230.0,1.0,20.0,True,True,(179; 3; 38),288
231,231.0,1.0,20.0,True,True,(179; 3; 38),288
232,232.0,1.0,20.0,True,True,(179; 3; 38),288
233,233.0,1.0,20.0,True,True,(179; 3; 38),288
234,234.0,1.0,20.0,True,True,(179; 3; 38),288
235,235.0,1.0,20.0,True,True,(179; 3; 38),288
236,236.0,1.0,20.0,True,True,(179; 3; 38),288
237,237.0,1.0,20.0,True,True,(179; 3; 38),288
238,238.0,1.0,20.0,True,True,(179; 3; 38),288
239,239.0,1.0,20.0,True,True,(179; 3; 38),288
240,240.0,1.0,20.0,True,True,(179; 3; 38),288
241,241.0,1.0,20.0,True,True,(179; 3; 38),288
242,242.0,1.0,20.0,True,True,(179; 3; 38),288
243,243.0,1.0,20.0,True,True,(179; 3; 38),288
244,244.0,1.0,20.0,True,True,(179; 3; 38),288
245,245.0,1.0,20.0,True,True,(179; 3; 38),288
246,246.0,1.0,20.0,True,True,(179; 3; 38),288
247,247.0,1.0,20.0,True,True,(179; 3; 38),288
248,248.0,1.0,20.0,True,True,(179; 3; 38),288
249,249.0,1.0,20.0,True,True,(179; 3; 38),288
250,250.0,1.0,20.0,True,True,(179; 3; 38),288
251,251.0,0.0,19.0,False,False,(221; 220; 219),288
