,minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0,0.0,0.0,18.0,False,False,(58; 76; 192),45
1,1.0,0.0,18.0,False,False,(58; 76; 192),45
2,2.0,0.0,18.0,False,False,(58; 76; 192),45
3,3.0,0.0,18.0,False,False,(58; 76; 192),45
4,4.0,0.0,18.0,False,False,(58; 76; 192),45
5,5.0,0.0,18.0,False,False,(58; 76; 192),45
6,6.0,0.0,18.0,False,False,(58; 76; 192),45
7,7.0,0.0,18.0,False,False,(58; 76; 192),45
8,8.0,0.0,18.0,False,False,(58; 76; 192),45
9,9.0,0.0,18.0,False,False,(58; 76; 192),45
10,10.0,0.0,18.0,False,False,(58; 76; 192),45
11,11.0,0.0,18.0,False,False,(58; 76; 192),45
12,12.0,0.0,18.0,False,False,(58; 76; 192),45
13,13.0,0.0,18.0,False,False,(58; 76; 192),45
14,14.0,0.0,18.0,False,False,(58; 76; 192),45
15,15.0,0.0,18.0,False,False,(58; 76; 192),45
16,16.0,0.0,18.0,False,False,(58; 76; 192),45
17,17.0,0.0,18.0,False,False,(58; 76; 192),45
18,18.0,0.0,18.0,False,False,(58; 76; 192),45
19,19.0,0.0,18.0,False,False,(58; 76; 192),45
20,20.0,0.0,18.0,False,False,(58; 76; 192),45
21,21.0,0.0,18.0,False,False,(58; 76; 192),45
22,22.0,0.0,18.0,False,False,(58; 76; 192),45
23,23.0,0.0,18.0,False,False,(58; 76; 192),45
24,24.0,0.0,18.0,False,False,(58; 76; 192),45
25,25.0,0.0,18.0,False,False,(58; 76; 192),45
26,26.0,0.0,18.0,False,False,(58; 76; 192),45
27,27.0,0.0,18.0,False,False,(58; 76; 192),45
28,28.0,0.0,18.0,False,False,(58; 76; 192),45
29,29.0,0.0,18.0,False,False,(58; 76; 192),45
30,30.0,0.0,18.0,False,False,(58; 76; 192),45
31,31.0,0.0,18.0,False,False,(58; 76; 192),45
32,32.0,0.0,18.0,False,False,(58; 76; 192),45
