,Tag,Zeit,Temp,Raum,Anzahl
0,1,8.90001,21.0,Flur 4. OG Übergang,5.0
1,1,8.901722,21.0,Flur 4. OG Übergang,5.0
2,1,8.903437,21.0,4C-01.2,5.0
3,1,8.905137,21.0,4C-01.1,5.0
4,1,8.906867,21.0,4C-01.1,5.0
5,1,8.908599,21.0,4C-01.1,5.0
6,1,8.91033649,12.0,4C-01.1,0.0
8,1,8.919045,21.0,5C-15,5.0
9,1,8.92077351,12.0,5C-15,0.0
21,1,10.0430412,12.0,5C-15,0.0
22,1,10.0448112,12.0,Vorraum 5C-15,0.0
25,1,10.0556107,12.0,4C-01.1,0.0
26,1,10.05735,12.0,4C-01.1,0.0
27,1,10.059082,21.0,4C-01.2,5.0
28,1,10.060811,12.0,Flur 4. OG Übergang,0.0
29,1,10.0625582,12.0,4C-21,0.0
30,1,10.064312,12.0,4C-21,0.0
31,1,10.0660648,12.0,Küche 4. OG,0.0
32,1,10.6309824,12.0,Küche 4. OG,0.0
33,1,10.6327333,12.0,Küche 4. OG,0.0
34,1,10.6345415,12.0,4C-21,0.0
35,1,10.6362972,12.0,Flur 4. OG Übergang,0.0
36,1,10.638031,12.0,Flur 4. OG Übergang,0.0
37,1,10.6397524,12.0,4C-01.1,0.0
38,1,10.6414661,12.0,4C-01.1,0.0
39,1,10.6432934,12.0,4C-01.1,0.0
40,1,10.6450167,12.0,4C-01.1,0.0
43,1,10.65551,21.0,5C-15,5.0
60,1,12.0693092,21.0,4C-01.1,5.0
61,1,12.0710354,21.0,4C-01.1,5.0
62,1,12.0727072,21.0,4C-01.1,5.0
63,1,12.07452,12.0,4C-01.2,0.0
64,1,12.07629,12.0,Flur 4. OG Übergang,0.0
65,1,12.1648312,12.0,Flur 4. OG Übergang,0.0
66,1,12.16663,12.0,Flur 4. OG Übergang,0.0
67,1,12.1684055,12.0,4C-01.2,0.0
68,1,12.1701679,12.0,4C-01.1,0.0
69,1,12.1719,12.0,4C-01.1,0.0
70,1,12.1737156,12.0,4C-01.1,0.0
73,1,12.1839809,21.0,Vorraum 5C-15,5.0
74,1,12.1856661,12.0,Vorraum 5C-15,0.0
75,1,12.6360178,12.0,Vorraum 5C-15,0.0
76,1,12.6377726,12.0,Vorraum 5C-15,0.0
77,1,12.63953,12.0,5C-15,0.0
78,1,12.6412449,12.0,5C-15,0.0
89,1,12.683732,12.0,5C-15,0.0
90,1,12.6854553,12.0,Vorraum 5C-15,0.0
91,1,12.6872158,12.0,5C-01.1,0.0
94,1,12.7074318,12.0,5C-01.1,0.0
95,1,12.70923,12.0,Vorraum 5C-15,0.0
131,1,15.9978476,21.0,5C-15,5.0
132,1,15.9996433,12.0,5C-15,0.0
133,1,16.0014153,12.0,Küche 5. OG,0.0
