<<<<<<< HEAD
,room,coor,floor
0,Flur_4OG_Uebergang,"[(-7.2443, 11.34), (16.249, 11.34), (16.256, 7.5219), (-7.2443, 7.4825), (-7.2443, 11.34)]",0
1,Raum_4C_01_1,"[(-7.094, 18.196), (2.057, 18.196), (2.057, 11.49), (-7.094, 11.49), (-7.094, 18.196)]",0
2,Raum_4C_01_2,"[(2.207, 18.196), (5.74, 18.196), (5.74, 11.49), (2.207, 11.49), (2.207, 18.196)]",0
3,Raum_4C_02,"[(5.89, 18.196), (12.273, 18.196), (13.136, 19.474), (19.834, 14.956), (17.497, 11.49), (5.89, 11.49), (5.89, 18.196)]",0
4,Raum_4C_03,"[(13.219, 19.599), (17.461, 25.887), (24.16, 21.369), (19.918, 15.08), (13.219, 19.599)]",0
5,Raum_4C_04,"[(17.577, 26.06), (22.867, 33.901), (27.475, 31.155), (27.475, 26.4), (24.255, 21.589), (17.577, 26.06)]",0
6,Raum_4C_05,"[(22.951, 34.026), (29.0, 42.944), (34.775, 34.432), (29.94, 31.171), (29.94, 27.651), (27.625, 27.651), (27.625, 31.24), (22.951, 34.026)]",0
7,Raum_4C_06,"[(30.09, 26.4), (30.09, 31.091), (34.859, 34.308), (40.17, 26.435), (33.411, 21.68), (30.09, 26.4)]",0
8,Raum_4C_07_1,"[(32.222, 23.369), (39.015, 28.157), (41.723, 24.132), (34.915, 19.541), (32.222, 23.369)]",0
9,Raum_5C_07_2,"[(35.002, 19.418), (41.807, 24.008), (44.566, 19.917), (37.841, 15.381), (35.002, 19.418)]",0
10,Raum_4C_08,"[(37.927, 15.259), (44.65, 19.793), (49.974, 11.899), (40.29, 11.899), (37.927, 15.259)]",0
11,Raum_4C_09,"[(41.49, 11.749), (50.075, 11.749), (52.941, 7.5), (41.45, 7.5), (41.49, 11.749)]",0
12,Raum_4C_10,"[(45.386, 7.35), (53.042, 7.35), (58.0, 0.0), (45.386, 0.0), (45.386, 7.35)]",0
13,Raum_4C_11,"[(37.429, 7.35), (45.236, 7.35), (45.236, 0.0), (37.429, 0.0), (37.429, 7.35)]",0
14,Herren_WC_4OG,"[(29.075, 4.0385), (30.827, 4.276), (32.467, 4.939), (33.893, 5.9849), (35.017, 7.35), (37.279, 7.35), (37.279, 0.0), (29.075, 0.0), (29.075, 4.0385)]",0
15,Damen_WC_4OG,"[(20.233, 7.35), (22.983, 7.35), (24.107, 5.9849), (25.533, 4.939), (27.173, 4.2765), (28.925, 4.0385), (28.925, 0.0), (24.609, 0.0), (24.609, 3.0671), (20.233, 3.0671), (20.233, 7.35)]",0
16,Kueche_4OG,"[(12.368, 7.35), (20.083, 7.35), (20.083, 2.9171), (24.459, 2.9171), (24.459, 0.0), (12.368, 0.0), (12.368, 7.35)]",0
17,Raum_4C_21,"[(4.9576, 7.35), (12.218, 7.35), (12.218, 0.0), (0.0, 0.0), (4.9576, 7.35)]",0
