day,time,time_new,day_new,week_num,x,y,z,no_movement
2,8.000535,8:0:1,2,0.0,-0.409999847,-7.217,-8.12,
2,8.002262,8:0:8,2,0.0,-0.9223852,-6.35942268,-9.074557,
2,8.00403,8:0:14,2,0.0,-2.75093937,-6.36815548,-12.7096977,
2,8.005743,8:0:20,2,0.0,-1.22872448,-6.3813653,-16.01871,
2,8.007473,8:0:26,2,0.0,2.04634023,-6.392756,-17.9411888,
2,8.009214,8:0:33,2,0.0,4.61591434,-6.392756,-15.5567932,
2,8.010889,8:0:39,2,0.0,6.165951,-5.174482,-12.5368176,
2,8.012665,8:0:45,2,0.0,6.77441454,-3.75942278,-9.737327,
2,8.014424,8:0:51,2,0.0,3.609376,-3.690927,-8.710168,
2,8.01614952,8:0:58,2,0.0,-0.2635908,-0.264867425,-8.462763,
2,8.01791,8:1:4,2,0.0,-4.42943668,-0.2594229,-8.11829948,
2,8.019641,8:1:10,2,0.0,-6.08922672,-0.2594229,-5.783885,
2,8.021407,8:1:17,2,0.0,-3.07665157,-0.2594229,-3.94039583,
2,8.023163,8:1:23,2,0.0,0.8485222,-0.2594229,-2.39803219,
2,8.02489,8:1:29,2,0.0,4.682062,-0.2594229,-0.925242543,True
2,9.16144848,9:9:41,2,0.0,5.54,-0.2594229,1.15,
2,9.163129,9:9:47,2,0.0,6.15074,-0.2594229,0.5321976,
2,9.164883,9:9:53,2,0.0,6.96466827,-0.2594229,-2.11683559,
2,9.166658,9:9:59,2,0.0,3.42249632,-0.2594229,-3.2794838,
2,9.168428,9:10:6,2,0.0,-0.5397911,-0.2594229,-4.020021,
2,9.170154,9:10:12,2,0.0,-4.22188473,-0.2594229,-5.7250824,
2,9.171952,9:10:19,2,0.0,-6.28741741,-0.2594229,-8.342605,
2,9.173627,9:10:25,2,0.0,-5.433612,-0.2594229,-7.63041067,
2,9.175472,9:10:31,2,0.0,-2.111332,-0.2594229,-8.959098,
2,9.177165,9:10:37,2,0.0,1.48898792,-1.55957115,-8.788094,
2,9.178998,9:10:44,2,0.0,4.60445547,-3.75942278,-9.05484,
2,9.180715,9:10:50,2,0.0,7.369513,-3.84432983,-11.818634,
2,9.182461,9:10:56,2,0.0,6.948077,-6.392756,-14.7494926,
2,9.184283,9:11:3,2,0.0,9.175814,-6.392756,-18.0885029,
2,9.186033,9:11:9,2,0.0,9.655981,-6.392756,-21.8892689,
2,9.187771,9:11:15,2,0.0,7.373469,-6.392756,-22.4096222,True
2,9.426662,9:25:35,2,0.0,8.1,-6.392756,-24.57,
2,9.428442,9:25:42,2,0.0,7.48288536,-6.392756,-23.6529179,
2,9.430196,9:25:48,2,0.0,7.044693,-6.392756,-20.63675,
2,9.431923,9:25:54,2,0.0,9.404469,-6.392756,-21.0000019,
2,9.433675,9:26:1,2,0.0,10.6829939,-6.392756,-20.9097729,
2,9.435417,9:26:7,2,0.0,9.21279049,-6.392756,-17.979826,
2,9.437201,9:26:13,2,0.0,6.985928,-6.26877165,-14.3921471,
2,9.438981,9:26:20,2,0.0,6.80892038,-3.75942278,-10.9560461,
2,9.440741,9:26:26,2,0.0,4.475334,-3.75942278,-8.735745,
2,9.44251251,9:26:33,2,0.0,0.5619087,-0.8081893,-8.49997,
2,9.44425,9:26:39,2,0.0,-3.585147,-0.2594229,-8.251585,
2,9.445986,9:26:45,2,0.0,-6.265213,-0.2594229,-6.76828957,
