day,time,x,y,z,hour,minute,time_new,day_new,week_num,no_movement_1min,no_movement_5min,no_movement_15min,datetime
1,8.867783,5.81600952,-9.69,-9.3949995,8,52,08:52:00,1,0.0,0.0,0.0,0.0,2023-01-02 08:52:00
1,8.869455,2.1620903,-8.933346,-9.423514,8,52,08:52:00,1,0.0,0.0,0.0,0.0,2023-01-02 08:52:00
1,8.871124,-1.84346008,-8.933346,-9.45478,8,52,08:52:00,1,0.0,0.0,0.0,0.0,2023-01-02 08:52:00
1,8.872792,-5.84722137,-8.933346,-9.48603,8,52,08:52:00,1,0.0,0.0,0.0,0.0,2023-01-02 08:52:00
1,8.874465,-9.862427,-8.933346,-9.517365,8,52,08:52:00,1,0.0,0.0,0.0,0.0,2023-01-02 08:52:00
1,8.876134,-13.8687191,-8.933346,-9.548631,8,52,08:52:00,1,0.0,0.0,0.0,0.0,2023-01-02 08:52:00
1,8.877803,-17.87204,-8.933346,-9.579879,8,52,08:52:00,1,0.0,0.0,0.0,0.0,2023-01-02 08:52:00
1,8.879472,-21.8777657,-8.92945,-9.611142,8,52,08:52:00,1,0.0,0.0,0.0,0.0,2023-01-02 08:52:00
1,8.881143,-25.8861389,-8.914899,-9.64242649,8,52,08:52:00,1,0.0,0.0,0.0,0.0,2023-01-02 08:52:00
1,8.8828125,-29.8965416,-8.901427,-9.673724,8,52,08:52:00,1,0.0,0.0,0.0,0.0,2023-01-02 08:52:00
1,8.884484,-33.9074326,-8.906971,-9.70503,8,53,08:53:00,1,0.0,0.0,0.0,0.0,2023-01-02 08:53:00
1,8.886156,-37.86626,-8.933346,-9.827269,8,53,08:53:00,1,0.0,0.0,0.0,0.0,2023-01-02 08:53:00
1,8.887831,-39.9507446,-8.933346,-13.1036816,8,53,08:53:00,1,0.0,0.0,0.0,0.0,2023-01-02 08:53:00
1,8.889499,-43.83432,-8.933346,-14.0035572,8,53,08:53:00,1,0.0,1.0,1.0,1.0,2023-01-02 08:53:00
1,9.95647,-44.38,-8.933346,-14.13,9,57,09:57:00,1,0.0,0.0,0.0,0.0,2023-01-02 09:57:00
1,9.958141,-40.882225,-8.933346,-13.2622862,9,57,09:57:00,1,0.0,0.0,0.0,0.0,2023-01-02 09:57:00
1,9.959811,-38.17092,-8.933346,-10.741293,9,57,09:57:00,1,0.0,0.0,0.0,0.0,2023-01-02 09:57:00
1,9.961479,-35.17695,-8.933346,-10.6147432,9,57,09:57:00,1,0.0,0.0,0.0,0.0,2023-01-02 09:57:00
1,9.963148,-32.5879364,-7.350571,-12.4936123,9,57,09:57:00,1,0.0,0.0,0.0,0.0,2023-01-02 09:57:00
1,9.964816,-30.1594677,-4.914761,-14.0818539,9,57,09:57:00,1,0.0,0.0,0.0,0.0,2023-01-02 09:57:00
1,9.966489,-27.368227,-2.221901,-14.06339,9,57,09:57:00,1,0.0,0.0,0.0,0.0,2023-01-02 09:57:00
1,9.968161,-25.2635651,0.453169823,-12.074542,9,58,09:58:00,1,0.0,0.0,0.0,0.0,2023-01-02 09:58:00
1,9.969829,-26.7588711,1.56665516,-10.2120743,9,58,09:58:00,1,0.0,0.0,0.0,0.0,2023-01-02 09:58:00
1,9.971502,-30.74752,1.56665516,-9.73868752,9,58,09:58:00,1,0.0,0.0,0.0,0.0,2023-01-02 09:58:00
1,9.97317,-34.5645676,1.56665421,-9.132729,9,58,09:58:00,1,0.0,0.0,0.0,0.0,2023-01-02 09:58:00
1,9.974846,-38.10118,1.56665421,-8.553702,9,58,09:58:00,1,0.0,0.0,0.0,0.0,2023-01-02 09:58:00
1,9.976516,-41.3854027,1.56665421,-6.42215633,9,58,09:58:00,1,0.0,0.0,0.0,0.0,2023-01-02 09:58:00
1,9.978185,-45.38417,1.56665421,-6.158128,9,58,09:58:00,1,0.0,0.0,0.0,0.0,2023-01-02 09:58:00
