Day,Time,X,Y,Z
0,8.801399,5.816021,-9.69,-9.395004
0,8.803071,3.52032471,-8.933346,-9.422901
0,8.804742,-0.490257263,-8.933346,-9.471657
0,8.806419,-4.515484,-8.933346,-9.52058
0,8.808087,-8.518303,-8.933346,-9.569229
0,8.809757,-12.5245743,-8.933346,-9.617931
0,8.811425,-16.5272865,-8.933346,-9.666588
0,8.813097,-20.53614,-8.933346,-9.739834
0,8.814764,-24.4128036,-8.907657,-9.921078
0,8.816437,-28.2972126,-8.841141,-10.1659851
0,8.818108,-32.18055,-8.758616,-10.4896011
0,8.819779,-33.7148132,-8.121191,-11.6535206
0,8.82145,-31.437212,-6.14886141,-13.4079418
0,8.823125,-28.7762642,-3.53463745,-14.4474316
0,8.824794,-25.8975258,-0.82583797,-13.3093605
0,8.826465,-24.950058,1.56665456,-10.6716576
0,8.828134,-27.21898,1.56665456,-9.126003
0,8.829801,-31.2197857,1.56665456,-9.051275
0,8.831473,-35.2338371,1.56665456,-8.97629
0,8.833142,-39.0681534,1.56665456,-8.565161
0,8.834814,-39.9956665,1.56665456,-7.73333454
0,8.836483,-38.9894028,1.56665456,-6.601261
0,8.838155,-42.0395241,1.56665456,-6.09705639
0,8.839823,-46.0402069,1.56665456,-5.95136738
0,8.841494,-50.0463181,1.56665456,-5.805486
0,9.966794,-51.57,1.56665456,-5.75
0,9.968465,-49.2396736,1.56665456,-5.91104746
0,9.970135,-45.2505569,1.56665456,-6.17096567
0,9.971802,-41.3155365,1.56665456,-6.44758129
0,9.973474,-37.9924355,1.56665456,-8.514265
0,9.975142,-34.46417,1.56665456,-9.749191
0,9.976813,-30.4529114,1.56665456,-9.725763
0,9.978481,-26.4491539,1.56665456,-9.702385
0,9.980153,-22.43666,1.56665456,-9.678951
0,9.981822,-18.4329414,1.56665456,-9.741119
0,9.983494,-13.2354279,1.56665456,-9.349545
0,9.985165,-9.376984,1.56665456,-8.5811
0,10.0454473,-9.019978,1.56665456,-8.510002
0,10.047121,-11.3197212,1.56665456,-8.945244
0,10.0487881,-16.262394,1.56665456,-9.833332
0,10.0504608,-20.474474,1.56665456,-9.64645
0,10.0521326,-24.48254,1.56665456,-9.478903
0,10.0538006,-28.4825668,1.56665456,-9.311687
