Day,Time,X,Y,Z
2,8.811213,-0.409999847,-7.217,-8.119999
2,8.812984,-2.14029217,-6.35942268,-11.310091
2,8.814738,-1.64881706,-6.369543,-15.1353588
2,8.816567,1.65215111,-6.392756,-17.39489
2,8.818363,5.938998,-6.392756,-17.0714264
2,8.820174,9.678283,-6.392756,-18.28124
2,8.822016,8.726497,-6.392756,-21.67671
2,8.8237,6.98746824,-6.392756,-23.7811241
2,8.984183,8.1,-6.392756,-24.57
2,9.088448,8.1,-6.392756,-24.57
2,10.3599815,8.1,-6.392756,-24.57
2,10.3617287,6.864239,-6.392756,-21.4742756
2,10.3869467,5.02,-6.392756,-20.19
2,10.3887291,7.626004,-6.392756,-20.8593063
2,10.3904648,7.729403,-6.392756,-24.29335
2,10.4154844,8.1,-6.392756,-24.57
2,10.4172468,6.67567873,-6.392756,-22.4031315
2,10.4189453,10.0714579,-6.392756,-20.9140778
2,10.4206953,8.69718,-6.392756,-17.364502
2,10.4224138,6.98646832,-5.976669,-13.8770533
2,10.4241867,6.608137,-3.75942278,-10.4132357
2,10.4259262,2.950335,-3.11614656,-8.643562
2,10.4277287,-1.1740694,-0.244636536,-8.395084
2,10.4294357,-5.228325,-0.259422779,-8.088387
2,10.4311934,-9.433706,-0.259422779,-7.99770164
2,10.4329119,-10.4482822,-0.259422779,-11.8414822
2,10.4346619,-9.005541,-0.259422779,-15.3739967
2,10.4597187,-9,-0.259422779,-15.38
2,10.4614925,-10.1552258,-0.259422779,-13.64726
2,10.4632673,-10.7507992,-0.259422779,-12.5392447
2,10.4650145,-9.253349,-0.259422779,-8.633428
2,10.4667253,-5.92752171,-0.259422779,-7.820999
2,10.4685545,-1.787199,-0.247193813,-8.455608
2,10.4703045,1.47242546,-1.53472662,-8.701286
2,10.4719725,4.358107,-3.75942278,-9.127405
2,10.4737425,7.34900045,-3.88715267,-11.8265162
2,10.4754925,7.30185461,-6.392756,-15.0777168
2,10.4772625,9.264864,-6.392756,-18.784832
2,10.4790421,8.511081,-6.392756,-21.769783
2,10.4807539,7.361855,-6.392756,-23.9817524
2,11.83728,8.1,-6.392756,-24.57
2,11.8391037,6.851837,-6.392756,-22.7635632
2,11.8408346,9.970629,-6.392756,-20.91505
2,11.84259,8.781669,-6.392756,-17.5797729
2,11.8444233,6.992304,-5.88425732,-13.8277378
2,11.8462772,6.43508625,-3.75942278,-10.3238487
2,11.8480062,2.890829,-3.05976343,-8.628926
2,11.8497849,-0.5075512,-0.2341919,-9.002344
2,11.85146,-2.55458832,-0.259422779,-12.2121563
2,11.8532534,-0.9585972,-0.259422779,-15.9492512
2,11.855092,2.63363314,-0.259422779,-17.3906021
2,11.8567753,6.62217236,-0.259422779,-17.12828
2,11.8584671,9.625125,-0.259422779,-18.8199081
2,11.8602219,9.56089,-0.259422779,-22.63832
2,11.8619995,12.9495907,-0.226089,-24.2287674
2,11.863759,16.239,-0.3211379,-24.917
2,11.955143,16.239,-0.3211379,-24.917
2,11.956954,13.8916445,-0.226089,-24.2253151
2,11.958765,9.726732,-0.259422779,-23.0207386
2,11.9606991,9.63121,-0.259422779,-19.21216
2,11.9624043,6.958793,-0.259422779,-16.8134613
2,11.9641275,2.82949162,-0.259422779,-16.8598957
2,11.9658508,-0.753984451,-0.259422779,-15.366272
2,11.9675827,-2.460518,-0.259422779,-12.086
2,11.969285,-0.2241373,-0.303442,-8.849655
2,11.9709654,2.699759,-2.75695276,-8.764788
2,11.9727421,5.845085,-3.75942278,-10.24888
2,11.9745235,7.142627,-5.428537,-13.3666868
2,11.9761963,8.213098,-6.392756,-16.730999
2,11.9778805,9.727775,-6.392756,-20.3782921
2,11.9797115,6.93510151,-6.392756,-22.3707
2,11.9814615,8.1,-6.392756,-24.57
2,12.13184,8.1,-6.392756,-24.57
2,12.13361,6.578916,-6.392756,-22.3050652
2,12.1353941,10.0490847,-6.392756,-20.9042664
2,12.1370668,8.682582,-6.392756,-17.35694
2,12.1388531,7.01970863,-5.749108,-13.7743864
2,12.1406717,6.423858,-3.75942278,-10.335001
2,12.14245,2.685234,-2.89805174,-8.534569
2,12.1442165,-1.38277149,-0.247267246,-8.335184
