minute_idx,PersonenAnzahl,temp,rgb_value
45,1.0,20.77620666674128,"(234, 211, 199)"
48,2.0,19.25771572181386,"(141, 175, 253)"
71,1.0,20.147673368560973,"(200, 215, 239)"
116,2.0,19.687310924337453,"(171, 199, 252)"
154,1.0,22.066771085459056,"(234, 125, 97)"
176,0.0,21.116281438647057,"(244, 196, 173)"
184,1.0,21.304597250295878,"(246, 185, 157)"
247,0.0,18.8644618946131,"(113, 148, 244)"
284,1.0,19.94673209225118,"(188, 209, 246)"
286,2.0,20.550821545414326,"(223, 219, 217)"
310,1.0,20.236496789278206,"(206, 217, 235)"
361,2.0,22.439844250525006,"(217, 88, 71)"
655,3.0,20.017017308438696,"(193, 212, 244)"
685,2.0,19.797172671266583,"(179, 204, 250)"
702,3.0,18.90223566846001,"(116, 151, 245)"
808,2.0,19.67850580199396,"(170, 198, 253)"
899,3.0,18.797961086487938,"(108, 142, 241)"
1028,2.0,21.457925928148008,"(247, 174, 145)"
1047,3.0,21.045234090182984,"(242, 200, 179)"
1255,2.0,18.707666155316808,"(103, 136, 237)"
1276,3.0,18.170903163281302,"(67, 90, 204)"
1441,2.0,18.252223114047077,"(72, 96, 209)"
1443,1.0,20.357007509479068,"(213, 219, 229)"
1445,0.0,18.54662862912295,"(91, 121, 228)"
1481,1.0,18.09299329704988,"(63, 83, 198)"
1485,3.0,20.868052018493273,"(237, 208, 193)"
1895,2.0,20.144976897357452,"(200, 215, 239)"
1930,3.0,22.26904272674354,"(226, 106, 83)"
2047,2.0,18.88454138497432,"(115, 149, 244)"
2082,3.0,22.10726844062478,"(233, 121, 94)"
2555,2.0,21.341681116105494,"(246, 182, 154)"
2577,3.0,21.6965296700445,"(244, 157, 126)"
2619,2.0,22.926105095677816,"(184, 17, 41)"
2649,1.0,22.980829697657747,"(179, 3, 38)"
2679,2.0,22.898989123959865,"(187, 26, 43)"
2703,3.0,22.89682065380753,"(187, 26, 43)"
2753,2.0,20.321215396368707,"(210, 218, 231)"
2823,3.0,20.0863668239062,"(197, 213, 242)"
2873,2.0,19.45698864248719,"(155, 187, 254)"
2904,1.0,22.341367042606983,"(222, 98, 78)"
2929,2.0,19.154878121347128,"(134, 169, 252)"
2933,3.0,22.78990871632102,"(194, 45, 49)"
