minute_idx,PersonenAnzahl,temp,rgb_value
628,1.0,20.343855011224868,"(213, 219, 229)"
769,0.0,21.32280673424991,"(246, 183, 156)"
804,1.0,19.07010938624887,"(127, 162, 250)"
851,0.0,18.261368091491534,"(73, 98, 211)"
879,1.0,20.617050106785033,"(226, 217, 212)"
928,0.0,20.034050155273555,"(194, 212, 243)"
967,1.0,19.857463620460486,"(183, 207, 249)"
1010,0.0,18.4969815236346,"(88, 118, 226)"
1029,1.0,22.685340525515848,"(202, 61, 56)"
1083,0.0,20.581190732523414,"(225, 218, 214)"
1236,1.0,20.680887124724045,"(230, 215, 207)"
1260,0.0,21.362920556617343,"(247, 181, 152)"
1295,1.0,22.150871552938398,"(231, 117, 92)"
1450,0.0,18.49585816435436,"(88, 118, 226)"
1485,1.0,22.39018360457099,"(220, 94, 75)"
1514,0.0,20.81114748232416,"(235, 211, 198)"
1532,1.0,18.20893899802871,"(70, 93, 207)"
1655,0.0,20.36206031663628,"(213, 219, 229)"
1691,1.0,22.4571394470325,"(216, 86, 70)"
1858,0.0,22.70844685951007,"(200, 56, 53)"
2027,1.0,22.370840446776675,"(221, 96, 76)"
2045,0.0,19.98007996653824,"(190, 211, 245)"
2077,1.0,20.806407076564042,"(235, 211, 198)"
