minute_idx,PersonenAnzahl,temp,rgb_value
176,1.0,20.585857741100877,"(225, 218, 214)"
247,2.0,22.553608645776816,"(210, 75, 63)"
248,3.0,18.395872773859978,"(82, 110, 220)"
281,2.0,22.272378527771824,"(226, 106, 83)"
284,1.0,20.9151663464341,"(239, 206, 188)"
286,0.0,19.894468938067813,"(184, 207, 248)"
397,1.0,18.335315868074872,"(78, 105, 216)"
513,0.0,22.27679986933604,"(226, 106, 83)"
670,1.0,19.413544603319792,"(152, 185, 254)"
797,0.0,20.437858153962488,"(217, 220, 224)"
808,1.0,22.780331865238022,"(196, 48, 50)"
845,2.0,21.76763162872929,"(243, 152, 121)"
894,1.0,18.348438946185222,"(78, 105, 216)"
899,0.0,21.9648734961514,"(238, 134, 105)"
906,1.0,22.843304356535434,"(191, 40, 46)"
922,2.0,22.911517016705332,"(185, 22, 42)"
949,1.0,20.350987801841534,"(213, 219, 229)"
958,0.0,21.52863983203435,"(246, 170, 140)"
959,1.0,22.485450710500892,"(215, 84, 68)"
982,2.0,19.312178003762746,"(145, 179, 254)"
996,1.0,21.385253566801904,"(247, 179, 151)"
1023,2.0,20.233757035321222,"(206, 217, 235)"
1061,1.0,20.553012799074686,"(223, 219, 217)"
1069,0.0,21.48079629521144,"(247, 173, 143)"
1126,2.0,20.874944057524324,"(237, 207, 192)"
1232,1.0,21.42669340759408,"(247, 177, 148)"
1265,0.0,18.830304424328745,"(111, 145, 242)"
1370,1.0,18.3034560611183,"(76, 102, 214)"
1397,0.0,19.257111752662844,"(141, 175, 253)"
1441,1.0,22.526999922842798,"(212, 79, 66)"
1443,2.0,20.753306286652403,"(232, 213, 202)"
1445,3.0,20.646084217232477,"(228, 216, 209)"
1446,5.0,22.700668819022727,"(201, 59, 55)"
1451,6.0,19.834326231074396,"(180, 205, 250)"
1453,7.0,18.76898578670431,"(107, 141, 240)"
1478,6.0,20.00366349245545,"(192, 211, 245)"
1479,5.0,18.094988804651337,"(63, 83, 198)"
1481,4.0,19.812164904684685,"(179, 204, 250)"
1483,3.0,22.10232572344982,"(233, 121, 94)"
1485,1.0,21.005486317207247,"(241, 202, 182)"
1495,0.0,19.822879065236933,"(180, 205, 250)"
1511,1.0,20.30149379585216,"(209, 218, 232)"
1567,2.0,21.89817007088356,"(240, 141, 111)"
1605,1.0,19.094511490948825,"(130, 165, 251)"
1621,0.0,19.94186003050264,"(188, 209, 246)"
1655,1.0,21.169851228544637,"(245, 193, 168)"
1691,0.0,22.52358527030979,"(212, 79, 66)"
1731,1.0,19.955517505550876,"(189, 210, 246)"
1807,0.0,22.56623746025665,"(210, 75, 63)"
2041,1.0,22.532970295228267,"(211, 77, 64)"
2047,2.0,22.44161607479501,"(217, 88, 71)"
2049,4.0,21.1758144207628,"(245, 193, 168)"
2056,5.0,20.86682425194748,"(237, 208, 193)"
2082,4.0,22.79333286395989,"(194, 45, 49)"
2089,2.0,22.329260964804337,"(223, 100, 79)"
2093,1.0,21.247562216955057,"(246, 188, 162)"
2096,0.0,20.293573082666448,"(209, 218, 232)"
2165,1.0,22.87670036200004,"(188, 31, 44)"
2196,2.0,20.229564450494326,"(206, 217, 235)"
2221,1.0,19.522820789513496,"(159, 190, 254)"
2262,2.0,20.310351220211984,"(210, 218, 231)"
2281,1.0,18.1720822900775,"(67, 90, 204)"
2333,2.0,22.321709858512918,"(223, 100, 79)"
2451,1.0,20.05893466958359,"(195, 213, 242)"
2488,2.0,21.99163614599955,"(237, 132, 103)"
2498,3.0,19.32426921576515,"(145, 179, 254)"
2528,2.0,19.471846874242704,"(156, 188, 254)"
2544,1.0,20.148550490844606,"(201, 215, 238)"
2593,2.0,21.0768849869196,"(243, 198, 176)"
2619,3.0,20.55501736531013,"(223, 219, 217)"
2629,2.0,20.68206092144334,"(230, 215, 207)"
2644,4.0,19.02688624869372,"(124, 160, 249)"
2649,5.0,20.089105710587305,"(197, 213, 242)"
2653,6.0,21.67406050404609,"(245, 158, 127)"
2677,5.0,21.81148830481754,"(242, 147, 117)"
2678,4.0,20.67513547309371,"(229, 216, 208)"
2679,3.0,19.594077073770542,"(164, 194, 254)"
2682,2.0,21.544812610145144,"(246, 169, 138)"
2703,1.0,19.513000666702418,"(159, 190, 254)"
2722,2.0,20.172611861751268,"(202, 216, 238)"
2750,1.0,22.21525668656339,"(229, 112, 87)"
2753,2.0,22.02795046172918,"(236, 128, 100)"
2823,1.0,22.551397755463565,"(210, 75, 63)"
2929,2.0,19.079786511131445,"(128, 164, 250)"
