,minute_idx,PersonenAnzahl,temp,rgb_value
0,0,0.0,18.0,"(221, 96, 76)"
1,37,1.0,20.743138021770797,"(232, 213, 202)"
2,45,2.0,18.22108661327868,"(71, 95, 208)"
3,243,0.0,19.61883980277513,"(166, 195, 253)"
4,299,1.0,21.536011136342417,"(246, 169, 138)"
5,304,2.0,18.386592412885506,"(81, 108, 219)"
6,359,1.0,18.232983805565272,"(71, 95, 208)"
7,412,2.0,22.89555007016189,"(187, 26, 43)"
8,641,3.0,19.65809672531617,"(168, 197, 253)"
9,681,4.0,21.915896393840768,"(240, 139, 109)"
10,685,5.0,19.8503665144282,"(182, 206, 249)"
11,702,4.0,18.1496412417854,"(66, 88, 202)"
12,738,3.0,20.23592433798911,"(206, 217, 235)"
13,797,4.0,18.58107817578284,"(93, 125, 230)"
14,808,3.0,21.438539530495746,"(247, 176, 146)"
15,843,2.0,18.27686998674537,"(75, 100, 212)"
16,847,1.0,19.3294517284928,"(146, 180, 254)"
17,850,0.0,20.05159365983292,"(195, 213, 242)"
18,885,1.0,22.029936930295168,"(236, 128, 100)"
19,900,2.0,18.924117911348784,"(117, 152, 246)"
20,905,3.0,19.31045039723608,"(145, 179, 254)"
21,949,4.0,18.83633861279055,"(111, 145, 242)"
22,959,3.0,22.328608591260863,"(223, 100, 79)"
23,996,4.0,20.145805543460696,"(200, 215, 239)"
24,1023,3.0,20.152239468018063,"(201, 215, 238)"
25,1028,4.0,20.485309308341225,"(220, 220, 221)"
26,1047,3.0,22.87279509137401,"(188, 31, 44)"
27,1069,4.0,20.38539207926764,"(215, 219, 226)"
28,1126,3.0,22.04280662532553,"(236, 128, 100)"
29,1320,4.0,20.473524941250464,"(219, 220, 222)"
30,1336,3.0,21.64981145467428,"(245, 161, 130)"
31,1338,2.0,22.9653915747353,"(181, 8, 39)"
32,1344,3.0,21.56466530051327,"(246, 167, 137)"
33,1392,4.0,21.11683513064172,"(244, 196, 173)"
34,1441,3.0,21.286846165987992,"(246, 186, 159)"
35,1445,1.0,22.51688315144097,"(212, 79, 66)"
36,1446,0.0,22.35973740414648,"(221, 96, 76)"
37,1491,1.0,18.08717625347657,"(63, 83, 198)"
38,1517,0.0,21.651033975361003,"(245, 161, 130)"
39,1533,1.0,19.093518784975146,"(128, 164, 250)"
40,1545,2.0,19.32250725743684,"(145, 179, 254)"
41,1548,3.0,18.883248879429328,"(115, 149, 244)"
42,1568,4.0,20.730360224046755,"(231, 214, 204)"
43,1573,3.0,19.80286783545166,"(179, 204, 250)"
44,1631,4.0,21.703026876173794,"(244, 157, 126)"
45,1675,5.0,18.84881370150037,"(112, 147, 243)"
46,1693,4.0,18.41425879792741,"(83, 112, 221)"
47,1831,5.0,21.03598169587725,"(242, 200, 179)"
48,1858,4.0,19.289431688943075,"(144, 178, 254)"
49,1859,2.0,21.20549836869416,"(245, 191, 165)"
50,1860,1.0,18.3041383579651,"(76, 102, 214)"
51,1865,0.0,22.89771558931686,"(187, 26, 43)"
52,2020,2.0,20.623511537535187,"(227, 217, 211)"
53,2028,5.0,19.605297005639805,"(166, 195, 253)"
54,2041,4.0,20.977591892085933,"(241, 203, 184)"
55,2045,3.0,18.403505527903366,"(82, 110, 220)"
56,2049,1.0,21.611726305232963,"(246, 164, 134)"
57,2053,0.0,18.105485669526534,"(64, 84, 199)"
58,2077,1.0,19.51066942069975,"(159, 190, 254)"
59,2089,3.0,20.08211333141357,"(197, 213, 242)"
60,2096,4.0,19.8825010066708,"(184, 207, 248)"
61,2100,5.0,21.599772232364604,"(246, 164, 134)"
62,2144,4.0,21.40782645021891,"(247, 178, 149)"
63,2201,5.0,20.14486844553017,"(200, 215, 239)"
64,2242,4.0,21.390559313807945,"(247, 179, 151)"
65,2291,5.0,19.417299335570547,"(152, 185, 254)"
66,2333,4.0,20.79703432037163,"(235, 211, 198)"
67,2497,5.0,22.562725289817035,"(210, 75, 63)"
68,2498,4.0,20.323870215746037,"(210, 218, 231)"
69,2544,5.0,18.342184325941425,"(78, 105, 216)"
70,2555,6.0,22.8474469737912,"(190, 35, 45)"
71,2577,5.0,19.853156623157243,"(182, 206, 249)"
72,2587,4.0,18.536318377489422,"(91, 121, 228)"
73,2593,3.0,19.957110089492705,"(189, 210, 246)"
74,2629,4.0,22.165901769831816,"(230, 116, 90)"
75,2632,5.0,19.37192896848439,"(149, 183, 254)"
76,2647,3.0,19.045859630987284,"(126, 161, 249)"
77,2648,2.0,22.44713555927695,"(217, 88, 71)"
78,2649,1.0,22.79917939332413,"(194, 45, 49)"
79,2692,2.0,22.14056970359844,"(232, 119, 93)"
80,2699,3.0,19.3606575142474,"(148, 181, 254)"
81,2700,4.0,22.644869602238,"(205, 66, 58)"
82,2712,5.0,20.0633642731143,"(195, 213, 242)"
83,2722,4.0,22.97780431754522,"(181, 8, 39)"
84,2750,5.0,20.015549903391243,"(193, 212, 244)"
85,2778,4.0,21.000669469474527,"(241, 202, 182)"
86,2828,5.0,20.260576692159734,"(207, 217, 234)"
87,2904,6.0,19.139465883593665,"(133, 168, 251)"
88,2929,5.0,21.114199367214635,"(244, 196, 173)"
89,2933,4.0,20.85286974609972,"(237, 208, 193)"
