minute_idx,PersonenAnzahl,temp,rgb_value
612,1.0,19.9234325936033,"(187, 209, 247)"
627,2.0,21.25828919679175,"(246, 188, 162)"
852,1.0,21.1154562879891,"(244, 196, 173)"
891,2.0,20.22513114468353,"(205, 217, 236)"
951,1.0,21.086853171715973,"(243, 197, 175)"
1010,2.0,20.67977547268725,"(230, 215, 207)"
1066,1.0,21.231764859681544,"(246, 189, 164)"
1077,0.0,20.69519478757363,"(230, 215, 207)"
1114,1.0,22.647955504353988,"(205, 66, 58)"
1143,0.0,20.850068158657407,"(236, 209, 195)"
1212,1.0,18.811183830986817,"(109, 144, 241)"
1217,2.0,20.270491733270568,"(208, 218, 233)"
1441,1.0,21.65630782094553,"(245, 160, 129)"
1445,0.0,22.44928921845284,"(217, 88, 71)"
1533,1.0,22.271391182228985,"(226, 106, 83)"
1584,2.0,19.905419630307833,"(185, 208, 248)"
1731,1.0,18.57951891705731,"(93, 125, 230)"
1768,0.0,19.11074358384811,"(130, 165, 251)"
1811,1.0,21.357327818401654,"(246, 182, 154)"
1818,2.0,20.343440746023468,"(211, 219, 230)"
1858,1.0,22.627964159894965,"(206, 68, 60)"
1865,0.0,20.14148900263511,"(200, 215, 239)"
2028,1.0,20.2131373236523,"(205, 217, 236)"
2048,0.0,18.286973056035784,"(75, 100, 212)"
2080,1.0,22.920660108971767,"(185, 22, 42)"
2083,2.0,22.04786969301582,"(235, 127, 99)"
2313,1.0,20.38089333136972,"(214, 219, 228)"
2370,0.0,22.386908228361012,"(220, 94, 75)"
