minute_idx,PersonenAnzahl,temp,rgb_value
3,1.0,22.00670188561974,"(236, 130, 102)"
248,0.0,22.118855461374704,"(233, 121, 94)"
281,1.0,19.985952464850673,"(190, 211, 245)"
573,0.0,20.163844768065204,"(201, 215, 238)"
604,1.0,21.544569426538196,"(246, 169, 138)"
681,0.0,19.093571013274197,"(128, 164, 250)"
738,1.0,21.40946943687765,"(247, 178, 149)"
845,0.0,22.53159328643548,"(211, 77, 64)"
894,1.0,18.373980754238044,"(81, 108, 219)"
1096,0.0,18.868511466758555,"(113, 148, 244)"
1117,1.0,21.30370146991424,"(246, 185, 157)"
1151,0.0,18.545150119916205,"(91, 121, 228)"
1202,1.0,18.637569381553753,"(97, 130, 234)"
1204,2.0,21.52111474115056,"(246, 170, 140)"
1207,3.0,22.826125651599554,"(191, 40, 46)"
1320,2.0,19.27461129447553,"(142, 177, 253)"
1338,3.0,18.257999660627306,"(73, 98, 211)"
1407,2.0,21.32742823293688,"(246, 183, 156)"
1446,1.0,19.033443167066103,"(124, 160, 249)"
1451,0.0,19.54808208350185,"(162, 192, 254)"
1478,1.0,19.757253563420097,"(175, 202, 251)"
1479,2.0,22.49938124248194,"(214, 82, 67)"
1495,3.0,22.385645800209854,"(220, 94, 75)"
1511,2.0,19.225764802896844,"(138, 173, 253)"
1621,3.0,18.330377213682453,"(77, 103, 215)"
1682,2.0,20.78771957987645,"(234, 211, 199)"
1725,3.0,22.132042053703408,"(232, 119, 93)"
1731,2.0,20.992393280088745,"(241, 202, 182)"
1745,1.0,22.112763020704673,"(233, 121, 94)"
1757,0.0,22.418379749357086,"(218, 90, 72)"
1803,1.0,18.727726956046467,"(104, 137, 238)"
1804,2.0,21.90745041554042,"(240, 139, 109)"
1807,3.0,21.54591164603327,"(246, 169, 138)"
1943,4.0,22.20188133012214,"(229, 112, 87)"
2020,3.0,20.67944678244561,"(230, 215, 207)"
2041,2.0,22.375567233469113,"(220, 94, 75)"
2049,1.0,20.240100165432658,"(206, 217, 235)"
2056,0.0,22.1924744087272,"(230, 114, 89)"
2089,1.0,20.98023554178392,"(241, 203, 184)"
2093,2.0,19.297290335020055,"(144, 178, 254)"
2096,3.0,20.41763080173438,"(216, 219, 225)"
2378,2.0,22.950469682190068,"(182, 13, 40)"
2380,1.0,20.9763800277866,"(241, 203, 184)"
2381,0.0,20.58659471010866,"(225, 218, 214)"
2403,1.0,20.93354287695543,"(239, 205, 187)"
2406,2.0,20.961203761906475,"(240, 204, 185)"
2425,3.0,21.616177934011525,"(246, 163, 132)"
2488,2.0,21.47957473751703,"(247, 173, 143)"
2496,1.0,22.710330814233217,"(200, 56, 53)"
2528,2.0,21.272543222736175,"(246, 187, 160)"
2548,3.0,22.373225134932202,"(221, 96, 76)"
2644,1.0,20.88445677945201,"(237, 207, 192)"
2653,0.0,19.098288297767795,"(130, 165, 251)"
2677,1.0,22.089580548076622,"(234, 123, 96)"
2678,2.0,19.579065640883897,"(163, 193, 254)"
2682,3.0,18.552596328935255,"(92, 123, 229)"
2774,2.0,22.876463878405623,"(188, 31, 44)"
2842,3.0,20.29409222217244,"(209, 218, 232)"
2847,2.0,19.736168782636938,"(174, 201, 252)"
2913,3.0,22.935617690310778,"(184, 17, 41)"
2941,2.0,18.359364386588837,"(80, 107, 218)"
2957,1.0,22.934439091413825,"(184, 17, 41)"
2978,0.0,19.705570555911137,"(172, 200, 252)"
