minute_idx,PersonenAnzahl,temp,rgb_value
243,2.0,18.669585783275384,"(100, 133, 235)"
251,3.0,20.169175438227718,"(202, 216, 238)"
288,2.0,21.414032623057658,"(247, 178, 149)"
299,1.0,19.733376418679537,"(174, 201, 252)"
304,0.0,18.73902714774807,"(104, 137, 238)"
843,3.0,18.042780112485985,"(60, 79, 195)"
847,5.0,18.828816994769213,"(111, 145, 242)"
848,7.0,19.835354567509704,"(180, 205, 250)"
850,8.0,19.281221403641837,"(142, 177, 253)"
851,9.0,18.21995359962249,"(71, 95, 208)"
852,10.0,19.373916493105675,"(149, 183, 254)"
853,11.0,21.307765559564473,"(246, 185, 157)"
879,10.0,20.53833273982685,"(222, 219, 218)"
882,8.0,22.06485948102582,"(234, 125, 97)"
885,7.0,22.846891215785075,"(190, 35, 45)"
886,6.0,18.910989636324892,"(116, 151, 245)"
891,5.0,20.845607645906654,"(236, 209, 195)"
900,4.0,20.592630771724934,"(225, 218, 214)"
905,1.0,19.20125553749448,"(137, 172, 252)"
906,0.0,19.368982790082093,"(149, 183, 254)"
1441,2.0,19.32171994510169,"(145, 179, 254)"
1442,3.0,20.48840658298951,"(220, 220, 221)"
1444,4.0,20.592226766798788,"(225, 218, 214)"
1445,7.0,20.04068744001315,"(194, 212, 243)"
1446,8.0,22.518859894582583,"(212, 79, 66)"
1449,9.0,18.826817893979616,"(111, 145, 242)"
1450,10.0,18.346333880940843,"(78, 105, 216)"
1451,12.0,19.010191492872952,"(123, 158, 248)"
1476,11.0,19.510008172012288,"(159, 190, 254)"
1480,10.0,19.637852041362997,"(167, 196, 253)"
1485,9.0,20.291422746664896,"(209, 218, 232)"
1491,8.0,19.61699340177567,"(166, 195, 253)"
1513,6.0,19.818119038770213,"(180, 205, 250)"
1514,2.0,20.580951272311996,"(225, 218, 214)"
1515,1.0,19.969286004668596,"(189, 210, 246)"
1584,0.0,22.77570042490563,"(196, 48, 50)"
2041,1.0,19.601453261711683,"(164, 194, 254)"
2045,5.0,21.916365581926343,"(240, 139, 109)"
2048,6.0,20.300499966561286,"(209, 218, 232)"
2049,8.0,20.619537462201627,"(227, 217, 211)"
2051,10.0,22.442432419991746,"(217, 88, 71)"
2053,11.0,20.388777561015626,"(215, 219, 226)"
2055,12.0,22.81156688575447,"(193, 42, 48)"
2077,10.0,18.828701153077326,"(111, 145, 242)"
2080,9.0,20.670540294166408,"(229, 216, 208)"
2083,8.0,21.638950810680836,"(245, 161, 130)"
2089,5.0,18.141807083002128,"(66, 88, 202)"
2096,3.0,19.46244911826063,"(155, 187, 254)"
2100,1.0,18.894577657985877,"(115, 149, 244)"
2104,0.0,18.135739306015658,"(65, 86, 201)"
2644,1.0,18.854081611711063,"(112, 147, 243)"
2647,3.0,20.832130119607907,"(236, 209, 195)"
2648,4.0,18.522079467879788,"(90, 120, 227)"
2649,5.0,22.20274028217456,"(229, 112, 87)"
2680,4.0,22.95048924110901,"(182, 13, 40)"
2692,3.0,19.21791157594927,"(138, 173, 253)"
2699,2.0,18.819609950254883,"(109, 144, 241)"
2700,1.0,18.897310637076433,"(115, 149, 244)"
2712,0.0,18.233531945017834,"(71, 95, 208)"
