minute_idx,PersonenAnzahl,temp,rgb_value
3,0.0,18.175645082502847,"(67, 90, 204)"
33,1.0,22.886517946085515,"(187, 26, 43)"
34,2.0,18.444352327814684,"(85, 113, 222)"
37,1.0,20.008754173520963,"(192, 211, 245)"
44,2.0,20.775981606769022,"(234, 211, 199)"
45,1.0,18.597595970035012,"(95, 126, 231)"
47,2.0,22.496355731635735,"(214, 82, 67)"
48,1.0,22.77111399886318,"(196, 48, 50)"
49,0.0,22.798800809497973,"(194, 45, 49)"
545,1.0,20.25419219356015,"(207, 217, 234)"
546,2.0,21.7418509972722,"(244, 154, 123)"
556,3.0,21.13795396892229,"(244, 195, 171)"
565,4.0,19.153101692494058,"(134, 169, 252)"
572,5.0,21.051602492964523,"(242, 199, 178)"
573,6.0,18.742588187417063,"(105, 139, 239)"
600,7.0,18.715149910369277,"(103, 136, 237)"
602,6.0,20.34659736342086,"(213, 219, 229)"
604,5.0,22.43155435939351,"(218, 90, 72)"
611,6.0,18.70161626709309,"(101, 134, 236)"
612,5.0,20.573188487777166,"(224, 218, 215)"
620,6.0,22.114938570568768,"(233, 121, 94)"
622,5.0,19.236837354926916,"(139, 174, 253)"
625,7.0,19.464038804135658,"(155, 187, 254)"
627,6.0,19.805560253003804,"(179, 204, 250)"
628,5.0,22.77351268522643,"(196, 48, 50)"
636,6.0,18.158228083788302,"(67, 90, 204)"
643,5.0,20.64333603302603,"(228, 216, 209)"
644,4.0,22.690341844149543,"(201, 59, 55)"
654,5.0,22.003283446502337,"(237, 132, 103)"
655,4.0,20.881610782258264,"(237, 207, 192)"
656,3.0,18.89335977779825,"(115, 149, 244)"
658,4.0,19.155919830685,"(134, 169, 252)"
670,3.0,21.36172046802005,"(247, 181, 152)"
684,2.0,20.937153173460448,"(239, 205, 187)"
1126,3.0,18.865941070448805,"(113, 148, 244)"
1143,6.0,22.859595013192234,"(190, 35, 45)"
1144,8.0,21.96877931744916,"(238, 134, 105)"
1151,9.0,18.911336163856177,"(116, 151, 245)"
1152,10.0,18.724609654612607,"(104, 137, 238)"
1167,11.0,21.75634285267209,"(243, 152, 121)"
1174,13.0,18.24090409040547,"(72, 96, 209)"
1175,14.0,18.041184790490195,"(60, 79, 195)"
1179,15.0,22.482786435566183,"(215, 84, 68)"
1180,16.0,22.486920254495182,"(215, 84, 68)"
1207,15.0,21.81251159270255,"(242, 147, 117)"
1210,14.0,19.96477285870413,"(189, 210, 246)"
1212,13.0,21.00339766115565,"(241, 202, 182)"
1217,12.0,22.864993980150295,"(188, 31, 44)"
1232,11.0,22.784958482767763,"(196, 48, 50)"
1235,10.0,22.398662468449213,"(219, 92, 74)"
1236,9.0,18.339782490842403,"(78, 105, 216)"
1244,8.0,21.70218128108811,"(244, 157, 126)"
1245,9.0,19.803792731135744,"(179, 204, 250)"
1246,6.0,20.00904296839029,"(192, 211, 245)"
1248,5.0,22.766363792018346,"(196, 48, 50)"
1249,6.0,18.54049427601459,"(91, 121, 228)"
1250,5.0,21.574087327823996,"(246, 167, 137)"
1257,4.0,19.201917253201824,"(137, 172, 252)"
1259,3.0,18.71765135351313,"(103, 136, 237)"
1261,2.0,18.891294999967542,"(115, 149, 244)"
1264,1.0,20.290730572455583,"(209, 218, 232)"
1265,0.0,20.10096360458756,"(198, 214, 241)"
1708,1.0,19.62232402442428,"(167, 196, 253)"
1745,3.0,22.426047145082222,"(218, 90, 72)"
1748,4.0,19.12736791318044,"(131, 166, 251)"
1749,5.0,21.62938449510636,"(246, 163, 132)"
1754,6.0,22.85734295639698,"(190, 35, 45)"
1757,7.0,18.44219843077974,"(85, 113, 222)"
1761,8.0,19.908327659752256,"(185, 208, 248)"
1763,9.0,20.672037067964325,"(229, 216, 208)"
1766,11.0,18.648213519336387,"(99, 131, 234)"
1768,12.0,19.4544017559651,"(155, 187, 254)"
1771,14.0,20.492714964101488,"(220, 220, 221)"
1772,15.0,22.210336592351087,"(229, 112, 87)"
1775,16.0,19.945443832155675,"(188, 209, 246)"
1777,18.0,19.590412880744577,"(164, 194, 254)"
1778,19.0,20.24341285977507,"(206, 217, 235)"
1779,20.0,19.06730259606129,"(127, 162, 250)"
1803,19.0,18.907124029160958,"(116, 151, 245)"
1804,18.0,22.04903653758339,"(235, 127, 99)"
1807,17.0,18.79881106573327,"(108, 142, 241)"
1811,16.0,22.828980553473016,"(191, 40, 46)"
1818,15.0,18.709219102574114,"(103, 136, 237)"
1819,14.0,21.295257087651013,"(246, 186, 159)"
1823,13.0,18.52773790184341,"(91, 121, 228)"
1824,12.0,22.657902659990683,"(204, 63, 57)"
1829,13.0,22.36159014114971,"(221, 96, 76)"
1831,11.0,22.252204046017297,"(227, 108, 84)"
1834,9.0,18.37545667510406,"(81, 108, 219)"
1836,8.0,20.998521835182256,"(241, 202, 182)"
1838,7.0,18.79434477115206,"(108, 142, 241)"
1842,5.0,21.892903626284237,"(240, 141, 111)"
1850,4.0,18.89480784969636,"(115, 149, 244)"
1854,3.0,18.356539846239144,"(80, 107, 218)"
1859,2.0,20.81229227092747,"(235, 211, 198)"
2316,3.0,22.23506455074307,"(228, 110, 86)"
2348,4.0,18.742890917801635,"(105, 139, 239)"
2351,5.0,19.9203029299525,"(187, 209, 247)"
