minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0.0,0.0,18.0,False,False,(58; 76; 192),2333
1.0,0.0,18.0,False,False,(58; 76; 192),2333
2.0,0.0,18.0,False,False,(58; 76; 192),2333
3.0,0.0,18.0,False,False,(58; 76; 192),2333
4.0,0.0,18.0,False,False,(58; 76; 192),2333
5.0,0.0,18.0,False,False,(58; 76; 192),2333
6.0,0.0,18.0,False,False,(58; 76; 192),2333
7.0,0.0,18.0,False,False,(58; 76; 192),2333
8.0,0.0,18.0,False,False,(58; 76; 192),2333
9.0,0.0,18.0,False,False,(58; 76; 192),2333
10.0,0.0,18.0,False,False,(58; 76; 192),2333
11.0,0.0,18.0,False,False,(58; 76; 192),2333
12.0,0.0,18.0,False,False,(58; 76; 192),2333
13.0,0.0,18.0,False,False,(58; 76; 192),2333
14.0,0.0,18.0,False,False,(58; 76; 192),2333
15.0,0.0,18.0,False,False,(58; 76; 192),2333
16.0,0.0,18.0,False,False,(58; 76; 192),2333
17.0,0.0,18.0,False,False,(58; 76; 192),2333
18.0,0.0,18.0,False,False,(58; 76; 192),2333
19.0,0.0,18.0,False,False,(58; 76; 192),2333
20.0,0.0,18.0,False,False,(58; 76; 192),2333
21.0,0.0,18.0,False,False,(58; 76; 192),2333
22.0,0.0,18.0,False,False,(58; 76; 192),2333
23.0,0.0,18.0,False,False,(58; 76; 192),2333
24.0,0.0,18.0,False,False,(58; 76; 192),2333
25.0,0.0,18.0,False,False,(58; 76; 192),2333
26.0,0.0,18.0,False,False,(58; 76; 192),2333
27.0,0.0,18.0,False,False,(58; 76; 192),2333
28.0,0.0,18.0,False,False,(58; 76; 192),2333
29.0,0.0,18.0,False,False,(58; 76; 192),2333
30.0,0.0,18.0,False,False,(58; 76; 192),2333
31.0,0.0,18.0,False,False,(58; 76; 192),2333
32.0,0.0,18.0,False,False,(58; 76; 192),2333
33.0,0.0,18.0,False,False,(58; 76; 192),2333
34.0,0.0,18.0,False,False,(58; 76; 192),2333
35.0,0.0,18.0,False,False,(58; 76; 192),2333
36.0,0.0,18.0,False,False,(58; 76; 192),2333
37.0,0.0,18.0,False,False,(58; 76; 192),2333
38.0,0.0,18.0,False,False,(58; 76; 192),2333
39.0,0.0,18.0,False,False,(58; 76; 192),2333
40.0,0.0,18.0,False,False,(58; 76; 192),2333
41.0,0.0,18.0,False,False,(58; 76; 192),2333
42.0,0.0,18.0,False,False,(58; 76; 192),2333
43.0,0.0,18.0,False,False,(58; 76; 192),2333
44.0,0.0,18.0,False,False,(58; 76; 192),2333
45.0,0.0,18.0,False,False,(58; 76; 192),2333
46.0,0.0,18.0,False,False,(58; 76; 192),2333
47.0,0.0,18.0,False,False,(58; 76; 192),2333
48.0,0.0,18.0,False,False,(58; 76; 192),2333
49.0,0.0,18.0,False,False,(58; 76; 192),2333
50.0,0.0,18.0,False,False,(58; 76; 192),2333
51.0,0.0,18.0,False,False,(58; 76; 192),2333
52.0,0.0,18.0,False,False,(58; 76; 192),2333
53.0,0.0,18.0,False,False,(58; 76; 192),2333
54.0,0.0,18.0,False,False,(58; 76; 192),2333
55.0,0.0,18.0,False,False,(58; 76; 192),2333
56.0,0.0,18.0,False,False,(58; 76; 192),2333
57.0,0.0,18.0,False,False,(58; 76; 192),2333
58.0,0.0,18.0,False,False,(58; 76; 192),2333
59.0,0.0,18.0,False,False,(58; 76; 192),2333
60.0,0.0,18.0,False,False,(58; 76; 192),2333
61.0,0.0,18.0,False,False,(58; 76; 192),2333
62.0,0.0,18.0,False,False,(58; 76; 192),2333
63.0,0.0,18.0,False,False,(58; 76; 192),2333
64.0,0.0,18.0,False,False,(58; 76; 192),2333
65.0,0.0,18.0,False,False,(58; 76; 192),2333
66.0,0.0,18.0,False,False,(58; 76; 192),2333
67.0,0.0,18.0,False,False,(58; 76; 192),2333
68.0,0.0,18.0,False,False,(58; 76; 192),2333
69.0,0.0,18.0,False,False,(58; 76; 192),2333
70.0,0.0,18.0,False,False,(58; 76; 192),2333
71.0,0.0,18.0,False,False,(58; 76; 192),2333
72.0,0.0,18.0,False,False,(58; 76; 192),2333
73.0,0.0,18.0,False,False,(58; 76; 192),2333
74.0,0.0,18.0,False,False,(58; 76; 192),2333
75.0,0.0,18.0,False,False,(58; 76; 192),2333
76.0,0.0,18.0,False,False,(58; 76; 192),2333
77.0,0.0,18.0,False,False,(58; 76; 192),2333
78.0,0.0,18.0,False,False,(58; 76; 192),2333
79.0,0.0,18.0,False,False,(58; 76; 192),2333
80.0,0.0,18.0,False,False,(58; 76; 192),2333
81.0,0.0,18.0,False,False,(58; 76; 192),2333
