minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0.0,0.0,18.0,False,False,(58; 76; 192),3
1.0,0.0,20.674,False,True,(246; 182; 154),3
2.0,0.0,21.337,False,True,(230; 116; 90),281
3.0,1.0,22.0,True,True,(179; 3; 38),281
4.0,1.0,22.0,True,True,(179; 3; 38),281
5.0,1.0,22.0,True,True,(179; 3; 38),281
6.0,1.0,22.0,True,True,(179; 3; 38),281
7.0,1.0,22.0,True,True,(179; 3; 38),281
8.0,1.0,22.0,True,True,(179; 3; 38),281
9.0,1.0,22.0,True,True,(179; 3; 38),281
10.0,1.0,22.0,True,True,(179; 3; 38),281
11.0,1.0,22.0,True,True,(179; 3; 38),281
12.0,1.0,22.0,True,True,(179; 3; 38),281
13.0,1.0,22.0,True,True,(179; 3; 38),281
14.0,1.0,22.0,True,True,(179; 3; 38),281
15.0,1.0,22.0,True,True,(179; 3; 38),281
16.0,1.0,22.0,True,True,(179; 3; 38),281
17.0,1.0,22.0,True,True,(179; 3; 38),281
18.0,1.0,22.0,True,True,(179; 3; 38),281
19.0,1.0,22.0,True,True,(179; 3; 38),281
20.0,1.0,22.0,True,True,(179; 3; 38),281
21.0,1.0,22.0,True,True,(179; 3; 38),281
22.0,1.0,22.0,True,True,(179; 3; 38),281
23.0,1.0,22.0,True,True,(179; 3; 38),281
24.0,1.0,22.0,True,True,(179; 3; 38),281
25.0,1.0,22.0,True,True,(179; 3; 38),281
26.0,1.0,22.0,True,True,(179; 3; 38),281
27.0,1.0,22.0,True,True,(179; 3; 38),281
28.0,1.0,22.0,True,True,(179; 3; 38),281
29.0,1.0,22.0,True,True,(179; 3; 38),281
30.0,1.0,22.0,True,True,(179; 3; 38),281
31.0,1.0,22.0,True,True,(179; 3; 38),281
32.0,1.0,22.0,True,True,(179; 3; 38),281
33.0,1.0,22.0,True,True,(179; 3; 38),281
34.0,1.0,22.0,True,True,(179; 3; 38),281
35.0,1.0,22.0,True,True,(179; 3; 38),281
36.0,1.0,22.0,True,True,(179; 3; 38),281
37.0,1.0,22.0,True,True,(179; 3; 38),281
38.0,1.0,22.0,True,True,(179; 3; 38),281
39.0,1.0,22.0,True,True,(179; 3; 38),281
40.0,1.0,22.0,True,True,(179; 3; 38),281
41.0,1.0,22.0,True,True,(179; 3; 38),281
42.0,1.0,22.0,True,True,(179; 3; 38),281
43.0,1.0,22.0,True,True,(179; 3; 38),281
44.0,1.0,22.0,True,True,(179; 3; 38),281
45.0,1.0,22.0,True,True,(179; 3; 38),281
46.0,1.0,22.0,True,True,(179; 3; 38),281
47.0,1.0,22.0,True,True,(179; 3; 38),281
48.0,1.0,22.0,True,True,(179; 3; 38),281
49.0,1.0,22.0,True,True,(179; 3; 38),281
50.0,1.0,22.0,True,True,(179; 3; 38),281
51.0,1.0,22.0,True,True,(179; 3; 38),281
52.0,1.0,22.0,True,True,(179; 3; 38),281
53.0,1.0,22.0,True,True,(179; 3; 38),281
54.0,1.0,22.0,True,True,(179; 3; 38),281
55.0,1.0,22.0,True,True,(179; 3; 38),281
56.0,1.0,22.0,True,True,(179; 3; 38),281
57.0,1.0,22.0,True,True,(179; 3; 38),281
58.0,1.0,22.0,True,True,(179; 3; 38),281
59.0,1.0,22.0,True,True,(179; 3; 38),281
60.0,1.0,22.0,True,True,(179; 3; 38),281
61.0,1.0,22.0,True,True,(179; 3; 38),281
62.0,1.0,22.0,True,True,(179; 3; 38),281
63.0,1.0,22.0,True,True,(179; 3; 38),281
64.0,1.0,22.0,True,True,(179; 3; 38),281
65.0,1.0,22.0,True,True,(179; 3; 38),281
66.0,1.0,22.0,True,True,(179; 3; 38),281
67.0,1.0,22.0,True,True,(179; 3; 38),281
68.0,1.0,22.0,True,True,(179; 3; 38),281
69.0,1.0,22.0,True,True,(179; 3; 38),281
70.0,1.0,22.0,True,True,(179; 3; 38),281
71.0,1.0,22.0,True,True,(179; 3; 38),281
72.0,1.0,22.0,True,True,(179; 3; 38),281
73.0,1.0,22.0,True,True,(179; 3; 38),281
74.0,1.0,22.0,True,True,(179; 3; 38),281
75.0,1.0,22.0,True,True,(179; 3; 38),281
76.0,1.0,22.0,True,True,(179; 3; 38),281
77.0,1.0,22.0,True,True,(179; 3; 38),281
78.0,1.0,22.0,True,True,(179; 3; 38),281
79.0,1.0,22.0,True,True,(179; 3; 38),281
80.0,1.0,22.0,True,True,(179; 3; 38),281
81.0,1.0,22.0,True,True,(179; 3; 38),281
82.0,1.0,22.0,True,True,(179; 3; 38),281
83.0,1.0,22.0,True,True,(179; 3; 38),281
84.0,1.0,22.0,True,True,(179; 3; 38),281
85.0,1.0,22.0,True,True,(179; 3; 38),281
86.0,1.0,22.0,True,True,(179; 3; 38),281
87.0,1.0,22.0,True,True,(179; 3; 38),281
88.0,1.0,22.0,True,True,(179; 3; 38),281
89.0,1.0,22.0,True,True,(179; 3; 38),281
90.0,1.0,22.0,True,True,(179; 3; 38),281
91.0,1.0,22.0,True,True,(179; 3; 38),281
92.0,1.0,22.0,True,True,(179; 3; 38),281
93.0,1.0,22.0,True,True,(179; 3; 38),281
94.0,1.0,22.0,True,True,(179; 3; 38),281
95.0,1.0,22.0,True,True,(179; 3; 38),281
96.0,1.0,22.0,True,True,(179; 3; 38),281
97.0,1.0,22.0,True,True,(179; 3; 38),281
98.0,1.0,22.0,True,True,(179; 3; 38),281
99.0,1.0,22.0,True,True,(179; 3; 38),281
100.0,1.0,22.0,True,True,(179; 3; 38),281
101.0,1.0,22.0,True,True,(179; 3; 38),281
102.0,1.0,22.0,True,True,(179; 3; 38),281
103.0,1.0,22.0,True,True,(179; 3; 38),281
104.0,1.0,22.0,True,True,(179; 3; 38),281
105.0,1.0,22.0,True,True,(179; 3; 38),281
106.0,1.0,22.0,True,True,(179; 3; 38),281
107.0,1.0,22.0,True,True,(179; 3; 38),281
108.0,1.0,22.0,True,True,(179; 3; 38),281
109.0,1.0,22.0,True,True,(179; 3; 38),281
110.0,1.0,22.0,True,True,(179; 3; 38),281
111.0,1.0,22.0,True,True,(179; 3; 38),281
112.0,1.0,22.0,True,True,(179; 3; 38),281
113.0,1.0,22.0,True,True,(179; 3; 38),281
114.0,1.0,22.0,True,True,(179; 3; 38),281
115.0,1.0,22.0,True,True,(179; 3; 38),281
116.0,1.0,22.0,True,True,(179; 3; 38),281
117.0,1.0,22.0,True,True,(179; 3; 38),281
118.0,1.0,22.0,True,True,(179; 3; 38),281
119.0,1.0,22.0,True,True,(179; 3; 38),281
120.0,1.0,22.0,True,True,(179; 3; 38),281
121.0,1.0,22.0,True,True,(179; 3; 38),281
122.0,1.0,22.0,True,True,(179; 3; 38),281
123.0,1.0,22.0,True,True,(179; 3; 38),281
124.0,1.0,22.0,True,True,(179; 3; 38),281
125.0,1.0,22.0,True,True,(179; 3; 38),281
126.0,1.0,22.0,True,True,(179; 3; 38),281
127.0,1.0,22.0,True,True,(179; 3; 38),281
128.0,1.0,22.0,True,True,(179; 3; 38),281
129.0,1.0,22.0,True,True,(179; 3; 38),281
130.0,1.0,22.0,True,True,(179; 3; 38),281
131.0,1.0,22.0,True,True,(179; 3; 38),281
132.0,1.0,22.0,True,True,(179; 3; 38),281
133.0,1.0,22.0,True,True,(179; 3; 38),281
134.0,1.0,22.0,True,True,(179; 3; 38),281
135.0,1.0,22.0,True,True,(179; 3; 38),281
136.0,1.0,22.0,True,True,(179; 3; 38),281
137.0,1.0,22.0,True,True,(179; 3; 38),281
138.0,1.0,22.0,True,True,(179; 3; 38),281
139.0,1.0,22.0,True,True,(179; 3; 38),281
140.0,1.0,22.0,True,True,(179; 3; 38),281
141.0,1.0,22.0,True,True,(179; 3; 38),281
142.0,1.0,22.0,True,True,(179; 3; 38),281
143.0,1.0,22.0,True,True,(179; 3; 38),281
144.0,1.0,22.0,True,True,(179; 3; 38),281
145.0,1.0,22.0,True,True,(179; 3; 38),281
146.0,1.0,22.0,True,True,(179; 3; 38),281
147.0,1.0,22.0,True,True,(179; 3; 38),281
148.0,1.0,22.0,True,True,(179; 3; 38),281
149.0,1.0,22.0,True,True,(179; 3; 38),281
150.0,1.0,22.0,True,True,(179; 3; 38),281
151.0,1.0,22.0,True,True,(179; 3; 38),281
152.0,1.0,22.0,True,True,(179; 3; 38),281
153.0,1.0,22.0,True,True,(179; 3; 38),281
154.0,1.0,22.0,True,True,(179; 3; 38),281
155.0,1.0,22.0,True,True,(179; 3; 38),281
156.0,1.0,22.0,True,True,(179; 3; 38),281
157.0,1.0,22.0,True,True,(179; 3; 38),281
158.0,1.0,22.0,True,True,(179; 3; 38),281
159.0,1.0,22.0,True,True,(179; 3; 38),281
160.0,1.0,22.0,True,True,(179; 3; 38),281
161.0,1.0,22.0,True,True,(179; 3; 38),281
162.0,1.0,22.0,True,True,(179; 3; 38),281
163.0,1.0,22.0,True,True,(179; 3; 38),281
164.0,1.0,22.0,True,True,(179; 3; 38),281
165.0,1.0,22.0,True,True,(179; 3; 38),281
166.0,1.0,22.0,True,True,(179; 3; 38),281
167.0,1.0,22.0,True,True,(179; 3; 38),281
168.0,1.0,22.0,True,True,(179; 3; 38),281
169.0,1.0,22.0,True,True,(179; 3; 38),281
170.0,1.0,22.0,True,True,(179; 3; 38),281
171.0,1.0,22.0,True,True,(179; 3; 38),281
172.0,1.0,22.0,True,True,(179; 3; 38),281
173.0,1.0,22.0,True,True,(179; 3; 38),281
174.0,1.0,22.0,True,True,(179; 3; 38),281
175.0,1.0,22.0,True,True,(179; 3; 38),281
176.0,1.0,22.0,True,True,(179; 3; 38),281
177.0,1.0,22.0,True,True,(179; 3; 38),281
178.0,1.0,22.0,True,True,(179; 3; 38),281
179.0,1.0,22.0,True,True,(179; 3; 38),281
180.0,1.0,22.0,True,True,(179; 3; 38),281
181.0,1.0,22.0,True,True,(179; 3; 38),281
182.0,1.0,22.0,True,True,(179; 3; 38),281
183.0,1.0,22.0,True,True,(179; 3; 38),281
184.0,1.0,22.0,True,True,(179; 3; 38),281
185.0,1.0,22.0,True,True,(179; 3; 38),281
186.0,1.0,22.0,True,True,(179; 3; 38),281
187.0,1.0,22.0,True,True,(179; 3; 38),281
188.0,1.0,22.0,True,True,(179; 3; 38),281
189.0,1.0,22.0,True,True,(179; 3; 38),281
190.0,1.0,22.0,True,True,(179; 3; 38),281
191.0,1.0,22.0,True,True,(179; 3; 38),281
192.0,1.0,22.0,True,True,(179; 3; 38),281
193.0,1.0,22.0,True,True,(179; 3; 38),281
194.0,1.0,22.0,True,True,(179; 3; 38),281
