minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0.0,0.0,18.0,False,False,(58; 76; 192),1066
1.0,0.0,18.0,False,False,(58; 76; 192),1066
2.0,0.0,18.0,False,False,(58; 76; 192),1066
3.0,0.0,18.0,False,False,(58; 76; 192),1066
4.0,0.0,18.0,False,False,(58; 76; 192),1066
5.0,0.0,18.0,False,False,(58; 76; 192),1066
6.0,0.0,18.0,False,False,(58; 76; 192),1066
7.0,0.0,18.0,False,False,(58; 76; 192),1066
8.0,0.0,18.0,False,False,(58; 76; 192),1066
9.0,0.0,18.0,False,False,(58; 76; 192),1066
10.0,0.0,18.0,False,False,(58; 76; 192),1066
11.0,0.0,18.0,False,False,(58; 76; 192),1066
12.0,0.0,18.0,False,False,(58; 76; 192),1066
13.0,0.0,18.0,False,False,(58; 76; 192),1066
14.0,0.0,18.0,False,False,(58; 76; 192),1066
15.0,0.0,18.0,False,False,(58; 76; 192),1066
16.0,0.0,18.0,False,False,(58; 76; 192),1066
17.0,0.0,18.0,False,False,(58; 76; 192),1066
18.0,0.0,18.0,False,False,(58; 76; 192),1066
19.0,0.0,18.0,False,False,(58; 76; 192),1066
20.0,0.0,18.0,False,False,(58; 76; 192),1066
21.0,0.0,18.0,False,False,(58; 76; 192),1066
22.0,0.0,18.0,False,False,(58; 76; 192),1066
23.0,0.0,18.0,False,False,(58; 76; 192),1066
24.0,0.0,18.0,False,False,(58; 76; 192),1066
25.0,0.0,18.0,False,False,(58; 76; 192),1066
26.0,0.0,18.0,False,False,(58; 76; 192),1066
27.0,0.0,18.0,False,False,(58; 76; 192),1066
28.0,0.0,18.0,False,False,(58; 76; 192),1066
29.0,0.0,18.0,False,False,(58; 76; 192),1066
30.0,0.0,18.0,False,False,(58; 76; 192),1066
31.0,0.0,18.0,False,False,(58; 76; 192),1066
32.0,0.0,18.0,False,False,(58; 76; 192),1066
33.0,0.0,18.0,False,False,(58; 76; 192),1066
34.0,0.0,18.0,False,False,(58; 76; 192),1066
35.0,0.0,18.0,False,False,(58; 76; 192),1066
36.0,0.0,18.0,False,False,(58; 76; 192),1066
37.0,0.0,18.0,False,False,(58; 76; 192),1066
38.0,0.0,18.0,False,False,(58; 76; 192),1066
39.0,0.0,18.0,False,False,(58; 76; 192),1066
40.0,0.0,18.0,False,False,(58; 76; 192),1066
41.0,0.0,18.0,False,False,(58; 76; 192),1066
42.0,0.0,18.0,False,False,(58; 76; 192),1066
43.0,0.0,18.0,False,False,(58; 76; 192),1066
44.0,0.0,18.0,False,False,(58; 76; 192),1066
45.0,0.0,18.0,False,False,(58; 76; 192),1066
46.0,0.0,18.0,False,False,(58; 76; 192),1066
47.0,0.0,18.0,False,False,(58; 76; 192),1066
48.0,0.0,18.0,False,False,(58; 76; 192),1066
49.0,0.0,18.0,False,False,(58; 76; 192),1066
50.0,0.0,18.0,False,False,(58; 76; 192),1066
51.0,0.0,18.0,False,False,(58; 76; 192),1066
52.0,0.0,18.0,False,False,(58; 76; 192),1066
53.0,0.0,18.0,False,False,(58; 76; 192),1066
54.0,0.0,18.0,False,False,(58; 76; 192),1066
55.0,0.0,18.0,False,False,(58; 76; 192),1066
56.0,0.0,18.0,False,False,(58; 76; 192),1066
57.0,0.0,18.0,False,False,(58; 76; 192),1066
58.0,0.0,18.0,False,False,(58; 76; 192),1066
59.0,0.0,18.0,False,False,(58; 76; 192),1066
60.0,0.0,18.0,False,False,(58; 76; 192),1066
61.0,0.0,18.0,False,False,(58; 76; 192),1066
62.0,0.0,18.0,False,False,(58; 76; 192),1066
63.0,0.0,18.0,False,False,(58; 76; 192),1066
64.0,0.0,18.0,False,False,(58; 76; 192),1066
65.0,0.0,18.0,False,False,(58; 76; 192),1066
66.0,0.0,18.0,False,False,(58; 76; 192),1066
67.0,0.0,18.0,False,False,(58; 76; 192),1066
68.0,0.0,18.0,False,False,(58; 76; 192),1066
69.0,0.0,18.0,False,False,(58; 76; 192),1066
70.0,0.0,18.0,False,False,(58; 76; 192),1066
71.0,0.0,18.0,False,False,(58; 76; 192),1066
72.0,0.0,18.0,False,False,(58; 76; 192),1066
73.0,0.0,18.0,False,False,(58; 76; 192),1066
74.0,0.0,18.0,False,False,(58; 76; 192),1066
75.0,0.0,18.0,False,False,(58; 76; 192),1066
76.0,0.0,18.0,False,False,(58; 76; 192),1066
77.0,0.0,18.0,False,False,(58; 76; 192),1066
78.0,0.0,18.0,False,False,(58; 76; 192),1066
79.0,0.0,18.0,False,False,(58; 76; 192),1066
80.0,0.0,18.0,False,False,(58; 76; 192),1066
81.0,0.0,18.0,False,False,(58; 76; 192),1066
82.0,0.0,18.0,False,False,(58; 76; 192),1066
83.0,0.0,18.0,False,False,(58; 76; 192),1066
84.0,0.0,18.0,False,False,(58; 76; 192),1066
85.0,0.0,18.0,False,False,(58; 76; 192),1066
86.0,0.0,18.0,False,False,(58; 76; 192),1066
87.0,0.0,18.0,False,False,(58; 76; 192),1066
88.0,0.0,18.0,False,False,(58; 76; 192),1066
89.0,0.0,18.0,False,False,(58; 76; 192),1066
90.0,0.0,18.0,False,False,(58; 76; 192),1066
91.0,0.0,18.0,False,False,(58; 76; 192),1066
92.0,0.0,18.0,False,False,(58; 76; 192),1066
93.0,0.0,18.0,False,False,(58; 76; 192),1066
94.0,0.0,18.0,False,False,(58; 76; 192),1066
95.0,0.0,18.0,False,False,(58; 76; 192),1066
96.0,0.0,18.0,False,False,(58; 76; 192),1066
