minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0.0,0.0,18.0,False,False,(58; 76; 192),853
1.0,0.0,18.0,False,False,(58; 76; 192),853
2.0,0.0,18.0,False,False,(58; 76; 192),853
3.0,0.0,18.0,False,False,(58; 76; 192),853
4.0,0.0,18.0,False,False,(58; 76; 192),853
5.0,0.0,18.0,False,False,(58; 76; 192),853
6.0,0.0,18.0,False,False,(58; 76; 192),853
7.0,0.0,18.0,False,False,(58; 76; 192),853
8.0,0.0,18.0,False,False,(58; 76; 192),853
9.0,0.0,18.0,False,False,(58; 76; 192),853
10.0,0.0,18.0,False,False,(58; 76; 192),853
11.0,0.0,18.0,False,False,(58; 76; 192),853
12.0,0.0,18.0,False,False,(58; 76; 192),853
13.0,0.0,18.0,False,False,(58; 76; 192),853
14.0,0.0,18.0,False,False,(58; 76; 192),853
15.0,0.0,18.0,False,False,(58; 76; 192),853
16.0,0.0,18.0,False,False,(58; 76; 192),853
17.0,0.0,18.0,False,False,(58; 76; 192),853
18.0,0.0,18.0,False,False,(58; 76; 192),853
19.0,0.0,18.0,False,False,(58; 76; 192),853
20.0,0.0,18.0,False,False,(58; 76; 192),853
21.0,0.0,18.0,False,False,(58; 76; 192),853
22.0,0.0,18.0,False,False,(58; 76; 192),853
23.0,0.0,18.0,False,False,(58; 76; 192),853
24.0,0.0,18.0,False,False,(58; 76; 192),853
25.0,0.0,18.0,False,False,(58; 76; 192),853
26.0,0.0,18.0,False,False,(58; 76; 192),853
27.0,0.0,18.0,False,False,(58; 76; 192),853
28.0,0.0,18.0,False,False,(58; 76; 192),853
29.0,0.0,18.0,False,False,(58; 76; 192),853
30.0,0.0,18.0,False,False,(58; 76; 192),853
31.0,0.0,18.0,False,False,(58; 76; 192),853
32.0,0.0,18.0,False,False,(58; 76; 192),853
33.0,0.0,18.0,False,False,(58; 76; 192),853
34.0,0.0,18.0,False,False,(58; 76; 192),853
35.0,0.0,18.0,False,False,(58; 76; 192),853
36.0,0.0,18.0,False,False,(58; 76; 192),853
37.0,0.0,18.0,False,False,(58; 76; 192),853
38.0,0.0,18.0,False,False,(58; 76; 192),853
39.0,0.0,18.0,False,False,(58; 76; 192),853
40.0,0.0,18.0,False,False,(58; 76; 192),853
41.0,0.0,18.0,False,False,(58; 76; 192),853
42.0,0.0,18.0,False,False,(58; 76; 192),853
43.0,0.0,18.0,False,False,(58; 76; 192),853
44.0,0.0,18.0,False,False,(58; 76; 192),853
45.0,0.0,18.0,False,False,(58; 76; 192),853
46.0,0.0,18.0,False,False,(58; 76; 192),853
47.0,0.0,18.0,False,False,(58; 76; 192),853
48.0,0.0,18.0,False,False,(58; 76; 192),853
49.0,0.0,18.0,False,False,(58; 76; 192),853
50.0,0.0,18.0,False,False,(58; 76; 192),853
51.0,0.0,18.0,False,False,(58; 76; 192),853
52.0,0.0,18.0,False,False,(58; 76; 192),853
53.0,0.0,18.0,False,False,(58; 76; 192),853
54.0,0.0,18.0,False,False,(58; 76; 192),853
55.0,0.0,18.0,False,False,(58; 76; 192),853
56.0,0.0,18.0,False,False,(58; 76; 192),853
57.0,0.0,18.0,False,False,(58; 76; 192),853
58.0,0.0,18.0,False,False,(58; 76; 192),853
59.0,0.0,18.0,False,False,(58; 76; 192),853
60.0,0.0,18.0,False,False,(58; 76; 192),853
61.0,0.0,18.0,False,False,(58; 76; 192),853
62.0,0.0,18.0,False,False,(58; 76; 192),853
63.0,0.0,18.0,False,False,(58; 76; 192),853
64.0,0.0,18.0,False,False,(58; 76; 192),853
65.0,0.0,18.0,False,False,(58; 76; 192),853
66.0,0.0,18.0,False,False,(58; 76; 192),853
67.0,0.0,18.0,False,False,(58; 76; 192),853
68.0,0.0,18.0,False,False,(58; 76; 192),853
69.0,0.0,18.0,False,False,(58; 76; 192),853
70.0,0.0,18.0,False,False,(58; 76; 192),853
71.0,0.0,18.0,False,False,(58; 76; 192),853
72.0,0.0,18.0,False,False,(58; 76; 192),853
73.0,0.0,18.0,False,False,(58; 76; 192),853
74.0,0.0,18.0,False,False,(58; 76; 192),853
75.0,0.0,18.0,False,False,(58; 76; 192),853
76.0,0.0,18.0,False,False,(58; 76; 192),853
77.0,0.0,18.0,False,False,(58; 76; 192),853
78.0,0.0,18.0,False,False,(58; 76; 192),853
79.0,0.0,18.0,False,False,(58; 76; 192),853
80.0,0.0,18.0,False,False,(58; 76; 192),853
81.0,0.0,18.0,False,False,(58; 76; 192),853
82.0,0.0,18.0,False,False,(58; 76; 192),853
83.0,0.0,18.0,False,False,(58; 76; 192),853
84.0,0.0,18.0,False,False,(58; 76; 192),853
85.0,0.0,18.0,False,False,(58; 76; 192),853
86.0,0.0,18.0,False,False,(58; 76; 192),853
87.0,0.0,18.0,False,False,(58; 76; 192),853
88.0,0.0,18.0,False,False,(58; 76; 192),853
89.0,0.0,18.0,False,False,(58; 76; 192),853
90.0,0.0,18.0,False,False,(58; 76; 192),853
91.0,0.0,18.0,False,False,(58; 76; 192),853
92.0,0.0,18.0,False,False,(58; 76; 192),853
93.0,0.0,18.0,False,False,(58; 76; 192),853
94.0,0.0,18.0,False,False,(58; 76; 192),853
95.0,0.0,18.0,False,False,(58; 76; 192),853
96.0,0.0,18.0,False,False,(58; 76; 192),853
97.0,0.0,18.0,False,False,(58; 76; 192),853
98.0,0.0,18.0,False,False,(58; 76; 192),853
99.0,0.0,18.0,False,False,(58; 76; 192),853
100.0,0.0,18.0,False,False,(58; 76; 192),853
101.0,0.0,18.0,False,False,(58; 76; 192),853
102.0,0.0,18.0,False,False,(58; 76; 192),853
103.0,0.0,18.0,False,False,(58; 76; 192),853
104.0,0.0,18.0,False,False,(58; 76; 192),853
105.0,0.0,18.0,False,False,(58; 76; 192),853
106.0,0.0,18.0,False,False,(58; 76; 192),853
107.0,0.0,18.0,False,False,(58; 76; 192),853
108.0,0.0,18.0,False,False,(58; 76; 192),853
109.0,0.0,18.0,False,False,(58; 76; 192),853
110.0,0.0,18.0,False,False,(58; 76; 192),853
111.0,0.0,18.0,False,False,(58; 76; 192),853
112.0,0.0,18.0,False,False,(58; 76; 192),853
113.0,0.0,18.0,False,False,(58; 76; 192),853
114.0,0.0,18.0,False,False,(58; 76; 192),853
115.0,0.0,18.0,False,False,(58; 76; 192),853
116.0,0.0,18.0,False,False,(58; 76; 192),853
117.0,0.0,18.0,False,False,(58; 76; 192),853
118.0,0.0,18.0,False,False,(58; 76; 192),853
119.0,0.0,18.0,False,False,(58; 76; 192),853
120.0,0.0,18.0,False,False,(58; 76; 192),853
121.0,0.0,18.0,False,False,(58; 76; 192),853
122.0,0.0,18.0,False,False,(58; 76; 192),853
123.0,0.0,18.0,False,False,(58; 76; 192),853
124.0,0.0,18.0,False,False,(58; 76; 192),853
125.0,0.0,18.0,False,False,(58; 76; 192),853
126.0,0.0,18.0,False,False,(58; 76; 192),853
127.0,0.0,18.0,False,False,(58; 76; 192),853
128.0,0.0,18.0,False,False,(58; 76; 192),853
129.0,0.0,18.0,False,False,(58; 76; 192),853
130.0,0.0,18.0,False,False,(58; 76; 192),853
131.0,0.0,18.0,False,False,(58; 76; 192),853
132.0,0.0,18.0,False,False,(58; 76; 192),853
133.0,0.0,18.0,False,False,(58; 76; 192),853
134.0,0.0,18.0,False,False,(58; 76; 192),853
135.0,0.0,18.0,False,False,(58; 76; 192),853
136.0,0.0,18.0,False,False,(58; 76; 192),853
137.0,0.0,18.0,False,False,(58; 76; 192),853
138.0,0.0,18.0,False,False,(58; 76; 192),853
139.0,0.0,18.0,False,False,(58; 76; 192),853
140.0,0.0,18.0,False,False,(58; 76; 192),853
141.0,0.0,18.0,False,False,(58; 76; 192),853
142.0,0.0,18.0,False,False,(58; 76; 192),853
143.0,0.0,18.0,False,False,(58; 76; 192),853
144.0,0.0,18.0,False,False,(58; 76; 192),853
145.0,0.0,18.0,False,False,(58; 76; 192),853
146.0,0.0,18.0,False,False,(58; 76; 192),853
147.0,0.0,18.0,False,False,(58; 76; 192),853
148.0,0.0,18.0,False,False,(58; 76; 192),853
149.0,0.0,18.0,False,False,(58; 76; 192),853
150.0,0.0,18.0,False,False,(58; 76; 192),853
151.0,0.0,18.0,False,False,(58; 76; 192),853
152.0,0.0,18.0,False,False,(58; 76; 192),853
153.0,0.0,18.0,False,False,(58; 76; 192),853
154.0,0.0,18.0,False,False,(58; 76; 192),853
155.0,0.0,18.0,False,False,(58; 76; 192),853
156.0,0.0,18.0,False,False,(58; 76; 192),853
157.0,0.0,18.0,False,False,(58; 76; 192),853
158.0,0.0,18.0,False,False,(58; 76; 192),853
159.0,0.0,18.0,False,False,(58; 76; 192),853
160.0,0.0,18.0,False,False,(58; 76; 192),853
161.0,0.0,18.0,False,False,(58; 76; 192),853
162.0,0.0,18.0,False,False,(58; 76; 192),853
163.0,0.0,18.0,False,False,(58; 76; 192),853
164.0,0.0,18.0,False,False,(58; 76; 192),853
165.0,0.0,18.0,False,False,(58; 76; 192),853
166.0,0.0,18.0,False,False,(58; 76; 192),853
167.0,0.0,18.0,False,False,(58; 76; 192),853
168.0,0.0,18.0,False,False,(58; 76; 192),853
169.0,0.0,18.0,False,False,(58; 76; 192),853
170.0,0.0,18.0,False,False,(58; 76; 192),853
171.0,0.0,18.0,False,False,(58; 76; 192),853
172.0,0.0,18.0,False,False,(58; 76; 192),853
173.0,0.0,18.0,False,False,(58; 76; 192),853
174.0,0.0,18.0,False,False,(58; 76; 192),853
175.0,0.0,18.0,False,False,(58; 76; 192),853
176.0,0.0,18.0,False,False,(58; 76; 192),853
177.0,0.0,18.0,False,False,(58; 76; 192),853
178.0,0.0,18.0,False,False,(58; 76; 192),853
179.0,0.0,18.0,False,False,(58; 76; 192),853
180.0,0.0,18.0,False,False,(58; 76; 192),853
181.0,0.0,18.0,False,False,(58; 76; 192),853
182.0,0.0,18.0,False,False,(58; 76; 192),853
183.0,0.0,18.0,False,False,(58; 76; 192),853
184.0,0.0,18.0,False,False,(58; 76; 192),853
185.0,0.0,18.0,False,False,(58; 76; 192),853
186.0,0.0,18.0,False,False,(58; 76; 192),853
187.0,0.0,18.0,False,False,(58; 76; 192),853
188.0,0.0,18.0,False,False,(58; 76; 192),853
189.0,0.0,18.0,False,False,(58; 76; 192),853
190.0,0.0,18.0,False,False,(58; 76; 192),853
191.0,0.0,18.0,False,False,(58; 76; 192),853
192.0,0.0,18.0,False,False,(58; 76; 192),853
193.0,0.0,18.0,False,False,(58; 76; 192),853
194.0,0.0,18.0,False,False,(58; 76; 192),853
195.0,0.0,18.0,False,False,(58; 76; 192),853
196.0,0.0,18.0,False,False,(58; 76; 192),853
197.0,0.0,18.0,False,False,(58; 76; 192),853
198.0,0.0,18.0,False,False,(58; 76; 192),853
199.0,0.0,18.0,False,False,(58; 76; 192),853
200.0,0.0,18.0,False,False,(58; 76; 192),853
201.0,0.0,18.0,False,False,(58; 76; 192),853
202.0,0.0,18.0,False,False,(58; 76; 192),853
203.0,0.0,18.0,False,False,(58; 76; 192),853
204.0,0.0,18.0,False,False,(58; 76; 192),853
205.0,0.0,18.0,False,False,(58; 76; 192),853
206.0,0.0,18.0,False,False,(58; 76; 192),853
207.0,0.0,18.0,False,False,(58; 76; 192),853
208.0,0.0,18.0,False,False,(58; 76; 192),853
209.0,0.0,18.0,False,False,(58; 76; 192),853
210.0,0.0,18.0,False,False,(58; 76; 192),853
211.0,0.0,18.0,False,False,(58; 76; 192),853
212.0,0.0,18.0,False,False,(58; 76; 192),853
213.0,0.0,18.0,False,False,(58; 76; 192),853
214.0,0.0,18.0,False,False,(58; 76; 192),853
215.0,0.0,18.0,False,False,(58; 76; 192),853
216.0,0.0,18.0,False,False,(58; 76; 192),853
217.0,0.0,18.0,False,False,(58; 76; 192),853
218.0,0.0,18.0,False,False,(58; 76; 192),853
219.0,0.0,18.0,False,False,(58; 76; 192),853
220.0,0.0,18.0,False,False,(58; 76; 192),853
221.0,0.0,18.0,False,False,(58; 76; 192),853
222.0,0.0,18.0,False,False,(58; 76; 192),853
223.0,0.0,18.0,False,False,(58; 76; 192),853
224.0,0.0,18.0,False,False,(58; 76; 192),853
