minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0.0,0.0,18.0,False,False,(58; 76; 192),1336
1.0,0.0,18.0,False,False,(58; 76; 192),1336
2.0,0.0,18.0,False,False,(58; 76; 192),1336
3.0,0.0,18.0,False,False,(58; 76; 192),1336
4.0,0.0,18.0,False,False,(58; 76; 192),1336
5.0,0.0,18.0,False,False,(58; 76; 192),1336
6.0,0.0,18.0,False,False,(58; 76; 192),1336
7.0,0.0,18.0,False,False,(58; 76; 192),1336
8.0,0.0,18.0,False,False,(58; 76; 192),1336
9.0,0.0,18.0,False,False,(58; 76; 192),1336
10.0,0.0,18.0,False,False,(58; 76; 192),1336
11.0,0.0,18.0,False,False,(58; 76; 192),1336
12.0,0.0,18.0,False,False,(58; 76; 192),1336
13.0,0.0,18.0,False,False,(58; 76; 192),1336
14.0,0.0,18.0,False,False,(58; 76; 192),1336
15.0,0.0,18.0,False,False,(58; 76; 192),1336
16.0,0.0,18.0,False,False,(58; 76; 192),1336
17.0,0.0,18.0,False,False,(58; 76; 192),1336
18.0,0.0,18.0,False,False,(58; 76; 192),1336
19.0,0.0,18.0,False,False,(58; 76; 192),1336
20.0,0.0,18.0,False,False,(58; 76; 192),1336
21.0,0.0,18.0,False,False,(58; 76; 192),1336
22.0,0.0,18.0,False,False,(58; 76; 192),1336
23.0,0.0,18.0,False,False,(58; 76; 192),1336
24.0,0.0,18.0,False,False,(58; 76; 192),1336
25.0,0.0,18.0,False,False,(58; 76; 192),1336
26.0,0.0,18.0,False,False,(58; 76; 192),1336
27.0,0.0,18.0,False,False,(58; 76; 192),1336
28.0,0.0,18.0,False,False,(58; 76; 192),1336
29.0,0.0,18.0,False,False,(58; 76; 192),1336
30.0,0.0,18.0,False,False,(58; 76; 192),1336
31.0,0.0,18.0,False,False,(58; 76; 192),1336
32.0,0.0,18.0,False,False,(58; 76; 192),1336
33.0,0.0,18.0,False,False,(58; 76; 192),1336
34.0,0.0,18.0,False,False,(58; 76; 192),1336
35.0,0.0,18.0,False,False,(58; 76; 192),1336
36.0,0.0,18.0,False,False,(58; 76; 192),1336
37.0,0.0,18.0,False,False,(58; 76; 192),1336
38.0,0.0,18.0,False,False,(58; 76; 192),1336
39.0,0.0,18.0,False,False,(58; 76; 192),1336
40.0,0.0,18.0,False,False,(58; 76; 192),1336
41.0,0.0,18.0,False,False,(58; 76; 192),1336
42.0,0.0,18.0,False,False,(58; 76; 192),1336
43.0,0.0,18.0,False,False,(58; 76; 192),1336
44.0,0.0,18.0,False,False,(58; 76; 192),1336
45.0,0.0,18.0,False,False,(58; 76; 192),1336
46.0,0.0,18.0,False,False,(58; 76; 192),1336
47.0,0.0,18.0,False,False,(58; 76; 192),1336
48.0,0.0,18.0,False,False,(58; 76; 192),1336
49.0,0.0,18.0,False,False,(58; 76; 192),1336
50.0,0.0,18.0,False,False,(58; 76; 192),1336
51.0,0.0,18.0,False,False,(58; 76; 192),1336
52.0,0.0,18.0,False,False,(58; 76; 192),1336
53.0,0.0,18.0,False,False,(58; 76; 192),1336
54.0,0.0,18.0,False,False,(58; 76; 192),1336
55.0,0.0,18.0,False,False,(58; 76; 192),1336
56.0,0.0,18.0,False,False,(58; 76; 192),1336
57.0,0.0,18.0,False,False,(58; 76; 192),1336
58.0,0.0,18.0,False,False,(58; 76; 192),1336
59.0,0.0,18.0,False,False,(58; 76; 192),1336
60.0,0.0,18.0,False,False,(58; 76; 192),1336
61.0,0.0,18.0,False,False,(58; 76; 192),1336
62.0,0.0,18.0,False,False,(58; 76; 192),1336
63.0,0.0,18.0,False,False,(58; 76; 192),1336
64.0,0.0,18.0,False,False,(58; 76; 192),1336
65.0,0.0,18.0,False,False,(58; 76; 192),1336
66.0,0.0,18.0,False,False,(58; 76; 192),1336
67.0,0.0,18.0,False,False,(58; 76; 192),1336
68.0,0.0,18.0,False,False,(58; 76; 192),1336
69.0,0.0,18.0,False,False,(58; 76; 192),1336
70.0,0.0,18.0,False,False,(58; 76; 192),1336
71.0,0.0,18.0,False,False,(58; 76; 192),1336
72.0,0.0,18.0,False,False,(58; 76; 192),1336
73.0,0.0,18.0,False,False,(58; 76; 192),1336
74.0,0.0,18.0,False,False,(58; 76; 192),1336
75.0,0.0,18.0,False,False,(58; 76; 192),1336
76.0,0.0,18.0,False,False,(58; 76; 192),1336
77.0,0.0,18.0,False,False,(58; 76; 192),1336
78.0,0.0,18.0,False,False,(58; 76; 192),1336
79.0,0.0,18.0,False,False,(58; 76; 192),1336
80.0,0.0,18.0,False,False,(58; 76; 192),1336
81.0,0.0,18.0,False,False,(58; 76; 192),1336
82.0,0.0,18.0,False,False,(58; 76; 192),1336
83.0,0.0,18.0,False,False,(58; 76; 192),1336
84.0,0.0,18.0,False,False,(58; 76; 192),1336
85.0,0.0,18.0,False,False,(58; 76; 192),1336
86.0,0.0,18.0,False,False,(58; 76; 192),1336
87.0,0.0,18.0,False,False,(58; 76; 192),1336
88.0,0.0,18.0,False,False,(58; 76; 192),1336
89.0,0.0,18.0,False,False,(58; 76; 192),1336
90.0,0.0,18.0,False,False,(58; 76; 192),1336
91.0,0.0,18.0,False,False,(58; 76; 192),1336
92.0,0.0,18.0,False,False,(58; 76; 192),1336
93.0,0.0,18.0,False,False,(58; 76; 192),1336
94.0,0.0,18.0,False,False,(58; 76; 192),1336
95.0,0.0,18.0,False,False,(58; 76; 192),1336
96.0,0.0,18.0,False,False,(58; 76; 192),1336
97.0,0.0,18.0,False,False,(58; 76; 192),1336
98.0,0.0,18.0,False,False,(58; 76; 192),1336
99.0,0.0,18.0,False,False,(58; 76; 192),1336
100.0,0.0,18.0,False,False,(58; 76; 192),1336
101.0,0.0,18.0,False,False,(58; 76; 192),1336
102.0,0.0,18.0,False,False,(58; 76; 192),1336
103.0,0.0,18.0,False,False,(58; 76; 192),1336
104.0,0.0,18.0,False,False,(58; 76; 192),1336
105.0,0.0,18.0,False,False,(58; 76; 192),1336
106.0,0.0,18.0,False,False,(58; 76; 192),1336
107.0,0.0,18.0,False,False,(58; 76; 192),1336
108.0,0.0,18.0,False,False,(58; 76; 192),1336
109.0,0.0,18.0,False,False,(58; 76; 192),1336
