idx_prediction,week_num,day,day_new,hour,minute,x_actual,y_actual,z_actual,room_actual,x_prediction,y_prediction,z_prediction,room_prediction
1218,43.0,216,Tue,9,24,-28.8630524,-8.933346,-35.4653358,4C-05,-29.402145385742188,1.5453319549560547,-30.374396324157715,5C-02.1
1219,43.0,216,Tue,10,20,-33.010000000000005,1.56665456,-32.87,5C-02.1,-32.79456329345703,1.5721750259399414,-32.757654666900635,5C-02.1
1220,43.0,216,Tue,10,40,-32.04684,1.56665456,-31.6361771,5C-02.1,-31.620807647705078,1.572463035583496,-10.04307746887207,Treppenhaus 5. OG
1221,43.0,216,Tue,11,35,-32.86081,1.56665456,-32.7580376,5C-02.1,-32.67700004577637,1.570444107055664,-32.647576332092285,5C-02.1
1222,43.0,216,Tue,12,13,-14.859993000000003,1.56665456,-3.299982,Küche 5. OG,-15.2734375,1.5713109970092773,-9.207754135131836,Vorraum 5C-15
1223,43.0,216,Tue,13,5,-31.5467167,1.56665456,-30.9955635,5C-02.1,-31.649471282958984,1.5662879943847656,-31.615936279296875,5C-02.1
1224,43.0,216,Tue,15,32,-31.5493183,1.56665456,-30.9988937,5C-02.1,-32.34310531616211,1.563248634338379,-32.37163782119751,5C-02.1
1225,43.0,216,Tue,16,37,-31.4414749,1.56665456,-31.6845436,5C-02.1,-32.08992576599121,1.562295913696289,-30.30672836303711,5C-02.1
1226,43.0,217,Wed,8,59,-29.82,1.56665456,-34.37,5C-02.1,-31.425331115722656,1.5677518844604492,-10.670465469360352,Treppenhaus 5. OG
1227,43.0,217,Wed,9,28,-31.9047852,1.56665456,-33.8121338,5C-02.1,-32.0357608795166,1.569112777709961,-32.98298978805542,5C-02.1
1228,43.0,217,Wed,10,51,-33.010000000000005,1.56665456,-32.87,5C-02.1,-32.081743240356445,1.5706024169921875,-32.703025341033936,5C-02.1
1229,43.0,217,Wed,11,46,-32.04623,1.56665456,-31.635294,5C-02.1,-32.61126708984375,1.5708999633789062,-32.92005014419556,5C-02.1
1230,43.0,217,Wed,12,13,5.8160095200000015,-8.933346,-9.394984999999998,Flur 4. OG Übergang,6.0414581298828125,1.5733098983764648,-7.963279724121094,
1231,43.0,217,Wed,12,43,-33.010000000000005,1.56665456,-32.87,5C-02.1,-32.75464057922363,1.5709114074707031,-32.877604961395264,5C-02.1
1232,43.0,217,Wed,13,22,-33.010000000000005,1.56665456,-32.87,5C-02.1,-32.95080757141113,1.5647153854370117,-33.08909320831299,5C-02.1
1233,43.0,217,Wed,13,53,-32.84553,1.56665456,-32.7471657,5C-02.1,-32.59572219848633,1.5622615814208984,-32.82006216049194,5C-02.1
1234,43.0,217,Wed,14,39,-31.8543968,1.56665456,-32.00243,5C-02.1,-32.50967216491699,1.5621147155761719,-32.82072591781616,5C-02.1
1235,43.0,217,Wed,16,40,-33.010000000000005,1.56665456,-32.87,5C-02.1,-32.6002197265625,1.562021255493164,-32.92140483856201,5C-02.1
1236,43.0,218,Thu,8,50,-33.010000000000005,1.56665456,-32.87,5C-02.1,-32.668989181518555,1.5654850006103516,-32.881773948669434,5C-02.1
1237,43.0,218,Thu,9,31,-31.625267,1.56665456,-31.1711845,5C-02.1,-32.00677299499512,1.5666255950927734,-18.569669723510742,Flur 5. OG
1238,43.0,218,Thu,10,29,-18.9010277,1.56665456,-18.93856,5C-01.1,-18.845550537109375,1.5693702697753906,-19.208614349365234,5C-01.1
1239,43.0,218,Thu,11,40,-32.777298,1.56665456,-32.57191,5C-02.1,-32.58145713806152,1.570444107055664,-32.501548767089844,5C-02.1
1240,43.0,218,Thu,12,9,5.8160095200000015,-8.933346,-9.394984999999998,Flur 4. OG Übergang,5.7977294921875,1.5739288330078125,-8.466651916503906,
1241,43.0,218,Thu,12,49,-32.0023842,1.56665456,-32.1140442,5C-02.1,-32.72843933105469,1.5716009140014648,-32.7412428855896,5C-02.1
1242,43.0,218,Thu,16,29,-31.58536,1.56665456,-31.0450077,5C-02.1,-32.465179443359375,1.5649194717407227,-32.56138038635254,5C-02.1
