,minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0,0.0,0.0,18.0,False,False,(58; 76; 192),176
1,1.0,0.0,18.0,False,False,(58; 76; 192),176
2,2.0,0.0,18.0,False,False,(58; 76; 192),176
3,3.0,0.0,18.0,False,False,(58; 76; 192),176
4,4.0,0.0,18.0,False,False,(58; 76; 192),176
5,5.0,0.0,18.0,False,False,(58; 76; 192),176
6,6.0,0.0,18.0,False,False,(58; 76; 192),176
7,7.0,0.0,18.0,False,False,(58; 76; 192),176
8,8.0,0.0,18.0,False,False,(58; 76; 192),176
9,9.0,0.0,18.0,False,False,(58; 76; 192),176
10,10.0,0.0,18.0,False,False,(58; 76; 192),176
11,11.0,0.0,18.0,False,False,(58; 76; 192),176
12,12.0,0.0,18.0,False,False,(58; 76; 192),176
13,13.0,0.0,18.0,False,False,(58; 76; 192),176
14,14.0,0.0,18.0,False,False,(58; 76; 192),176
15,15.0,0.0,18.0,False,False,(58; 76; 192),176
16,16.0,0.0,18.0,False,False,(58; 76; 192),176
17,17.0,0.0,18.0,False,False,(58; 76; 192),176
18,18.0,0.0,18.0,False,False,(58; 76; 192),176
19,19.0,0.0,18.0,False,False,(58; 76; 192),176
20,20.0,0.0,18.0,False,False,(58; 76; 192),176
21,21.0,0.0,18.0,False,False,(58; 76; 192),176
22,22.0,0.0,18.0,False,False,(58; 76; 192),176
23,23.0,0.0,18.0,False,False,(58; 76; 192),176
24,24.0,0.0,18.0,False,False,(58; 76; 192),176
25,25.0,0.0,18.0,False,False,(58; 76; 192),176
26,26.0,0.0,18.0,False,False,(58; 76; 192),176
27,27.0,0.0,18.0,False,False,(58; 76; 192),176
28,28.0,0.0,18.0,False,False,(58; 76; 192),176
29,29.0,0.0,18.0,False,False,(58; 76; 192),176
30,30.0,0.0,18.0,False,False,(58; 76; 192),176
31,31.0,0.0,18.0,False,False,(58; 76; 192),176
32,32.0,0.0,18.0,False,False,(58; 76; 192),176
33,33.0,0.0,18.0,False,False,(58; 76; 192),176
34,34.0,0.0,18.0,False,False,(58; 76; 192),176
35,35.0,0.0,18.0,False,False,(58; 76; 192),176
36,36.0,0.0,18.0,False,False,(58; 76; 192),176
37,37.0,0.0,18.0,False,False,(58; 76; 192),176
38,38.0,0.0,18.0,False,False,(58; 76; 192),176
39,39.0,0.0,18.0,False,False,(58; 76; 192),176
40,40.0,0.0,18.0,False,False,(58; 76; 192),176
41,41.0,0.0,18.0,False,False,(58; 76; 192),176
42,42.0,0.0,18.0,False,False,(58; 76; 192),176
43,43.0,0.0,18.0,False,False,(58; 76; 192),176
44,44.0,0.0,18.0,False,False,(58; 76; 192),176
45,45.0,0.0,18.0,False,False,(58; 76; 192),176
46,46.0,0.0,18.0,False,False,(58; 76; 192),176
47,47.0,0.0,18.0,False,False,(58; 76; 192),176
48,48.0,0.0,18.0,False,False,(58; 76; 192),176
49,49.0,0.0,18.0,False,False,(58; 76; 192),176
50,50.0,0.0,18.0,False,False,(58; 76; 192),176
51,51.0,0.0,18.0,False,False,(58; 76; 192),176
52,52.0,0.0,18.0,False,False,(58; 76; 192),176
53,53.0,0.0,18.0,False,False,(58; 76; 192),176
54,54.0,0.0,18.0,False,False,(58; 76; 192),176
55,55.0,0.0,18.0,False,False,(58; 76; 192),176
56,56.0,0.0,18.0,False,False,(58; 76; 192),176
57,57.0,0.0,18.0,False,False,(58; 76; 192),176
58,58.0,0.0,18.0,False,False,(58; 76; 192),176
59,59.0,0.0,18.0,False,False,(58; 76; 192),176
60,60.0,0.0,18.0,False,False,(58; 76; 192),176
61,61.0,0.0,18.0,False,False,(58; 76; 192),176
62,62.0,0.0,18.0,False,False,(58; 76; 192),176
63,63.0,0.0,18.0,False,False,(58; 76; 192),176
64,64.0,0.0,18.0,False,False,(58; 76; 192),176
65,65.0,0.0,18.0,False,False,(58; 76; 192),176
66,66.0,0.0,18.0,False,False,(58; 76; 192),176
67,67.0,0.0,18.0,False,False,(58; 76; 192),176
68,68.0,0.0,18.0,False,False,(58; 76; 192),176
69,69.0,0.0,18.0,False,False,(58; 76; 192),176
70,70.0,0.0,18.0,False,False,(58; 76; 192),176
71,71.0,0.0,18.0,False,False,(58; 76; 192),176
72,72.0,0.0,18.0,False,False,(58; 76; 192),176
73,73.0,0.0,18.0,False,False,(58; 76; 192),176
74,74.0,0.0,18.0,False,False,(58; 76; 192),176
75,75.0,0.0,18.0,False,False,(58; 76; 192),176
76,76.0,0.0,18.0,False,False,(58; 76; 192),176
77,77.0,0.0,18.0,False,False,(58; 76; 192),176
78,78.0,0.0,18.0,False,False,(58; 76; 192),176
79,79.0,0.0,18.0,False,False,(58; 76; 192),176
80,80.0,0.0,18.0,False,False,(58; 76; 192),176
81,81.0,0.0,18.0,False,False,(58; 76; 192),176
82,82.0,0.0,18.0,False,False,(58; 76; 192),176
83,83.0,0.0,18.0,False,False,(58; 76; 192),176
84,84.0,0.0,18.0,False,False,(58; 76; 192),176
85,85.0,0.0,18.0,False,False,(58; 76; 192),176
86,86.0,0.0,18.0,False,False,(58; 76; 192),176
87,87.0,0.0,18.0,False,False,(58; 76; 192),176
88,88.0,0.0,18.0,False,False,(58; 76; 192),176
89,89.0,0.0,18.0,False,False,(58; 76; 192),176
90,90.0,0.0,18.0,False,False,(58; 76; 192),176
91,91.0,0.0,18.0,False,False,(58; 76; 192),176
92,92.0,0.0,18.0,False,False,(58; 76; 192),176
93,93.0,0.0,18.0,False,False,(58; 76; 192),176
94,94.0,0.0,18.0,False,False,(58; 76; 192),176
95,95.0,0.0,18.0,False,False,(58; 76; 192),176
96,96.0,0.0,18.0,False,False,(58; 76; 192),176
97,97.0,0.0,18.0,False,False,(58; 76; 192),176
98,98.0,0.0,18.0,False,False,(58; 76; 192),176
99,99.0,0.0,18.0,False,False,(58; 76; 192),176
100,100.0,0.0,18.0,False,False,(58; 76; 192),176
101,101.0,0.0,18.0,False,False,(58; 76; 192),176
102,102.0,0.0,18.0,False,False,(58; 76; 192),176
103,103.0,0.0,18.0,False,False,(58; 76; 192),176
104,104.0,0.0,18.0,False,False,(58; 76; 192),176
105,105.0,0.0,18.0,False,False,(58; 76; 192),176
106,106.0,0.0,18.0,False,False,(58; 76; 192),176
107,107.0,0.0,18.0,False,False,(58; 76; 192),176
108,108.0,0.0,18.0,False,False,(58; 76; 192),176
