,minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0,0.0,0.0,18.0,False,False,(58; 76; 192),702
1,1.0,0.0,18.0,False,False,(58; 76; 192),702
2,2.0,0.0,18.0,False,False,(58; 76; 192),702
3,3.0,0.0,18.0,False,False,(58; 76; 192),702
4,4.0,0.0,18.0,False,False,(58; 76; 192),702
5,5.0,0.0,18.0,False,False,(58; 76; 192),702
6,6.0,0.0,18.0,False,False,(58; 76; 192),702
7,7.0,0.0,18.0,False,False,(58; 76; 192),702
8,8.0,0.0,18.0,False,False,(58; 76; 192),702
9,9.0,0.0,18.0,False,False,(58; 76; 192),702
10,10.0,0.0,18.0,False,False,(58; 76; 192),702
11,11.0,0.0,18.0,False,False,(58; 76; 192),702
12,12.0,0.0,18.0,False,False,(58; 76; 192),702
13,13.0,0.0,18.0,False,False,(58; 76; 192),702
14,14.0,0.0,18.0,False,False,(58; 76; 192),702
15,15.0,0.0,18.0,False,False,(58; 76; 192),702
16,16.0,0.0,18.0,False,False,(58; 76; 192),702
17,17.0,0.0,18.0,False,False,(58; 76; 192),702
18,18.0,0.0,18.0,False,False,(58; 76; 192),702
19,19.0,0.0,18.0,False,False,(58; 76; 192),702
20,20.0,0.0,18.0,False,False,(58; 76; 192),702
21,21.0,0.0,18.0,False,False,(58; 76; 192),702
22,22.0,0.0,18.0,False,False,(58; 76; 192),702
23,23.0,0.0,18.0,False,False,(58; 76; 192),702
24,24.0,0.0,18.0,False,False,(58; 76; 192),702
25,25.0,0.0,18.0,False,False,(58; 76; 192),702
26,26.0,0.0,18.0,False,False,(58; 76; 192),702
27,27.0,0.0,18.0,False,False,(58; 76; 192),702
28,28.0,0.0,18.0,False,False,(58; 76; 192),702
29,29.0,0.0,18.0,False,False,(58; 76; 192),702
30,30.0,0.0,18.0,False,False,(58; 76; 192),702
31,31.0,0.0,18.0,False,False,(58; 76; 192),702
32,32.0,0.0,18.0,False,False,(58; 76; 192),702
33,33.0,0.0,18.0,False,False,(58; 76; 192),702
34,34.0,0.0,18.0,False,False,(58; 76; 192),702
35,35.0,0.0,18.0,False,False,(58; 76; 192),702
36,36.0,0.0,18.0,False,False,(58; 76; 192),702
37,37.0,0.0,18.0,False,False,(58; 76; 192),702
38,38.0,0.0,18.0,False,False,(58; 76; 192),702
39,39.0,0.0,18.0,False,False,(58; 76; 192),702
40,40.0,0.0,18.0,False,False,(58; 76; 192),702
41,41.0,0.0,18.0,False,False,(58; 76; 192),702
42,42.0,0.0,18.0,False,False,(58; 76; 192),702
43,43.0,0.0,18.0,False,False,(58; 76; 192),702
44,44.0,0.0,18.0,False,False,(58; 76; 192),702
45,45.0,0.0,18.0,False,False,(58; 76; 192),702
46,46.0,0.0,18.0,False,False,(58; 76; 192),702
