,minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0,0.0,0.0,18.0,False,False,(58; 76; 192),951
1,1.0,0.0,18.0,False,False,(58; 76; 192),951
2,2.0,0.0,18.0,False,False,(58; 76; 192),951
3,3.0,0.0,18.0,False,False,(58; 76; 192),951
4,4.0,0.0,18.0,False,False,(58; 76; 192),951
5,5.0,0.0,18.0,False,False,(58; 76; 192),951
6,6.0,0.0,18.0,False,False,(58; 76; 192),951
7,7.0,0.0,18.0,False,False,(58; 76; 192),951
8,8.0,0.0,18.0,False,False,(58; 76; 192),951
9,9.0,0.0,18.0,False,False,(58; 76; 192),951
10,10.0,0.0,18.0,False,False,(58; 76; 192),951
11,11.0,0.0,18.0,False,False,(58; 76; 192),951
12,12.0,0.0,18.0,False,False,(58; 76; 192),951
13,13.0,0.0,18.0,False,False,(58; 76; 192),951
14,14.0,0.0,18.0,False,False,(58; 76; 192),951
15,15.0,0.0,18.0,False,False,(58; 76; 192),951
16,16.0,0.0,18.0,False,False,(58; 76; 192),951
17,17.0,0.0,18.0,False,False,(58; 76; 192),951
18,18.0,0.0,18.0,False,False,(58; 76; 192),951
19,19.0,0.0,18.0,False,False,(58; 76; 192),951
20,20.0,0.0,18.0,False,False,(58; 76; 192),951
21,21.0,0.0,18.0,False,False,(58; 76; 192),951
22,22.0,0.0,18.0,False,False,(58; 76; 192),951
23,23.0,0.0,18.0,False,False,(58; 76; 192),951
24,24.0,0.0,18.0,False,False,(58; 76; 192),951
25,25.0,0.0,18.0,False,False,(58; 76; 192),951
26,26.0,0.0,18.0,False,False,(58; 76; 192),951
27,27.0,0.0,18.0,False,False,(58; 76; 192),951
28,28.0,0.0,18.0,False,False,(58; 76; 192),951
29,29.0,0.0,18.0,False,False,(58; 76; 192),951
30,30.0,0.0,18.0,False,False,(58; 76; 192),951
31,31.0,0.0,18.0,False,False,(58; 76; 192),951
32,32.0,0.0,18.0,False,False,(58; 76; 192),951
33,33.0,0.0,18.0,False,False,(58; 76; 192),951
34,34.0,0.0,18.0,False,False,(58; 76; 192),951
35,35.0,0.0,18.0,False,False,(58; 76; 192),951
36,36.0,0.0,18.0,False,False,(58; 76; 192),951
37,37.0,0.0,18.0,False,False,(58; 76; 192),951
38,38.0,0.0,18.0,False,False,(58; 76; 192),951
39,39.0,0.0,18.0,False,False,(58; 76; 192),951
40,40.0,0.0,18.0,False,False,(58; 76; 192),951
41,41.0,0.0,18.0,False,False,(58; 76; 192),951
42,42.0,0.0,18.0,False,False,(58; 76; 192),951
43,43.0,0.0,18.0,False,False,(58; 76; 192),951
44,44.0,0.0,18.0,False,False,(58; 76; 192),951
45,45.0,0.0,18.0,False,False,(58; 76; 192),951
46,46.0,0.0,18.0,False,False,(58; 76; 192),951
47,47.0,0.0,18.0,False,False,(58; 76; 192),951
48,48.0,0.0,18.0,False,False,(58; 76; 192),951
49,49.0,0.0,18.0,False,False,(58; 76; 192),951
50,50.0,0.0,18.0,False,False,(58; 76; 192),951
51,51.0,0.0,18.0,False,False,(58; 76; 192),951
52,52.0,0.0,18.0,False,False,(58; 76; 192),951
53,53.0,0.0,18.0,False,False,(58; 76; 192),951
54,54.0,0.0,18.0,False,False,(58; 76; 192),951
55,55.0,0.0,18.0,False,False,(58; 76; 192),951
56,56.0,0.0,18.0,False,False,(58; 76; 192),951
57,57.0,0.0,18.0,False,False,(58; 76; 192),951
58,58.0,0.0,18.0,False,False,(58; 76; 192),951
59,59.0,0.0,18.0,False,False,(58; 76; 192),951
60,60.0,0.0,18.0,False,False,(58; 76; 192),951
61,61.0,0.0,18.0,False,False,(58; 76; 192),951
62,62.0,0.0,18.0,False,False,(58; 76; 192),951
63,63.0,0.0,18.0,False,False,(58; 76; 192),951
64,64.0,0.0,18.0,False,False,(58; 76; 192),951
65,65.0,0.0,18.0,False,False,(58; 76; 192),951
66,66.0,0.0,18.0,False,False,(58; 76; 192),951
67,67.0,0.0,18.0,False,False,(58; 76; 192),951
68,68.0,0.0,18.0,False,False,(58; 76; 192),951
69,69.0,0.0,18.0,False,False,(58; 76; 192),951
70,70.0,0.0,18.0,False,False,(58; 76; 192),951
71,71.0,0.0,18.0,False,False,(58; 76; 192),951
72,72.0,0.0,18.0,False,False,(58; 76; 192),951
73,73.0,0.0,18.0,False,False,(58; 76; 192),951
74,74.0,0.0,18.0,False,False,(58; 76; 192),951
75,75.0,0.0,18.0,False,False,(58; 76; 192),951
76,76.0,0.0,18.0,False,False,(58; 76; 192),951
77,77.0,0.0,18.0,False,False,(58; 76; 192),951
78,78.0,0.0,18.0,False,False,(58; 76; 192),951
79,79.0,0.0,18.0,False,False,(58; 76; 192),951
80,80.0,0.0,18.0,False,False,(58; 76; 192),951
81,81.0,0.0,18.0,False,False,(58; 76; 192),951
82,82.0,0.0,18.0,False,False,(58; 76; 192),951
83,83.0,0.0,18.0,False,False,(58; 76; 192),951
84,84.0,0.0,18.0,False,False,(58; 76; 192),951
85,85.0,0.0,18.0,False,False,(58; 76; 192),951
86,86.0,0.0,18.0,False,False,(58; 76; 192),951
87,87.0,0.0,18.0,False,False,(58; 76; 192),951
88,88.0,0.0,18.0,False,False,(58; 76; 192),951
89,89.0,0.0,18.0,False,False,(58; 76; 192),951
90,90.0,0.0,18.0,False,False,(58; 76; 192),951
91,91.0,0.0,18.0,False,False,(58; 76; 192),951
92,92.0,0.0,18.0,False,False,(58; 76; 192),951
93,93.0,0.0,18.0,False,False,(58; 76; 192),951
94,94.0,0.0,18.0,False,False,(58; 76; 192),951
