,minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0,0.0,0.0,18.0,False,False,(58; 76; 192),808
1,1.0,0.0,18.0,False,False,(58; 76; 192),808
2,2.0,0.0,18.0,False,False,(58; 76; 192),808
3,3.0,0.0,18.0,False,False,(58; 76; 192),808
4,4.0,0.0,18.0,False,False,(58; 76; 192),808
5,5.0,0.0,18.0,False,False,(58; 76; 192),808
6,6.0,0.0,18.0,False,False,(58; 76; 192),808
7,7.0,0.0,18.0,False,False,(58; 76; 192),808
8,8.0,0.0,18.0,False,False,(58; 76; 192),808
9,9.0,0.0,18.0,False,False,(58; 76; 192),808
10,10.0,0.0,18.0,False,False,(58; 76; 192),808
11,11.0,0.0,18.0,False,False,(58; 76; 192),808
12,12.0,0.0,18.0,False,False,(58; 76; 192),808
13,13.0,0.0,18.0,False,False,(58; 76; 192),808
14,14.0,0.0,18.0,False,False,(58; 76; 192),808
15,15.0,0.0,18.0,False,False,(58; 76; 192),808
16,16.0,0.0,18.0,False,False,(58; 76; 192),808
17,17.0,0.0,18.0,False,False,(58; 76; 192),808
18,18.0,0.0,18.0,False,False,(58; 76; 192),808
19,19.0,0.0,18.0,False,False,(58; 76; 192),808
20,20.0,0.0,18.0,False,False,(58; 76; 192),808
21,21.0,0.0,18.0,False,False,(58; 76; 192),808
22,22.0,0.0,18.0,False,False,(58; 76; 192),808
23,23.0,0.0,18.0,False,False,(58; 76; 192),808
24,24.0,0.0,18.0,False,False,(58; 76; 192),808
25,25.0,0.0,18.0,False,False,(58; 76; 192),808
26,26.0,0.0,18.0,False,False,(58; 76; 192),808
27,27.0,0.0,18.0,False,False,(58; 76; 192),808
28,28.0,0.0,18.0,False,False,(58; 76; 192),808
29,29.0,0.0,18.0,False,False,(58; 76; 192),808
30,30.0,0.0,18.0,False,False,(58; 76; 192),808
31,31.0,0.0,18.0,False,False,(58; 76; 192),808
32,32.0,0.0,18.0,False,False,(58; 76; 192),808
33,33.0,0.0,18.0,False,False,(58; 76; 192),808
34,34.0,0.0,18.0,False,False,(58; 76; 192),808
35,35.0,0.0,18.0,False,False,(58; 76; 192),808
36,36.0,0.0,18.0,False,False,(58; 76; 192),808
37,37.0,0.0,18.0,False,False,(58; 76; 192),808
38,38.0,0.0,18.0,False,False,(58; 76; 192),808
39,39.0,0.0,18.0,False,False,(58; 76; 192),808
40,40.0,0.0,18.0,False,False,(58; 76; 192),808
41,41.0,0.0,18.0,False,False,(58; 76; 192),808
42,42.0,0.0,18.0,False,False,(58; 76; 192),808
43,43.0,0.0,18.0,False,False,(58; 76; 192),808
44,44.0,0.0,18.0,False,False,(58; 76; 192),808
45,45.0,0.0,18.0,False,False,(58; 76; 192),808
46,46.0,0.0,18.0,False,False,(58; 76; 192),808
47,47.0,0.0,18.0,False,False,(58; 76; 192),808
48,48.0,0.0,18.0,False,False,(58; 76; 192),808
49,49.0,0.0,18.0,False,False,(58; 76; 192),808
50,50.0,0.0,18.0,False,False,(58; 76; 192),808
51,51.0,0.0,18.0,False,False,(58; 76; 192),808
52,52.0,0.0,18.0,False,False,(58; 76; 192),808
53,53.0,0.0,18.0,False,False,(58; 76; 192),808
54,54.0,0.0,18.0,False,False,(58; 76; 192),808
55,55.0,0.0,18.0,False,False,(58; 76; 192),808
56,56.0,0.0,18.0,False,False,(58; 76; 192),808
57,57.0,0.0,18.0,False,False,(58; 76; 192),808
58,58.0,0.0,18.0,False,False,(58; 76; 192),808
59,59.0,0.0,18.0,False,False,(58; 76; 192),808
60,60.0,0.0,18.0,False,False,(58; 76; 192),808
61,61.0,0.0,18.0,False,False,(58; 76; 192),808
62,62.0,0.0,18.0,False,False,(58; 76; 192),808
63,63.0,0.0,18.0,False,False,(58; 76; 192),808
64,64.0,0.0,18.0,False,False,(58; 76; 192),808
65,65.0,0.0,18.0,False,False,(58; 76; 192),808
66,66.0,0.0,18.0,False,False,(58; 76; 192),808
67,67.0,0.0,18.0,False,False,(58; 76; 192),808
68,68.0,0.0,18.0,False,False,(58; 76; 192),808
69,69.0,0.0,18.0,False,False,(58; 76; 192),808
70,70.0,0.0,18.0,False,False,(58; 76; 192),808
71,71.0,0.0,18.0,False,False,(58; 76; 192),808
72,72.0,0.0,18.0,False,False,(58; 76; 192),808
73,73.0,0.0,18.0,False,False,(58; 76; 192),808
74,74.0,0.0,18.0,False,False,(58; 76; 192),808
75,75.0,0.0,18.0,False,False,(58; 76; 192),808
76,76.0,0.0,18.0,False,False,(58; 76; 192),808
77,77.0,0.0,18.0,False,False,(58; 76; 192),808
78,78.0,0.0,18.0,False,False,(58; 76; 192),808
79,79.0,0.0,18.0,False,False,(58; 76; 192),808
80,80.0,0.0,18.0,False,False,(58; 76; 192),808
81,81.0,0.0,18.0,False,False,(58; 76; 192),808
82,82.0,0.0,18.0,False,False,(58; 76; 192),808
83,83.0,0.0,18.0,False,False,(58; 76; 192),808
84,84.0,0.0,18.0,False,False,(58; 76; 192),808
85,85.0,0.0,18.0,False,False,(58; 76; 192),808
86,86.0,0.0,18.0,False,False,(58; 76; 192),808
87,87.0,0.0,18.0,False,False,(58; 76; 192),808
88,88.0,0.0,18.0,False,False,(58; 76; 192),808
89,89.0,0.0,18.0,False,False,(58; 76; 192),808
90,90.0,0.0,18.0,False,False,(58; 76; 192),808
91,91.0,0.0,18.0,False,False,(58; 76; 192),808
92,92.0,0.0,18.0,False,False,(58; 76; 192),808
93,93.0,0.0,18.0,False,False,(58; 76; 192),808
94,94.0,0.0,18.0,False,False,(58; 76; 192),808
95,95.0,0.0,18.0,False,False,(58; 76; 192),808
96,96.0,0.0,18.0,False,False,(58; 76; 192),808
97,97.0,0.0,18.0,False,False,(58; 76; 192),808
98,98.0,0.0,18.0,False,False,(58; 76; 192),808
99,99.0,0.0,18.0,False,False,(58; 76; 192),808
100,100.0,0.0,18.0,False,False,(58; 76; 192),808
101,101.0,0.0,18.0,False,False,(58; 76; 192),808
102,102.0,0.0,18.0,False,False,(58; 76; 192),808
103,103.0,0.0,18.0,False,False,(58; 76; 192),808
104,104.0,0.0,18.0,False,False,(58; 76; 192),808
105,105.0,0.0,18.0,False,False,(58; 76; 192),808
106,106.0,0.0,18.0,False,False,(58; 76; 192),808
107,107.0,0.0,18.0,False,False,(58; 76; 192),808
108,108.0,0.0,18.0,False,False,(58; 76; 192),808
109,109.0,0.0,18.0,False,False,(58; 76; 192),808
110,110.0,0.0,18.0,False,False,(58; 76; 192),808
111,111.0,0.0,18.0,False,False,(58; 76; 192),808
112,112.0,0.0,18.0,False,False,(58; 76; 192),808
113,113.0,0.0,18.0,False,False,(58; 76; 192),808
114,114.0,0.0,18.0,False,False,(58; 76; 192),808
115,115.0,0.0,18.0,False,False,(58; 76; 192),808
116,116.0,0.0,18.0,False,False,(58; 76; 192),808
117,117.0,0.0,18.0,False,False,(58; 76; 192),808
118,118.0,0.0,18.0,False,False,(58; 76; 192),808
119,119.0,0.0,18.0,False,False,(58; 76; 192),808
120,120.0,0.0,18.0,False,False,(58; 76; 192),808
121,121.0,0.0,18.0,False,False,(58; 76; 192),808
122,122.0,0.0,18.0,False,False,(58; 76; 192),808
123,123.0,0.0,18.0,False,False,(58; 76; 192),808
124,124.0,0.0,18.0,False,False,(58; 76; 192),808
125,125.0,0.0,18.0,False,False,(58; 76; 192),808
126,126.0,0.0,18.0,False,False,(58; 76; 192),808
127,127.0,0.0,18.0,False,False,(58; 76; 192),808
128,128.0,0.0,18.0,False,False,(58; 76; 192),808
129,129.0,0.0,18.0,False,False,(58; 76; 192),808
130,130.0,0.0,18.0,False,False,(58; 76; 192),808
131,131.0,0.0,18.0,False,False,(58; 76; 192),808
132,132.0,0.0,18.0,False,False,(58; 76; 192),808
133,133.0,0.0,18.0,False,False,(58; 76; 192),808
134,134.0,0.0,18.0,False,False,(58; 76; 192),808
135,135.0,0.0,18.0,False,False,(58; 76; 192),808
136,136.0,0.0,18.0,False,False,(58; 76; 192),808
137,137.0,0.0,18.0,False,False,(58; 76; 192),808
138,138.0,0.0,18.0,False,False,(58; 76; 192),808
139,139.0,0.0,18.0,False,False,(58; 76; 192),808
140,140.0,0.0,18.0,False,False,(58; 76; 192),808
141,141.0,0.0,18.0,False,False,(58; 76; 192),808
142,142.0,0.0,18.0,False,False,(58; 76; 192),808
143,143.0,0.0,18.0,False,False,(58; 76; 192),808
144,144.0,0.0,18.0,False,False,(58; 76; 192),808
145,145.0,0.0,18.0,False,False,(58; 76; 192),808
146,146.0,0.0,18.0,False,False,(58; 76; 192),808
147,147.0,0.0,18.0,False,False,(58; 76; 192),808
148,148.0,0.0,18.0,False,False,(58; 76; 192),808
149,149.0,0.0,18.0,False,False,(58; 76; 192),808
150,150.0,0.0,18.0,False,False,(58; 76; 192),808
151,151.0,0.0,18.0,False,False,(58; 76; 192),808
152,152.0,0.0,18.0,False,False,(58; 76; 192),808
153,153.0,0.0,18.0,False,False,(58; 76; 192),808
154,154.0,0.0,18.0,False,False,(58; 76; 192),808
155,155.0,0.0,18.0,False,False,(58; 76; 192),808
156,156.0,0.0,18.0,False,False,(58; 76; 192),808
157,157.0,0.0,18.0,False,False,(58; 76; 192),808
158,158.0,0.0,18.0,False,False,(58; 76; 192),808
159,159.0,0.0,18.0,False,False,(58; 76; 192),808
160,160.0,0.0,18.0,False,False,(58; 76; 192),808
161,161.0,0.0,18.0,False,False,(58; 76; 192),808
162,162.0,0.0,18.0,False,False,(58; 76; 192),808
163,163.0,0.0,18.0,False,False,(58; 76; 192),808
164,164.0,0.0,18.0,False,False,(58; 76; 192),808
165,165.0,0.0,18.0,False,False,(58; 76; 192),808
166,166.0,0.0,18.0,False,False,(58; 76; 192),808
167,167.0,0.0,18.0,False,False,(58; 76; 192),808
168,168.0,0.0,18.0,False,False,(58; 76; 192),808
169,169.0,0.0,18.0,False,False,(58; 76; 192),808
170,170.0,0.0,18.0,False,False,(58; 76; 192),808
171,171.0,0.0,18.0,False,False,(58; 76; 192),808
172,172.0,0.0,18.0,False,False,(58; 76; 192),808
173,173.0,0.0,18.0,False,False,(58; 76; 192),808
174,174.0,0.0,18.0,False,False,(58; 76; 192),808
175,175.0,0.0,18.0,False,False,(58; 76; 192),808
176,176.0,0.0,18.0,False,False,(58; 76; 192),808
177,177.0,0.0,18.0,False,False,(58; 76; 192),808
178,178.0,0.0,18.0,False,False,(58; 76; 192),808
179,179.0,0.0,18.0,False,False,(58; 76; 192),808
180,180.0,0.0,18.0,False,False,(58; 76; 192),808
181,181.0,0.0,18.0,False,False,(58; 76; 192),808
182,182.0,0.0,18.0,False,False,(58; 76; 192),808
183,183.0,0.0,18.0,False,False,(58; 76; 192),808
184,184.0,0.0,18.0,False,False,(58; 76; 192),808
185,185.0,0.0,18.0,False,False,(58; 76; 192),808
186,186.0,0.0,18.0,False,False,(58; 76; 192),808
187,187.0,0.0,18.0,False,False,(58; 76; 192),808
188,188.0,0.0,18.0,False,False,(58; 76; 192),808
189,189.0,0.0,18.0,False,False,(58; 76; 192),808
190,190.0,0.0,18.0,False,False,(58; 76; 192),808
191,191.0,0.0,18.0,False,False,(58; 76; 192),808
192,192.0,0.0,18.0,False,False,(58; 76; 192),808
193,193.0,0.0,18.0,False,False,(58; 76; 192),808
194,194.0,0.0,18.0,False,False,(58; 76; 192),808
195,195.0,0.0,18.0,False,False,(58; 76; 192),808
196,196.0,0.0,18.0,False,False,(58; 76; 192),808
197,197.0,0.0,18.0,False,False,(58; 76; 192),808
198,198.0,0.0,18.0,False,False,(58; 76; 192),808
199,199.0,0.0,18.0,False,False,(58; 76; 192),808
200,200.0,0.0,18.0,False,False,(58; 76; 192),808
201,201.0,0.0,18.0,False,False,(58; 76; 192),808
202,202.0,0.0,18.0,False,False,(58; 76; 192),808
203,203.0,0.0,18.0,False,False,(58; 76; 192),808
204,204.0,0.0,18.0,False,False,(58; 76; 192),808
205,205.0,0.0,18.0,False,False,(58; 76; 192),808
206,206.0,0.0,18.0,False,False,(58; 76; 192),808
207,207.0,0.0,18.0,False,False,(58; 76; 192),808
208,208.0,0.0,18.0,False,False,(58; 76; 192),808
209,209.0,0.0,18.0,False,False,(58; 76; 192),808
210,210.0,0.0,18.0,False,False,(58; 76; 192),808
211,211.0,0.0,18.0,False,False,(58; 76; 192),808
212,212.0,0.0,18.0,False,False,(58; 76; 192),808
213,213.0,0.0,18.0,False,False,(58; 76; 192),808
214,214.0,0.0,18.0,False,False,(58; 76; 192),808
215,215.0,0.0,18.0,False,False,(58; 76; 192),808
216,216.0,0.0,18.0,False,False,(58; 76; 192),808
217,217.0,0.0,18.0,False,False,(58; 76; 192),808
218,218.0,0.0,18.0,False,False,(58; 76; 192),808
219,219.0,0.0,18.0,False,False,(58; 76; 192),808
220,220.0,0.0,18.0,False,False,(58; 76; 192),808
221,221.0,0.0,18.0,False,False,(58; 76; 192),808
222,222.0,0.0,18.0,False,False,(58; 76; 192),808
223,223.0,0.0,18.0,False,False,(58; 76; 192),808
224,224.0,0.0,18.0,False,False,(58; 76; 192),808
225,225.0,0.0,18.0,False,False,(58; 76; 192),808
226,226.0,0.0,18.0,False,False,(58; 76; 192),808
227,227.0,0.0,18.0,False,False,(58; 76; 192),808
228,228.0,0.0,18.0,False,False,(58; 76; 192),808
229,229.0,0.0,18.0,False,False,(58; 76; 192),808
230,230.0,0.0,18.0,False,False,(58; 76; 192),808
231,231.0,0.0,18.0,False,False,(58; 76; 192),808
232,232.0,0.0,18.0,False,False,(58; 76; 192),808
233,233.0,0.0,18.0,False,False,(58; 76; 192),808
234,234.0,0.0,18.0,False,False,(58; 76; 192),808
235,235.0,0.0,18.0,False,False,(58; 76; 192),808
236,236.0,0.0,18.0,False,False,(58; 76; 192),808
237,237.0,0.0,18.0,False,False,(58; 76; 192),808
238,238.0,0.0,18.0,False,False,(58; 76; 192),808
239,239.0,0.0,18.0,False,False,(58; 76; 192),808
240,240.0,0.0,18.0,False,False,(58; 76; 192),808
241,241.0,0.0,18.0,False,False,(58; 76; 192),808
242,242.0,0.0,18.0,False,False,(58; 76; 192),808
243,243.0,0.0,18.0,False,False,(58; 76; 192),808
244,244.0,0.0,18.0,False,False,(58; 76; 192),808
245,245.0,0.0,18.0,False,False,(58; 76; 192),808
246,246.0,0.0,18.0,False,False,(58; 76; 192),808
247,247.0,0.0,18.0,False,False,(58; 76; 192),808
248,248.0,0.0,18.0,False,False,(58; 76; 192),808
249,249.0,0.0,18.0,False,False,(58; 76; 192),808
250,250.0,0.0,18.0,False,False,(58; 76; 192),808
251,251.0,0.0,18.0,False,False,(58; 76; 192),808
252,252.0,0.0,18.0,False,False,(58; 76; 192),808
253,253.0,0.0,18.0,False,False,(58; 76; 192),808
254,254.0,0.0,18.0,False,False,(58; 76; 192),808
255,255.0,0.0,18.0,False,False,(58; 76; 192),808
256,256.0,0.0,18.0,False,False,(58; 76; 192),808
257,257.0,0.0,18.0,False,False,(58; 76; 192),808
258,258.0,0.0,18.0,False,False,(58; 76; 192),808
259,259.0,0.0,18.0,False,False,(58; 76; 192),808
260,260.0,0.0,18.0,False,False,(58; 76; 192),808
261,261.0,0.0,18.0,False,False,(58; 76; 192),808
262,262.0,0.0,18.0,False,False,(58; 76; 192),808
263,263.0,0.0,18.0,False,False,(58; 76; 192),808
264,264.0,0.0,18.0,False,False,(58; 76; 192),808
265,265.0,0.0,18.0,False,False,(58; 76; 192),808
266,266.0,0.0,18.0,False,False,(58; 76; 192),808
267,267.0,0.0,18.0,False,False,(58; 76; 192),808
268,268.0,0.0,18.0,False,False,(58; 76; 192),808
269,269.0,0.0,18.0,False,False,(58; 76; 192),808
270,270.0,0.0,18.0,False,False,(58; 76; 192),808
271,271.0,0.0,18.0,False,False,(58; 76; 192),808
272,272.0,0.0,18.0,False,False,(58; 76; 192),808
273,273.0,0.0,18.0,False,False,(58; 76; 192),808
274,274.0,0.0,18.0,False,False,(58; 76; 192),808
275,275.0,0.0,18.0,False,False,(58; 76; 192),808
276,276.0,0.0,18.0,False,False,(58; 76; 192),808
277,277.0,0.0,18.0,False,False,(58; 76; 192),808
278,278.0,0.0,18.0,False,False,(58; 76; 192),808
279,279.0,0.0,18.0,False,False,(58; 76; 192),808
280,280.0,0.0,18.0,False,False,(58; 76; 192),808
281,281.0,0.0,18.0,False,False,(58; 76; 192),808
282,282.0,0.0,18.0,False,False,(58; 76; 192),808
283,283.0,0.0,18.0,False,False,(58; 76; 192),808
284,284.0,0.0,18.0,False,False,(58; 76; 192),808
285,285.0,0.0,18.0,False,False,(58; 76; 192),808
286,286.0,0.0,18.0,False,False,(58; 76; 192),808
287,287.0,0.0,18.0,False,False,(58; 76; 192),808
288,288.0,0.0,18.0,False,False,(58; 76; 192),808
289,289.0,0.0,18.0,False,False,(58; 76; 192),808
290,290.0,0.0,18.0,False,False,(58; 76; 192),808
291,291.0,0.0,18.0,False,False,(58; 76; 192),808
292,292.0,0.0,18.0,False,False,(58; 76; 192),808
293,293.0,0.0,18.0,False,False,(58; 76; 192),808
294,294.0,0.0,18.0,False,False,(58; 76; 192),808
295,295.0,0.0,18.0,False,False,(58; 76; 192),808
296,296.0,0.0,18.0,False,False,(58; 76; 192),808
297,297.0,0.0,18.0,False,False,(58; 76; 192),808
298,298.0,0.0,18.0,False,False,(58; 76; 192),808
299,299.0,0.0,18.0,False,False,(58; 76; 192),808
