,minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0,0.0,0.0,18.0,False,False,(58; 76; 192),243
1,1.0,0.0,18.0,False,False,(58; 76; 192),243
2,2.0,0.0,18.0,False,False,(58; 76; 192),243
3,3.0,0.0,18.0,False,False,(58; 76; 192),243
4,4.0,0.0,18.0,False,False,(58; 76; 192),243
5,5.0,0.0,18.0,False,False,(58; 76; 192),243
6,6.0,0.0,18.0,False,False,(58; 76; 192),243
7,7.0,0.0,18.0,False,False,(58; 76; 192),243
8,8.0,0.0,18.0,False,False,(58; 76; 192),243
9,9.0,0.0,18.0,False,False,(58; 76; 192),243
10,10.0,0.0,18.0,False,False,(58; 76; 192),243
11,11.0,0.0,18.0,False,False,(58; 76; 192),243
12,12.0,0.0,18.0,False,False,(58; 76; 192),243
13,13.0,0.0,18.0,False,False,(58; 76; 192),243
14,14.0,0.0,18.0,False,False,(58; 76; 192),243
15,15.0,0.0,18.0,False,False,(58; 76; 192),243
16,16.0,0.0,18.0,False,False,(58; 76; 192),243
17,17.0,0.0,18.0,False,False,(58; 76; 192),243
18,18.0,0.0,18.0,False,False,(58; 76; 192),243
19,19.0,0.0,18.0,False,False,(58; 76; 192),243
20,20.0,0.0,18.0,False,False,(58; 76; 192),243
21,21.0,0.0,18.0,False,False,(58; 76; 192),243
22,22.0,0.0,18.0,False,False,(58; 76; 192),243
23,23.0,0.0,18.0,False,False,(58; 76; 192),243
24,24.0,0.0,18.0,False,False,(58; 76; 192),243
25,25.0,0.0,18.0,False,False,(58; 76; 192),243
26,26.0,0.0,18.0,False,False,(58; 76; 192),243
27,27.0,0.0,18.0,False,False,(58; 76; 192),243
28,28.0,0.0,18.0,False,False,(58; 76; 192),243
29,29.0,0.0,18.0,False,False,(58; 76; 192),243
30,30.0,0.0,18.0,False,False,(58; 76; 192),243
31,31.0,0.0,18.0,False,False,(58; 76; 192),243
32,32.0,0.0,18.0,False,False,(58; 76; 192),243
33,33.0,0.0,18.0,False,False,(58; 76; 192),243
34,34.0,0.0,18.0,False,False,(58; 76; 192),243
35,35.0,0.0,18.0,False,False,(58; 76; 192),243
36,36.0,0.0,18.0,False,False,(58; 76; 192),243
37,37.0,0.0,18.0,False,False,(58; 76; 192),243
38,38.0,0.0,18.0,False,False,(58; 76; 192),243
39,39.0,0.0,18.0,False,False,(58; 76; 192),243
40,40.0,0.0,18.0,False,False,(58; 76; 192),243
41,41.0,0.0,18.0,False,False,(58; 76; 192),243
42,42.0,0.0,18.0,False,False,(58; 76; 192),243
43,43.0,0.0,18.0,False,False,(58; 76; 192),243
44,44.0,0.0,18.0,False,False,(58; 76; 192),243
45,45.0,0.0,18.0,False,False,(58; 76; 192),243
46,46.0,0.0,18.0,False,False,(58; 76; 192),243
47,47.0,0.0,18.0,False,False,(58; 76; 192),243
48,48.0,0.0,18.0,False,False,(58; 76; 192),243
49,49.0,0.0,18.0,False,False,(58; 76; 192),243
50,50.0,0.0,18.0,False,False,(58; 76; 192),243
51,51.0,0.0,18.0,False,False,(58; 76; 192),243
52,52.0,0.0,18.0,False,False,(58; 76; 192),243
53,53.0,0.0,18.0,False,False,(58; 76; 192),243
54,54.0,0.0,18.0,False,False,(58; 76; 192),243
55,55.0,0.0,18.0,False,False,(58; 76; 192),243
56,56.0,0.0,18.0,False,False,(58; 76; 192),243
57,57.0,0.0,18.0,False,False,(58; 76; 192),243
58,58.0,0.0,18.0,False,False,(58; 76; 192),243
59,59.0,0.0,18.0,False,False,(58; 76; 192),243
60,60.0,0.0,18.0,False,False,(58; 76; 192),243
61,61.0,0.0,18.0,False,False,(58; 76; 192),243
62,62.0,0.0,18.0,False,False,(58; 76; 192),243
63,63.0,0.0,18.0,False,False,(58; 76; 192),243
64,64.0,0.0,18.0,False,False,(58; 76; 192),243
65,65.0,0.0,18.0,False,False,(58; 76; 192),243
66,66.0,0.0,18.0,False,False,(58; 76; 192),243
67,67.0,0.0,18.0,False,False,(58; 76; 192),243
68,68.0,0.0,18.0,False,False,(58; 76; 192),243
69,69.0,0.0,18.0,False,False,(58; 76; 192),243
70,70.0,0.0,18.0,False,False,(58; 76; 192),243
71,71.0,0.0,18.0,False,False,(58; 76; 192),243
72,72.0,0.0,18.0,False,False,(58; 76; 192),243
73,73.0,0.0,18.0,False,False,(58; 76; 192),243
74,74.0,0.0,18.0,False,False,(58; 76; 192),243
75,75.0,0.0,18.0,False,False,(58; 76; 192),243
76,76.0,0.0,18.0,False,False,(58; 76; 192),243
77,77.0,0.0,18.0,False,False,(58; 76; 192),243
78,78.0,0.0,18.0,False,False,(58; 76; 192),243
79,79.0,0.0,18.0,False,False,(58; 76; 192),243
80,80.0,0.0,18.0,False,False,(58; 76; 192),243
81,81.0,0.0,18.0,False,False,(58; 76; 192),243
82,82.0,0.0,18.0,False,False,(58; 76; 192),243
83,83.0,0.0,18.0,False,False,(58; 76; 192),243
84,84.0,0.0,18.0,False,False,(58; 76; 192),243
85,85.0,0.0,18.0,False,False,(58; 76; 192),243
86,86.0,0.0,18.0,False,False,(58; 76; 192),243
87,87.0,0.0,18.0,False,False,(58; 76; 192),243
88,88.0,0.0,18.0,False,False,(58; 76; 192),243
89,89.0,0.0,18.0,False,False,(58; 76; 192),243
90,90.0,0.0,18.0,False,False,(58; 76; 192),243
91,91.0,0.0,18.0,False,False,(58; 76; 192),243
92,92.0,0.0,18.0,False,False,(58; 76; 192),243
93,93.0,0.0,18.0,False,False,(58; 76; 192),243
94,94.0,0.0,18.0,False,False,(58; 76; 192),243
95,95.0,0.0,18.0,False,False,(58; 76; 192),243
96,96.0,0.0,18.0,False,False,(58; 76; 192),243
