,minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0,0.0,0.0,18.0,False,False,(58; 76; 192),760
1,1.0,0.0,18.0,False,False,(58; 76; 192),760
2,2.0,0.0,18.0,False,False,(58; 76; 192),760
3,3.0,0.0,18.0,False,False,(58; 76; 192),760
4,4.0,0.0,18.0,False,False,(58; 76; 192),760
5,5.0,0.0,18.0,False,False,(58; 76; 192),760
6,6.0,0.0,18.0,False,False,(58; 76; 192),760
7,7.0,0.0,18.0,False,False,(58; 76; 192),760
8,8.0,0.0,18.0,False,False,(58; 76; 192),760
9,9.0,0.0,18.0,False,False,(58; 76; 192),760
10,10.0,0.0,18.0,False,False,(58; 76; 192),760
11,11.0,0.0,18.0,False,False,(58; 76; 192),760
12,12.0,0.0,18.0,False,False,(58; 76; 192),760
13,13.0,0.0,18.0,False,False,(58; 76; 192),760
14,14.0,0.0,18.0,False,False,(58; 76; 192),760
15,15.0,0.0,18.0,False,False,(58; 76; 192),760
16,16.0,0.0,18.0,False,False,(58; 76; 192),760
17,17.0,0.0,18.0,False,False,(58; 76; 192),760
18,18.0,0.0,18.0,False,False,(58; 76; 192),760
19,19.0,0.0,18.0,False,False,(58; 76; 192),760
20,20.0,0.0,18.0,False,False,(58; 76; 192),760
21,21.0,0.0,18.0,False,False,(58; 76; 192),760
22,22.0,0.0,18.0,False,False,(58; 76; 192),760
23,23.0,0.0,18.0,False,False,(58; 76; 192),760
24,24.0,0.0,18.0,False,False,(58; 76; 192),760
25,25.0,0.0,18.0,False,False,(58; 76; 192),760
26,26.0,0.0,18.0,False,False,(58; 76; 192),760
27,27.0,0.0,18.0,False,False,(58; 76; 192),760
28,28.0,0.0,18.0,False,False,(58; 76; 192),760
29,29.0,0.0,18.0,False,False,(58; 76; 192),760
30,30.0,0.0,18.0,False,False,(58; 76; 192),760
31,31.0,0.0,18.0,False,False,(58; 76; 192),760
32,32.0,0.0,18.0,False,False,(58; 76; 192),760
33,33.0,0.0,18.0,False,False,(58; 76; 192),760
34,34.0,0.0,18.0,False,False,(58; 76; 192),760
35,35.0,0.0,18.0,False,False,(58; 76; 192),760
36,36.0,0.0,18.0,False,False,(58; 76; 192),760
37,37.0,0.0,18.0,False,False,(58; 76; 192),760
38,38.0,0.0,18.0,False,False,(58; 76; 192),760
39,39.0,0.0,18.0,False,False,(58; 76; 192),760
40,40.0,0.0,18.0,False,False,(58; 76; 192),760
41,41.0,0.0,18.0,False,False,(58; 76; 192),760
42,42.0,0.0,18.0,False,False,(58; 76; 192),760
43,43.0,0.0,18.0,False,False,(58; 76; 192),760
44,44.0,0.0,18.0,False,False,(58; 76; 192),760
45,45.0,0.0,18.0,False,False,(58; 76; 192),760
46,46.0,0.0,18.0,False,False,(58; 76; 192),760
47,47.0,0.0,18.0,False,False,(58; 76; 192),760
48,48.0,0.0,18.0,False,False,(58; 76; 192),760
49,49.0,0.0,18.0,False,False,(58; 76; 192),760
50,50.0,0.0,18.0,False,False,(58; 76; 192),760
51,51.0,0.0,18.0,False,False,(58; 76; 192),760
52,52.0,0.0,18.0,False,False,(58; 76; 192),760
53,53.0,0.0,18.0,False,False,(58; 76; 192),760
54,54.0,0.0,18.0,False,False,(58; 76; 192),760
55,55.0,0.0,18.0,False,False,(58; 76; 192),760
56,56.0,0.0,18.0,False,False,(58; 76; 192),760
57,57.0,0.0,18.0,False,False,(58; 76; 192),760
58,58.0,0.0,18.0,False,False,(58; 76; 192),760
59,59.0,0.0,18.0,False,False,(58; 76; 192),760
60,60.0,0.0,18.0,False,False,(58; 76; 192),760
61,61.0,0.0,18.0,False,False,(58; 76; 192),760
62,62.0,0.0,18.0,False,False,(58; 76; 192),760
63,63.0,0.0,18.0,False,False,(58; 76; 192),760
64,64.0,0.0,18.0,False,False,(58; 76; 192),760
65,65.0,0.0,18.0,False,False,(58; 76; 192),760
66,66.0,0.0,18.0,False,False,(58; 76; 192),760
67,67.0,0.0,18.0,False,False,(58; 76; 192),760
68,68.0,0.0,18.0,False,False,(58; 76; 192),760
69,69.0,0.0,18.0,False,False,(58; 76; 192),760
70,70.0,0.0,18.0,False,False,(58; 76; 192),760
71,71.0,0.0,18.0,False,False,(58; 76; 192),760
72,72.0,0.0,18.0,False,False,(58; 76; 192),760
73,73.0,0.0,18.0,False,False,(58; 76; 192),760
74,74.0,0.0,18.0,False,False,(58; 76; 192),760
75,75.0,0.0,18.0,False,False,(58; 76; 192),760
76,76.0,0.0,18.0,False,False,(58; 76; 192),760
77,77.0,0.0,18.0,False,False,(58; 76; 192),760
78,78.0,0.0,18.0,False,False,(58; 76; 192),760
79,79.0,0.0,18.0,False,False,(58; 76; 192),760
80,80.0,0.0,18.0,False,False,(58; 76; 192),760
81,81.0,0.0,18.0,False,False,(58; 76; 192),760
82,82.0,0.0,18.0,False,False,(58; 76; 192),760
83,83.0,0.0,18.0,False,False,(58; 76; 192),760
84,84.0,0.0,18.0,False,False,(58; 76; 192),760
85,85.0,0.0,18.0,False,False,(58; 76; 192),760
86,86.0,0.0,18.0,False,False,(58; 76; 192),760
87,87.0,0.0,18.0,False,False,(58; 76; 192),760
88,88.0,0.0,18.0,False,False,(58; 76; 192),760
89,89.0,0.0,18.0,False,False,(58; 76; 192),760
90,90.0,0.0,18.0,False,False,(58; 76; 192),760
91,91.0,0.0,18.0,False,False,(58; 76; 192),760
92,92.0,0.0,18.0,False,False,(58; 76; 192),760
93,93.0,0.0,18.0,False,False,(58; 76; 192),760
94,94.0,0.0,18.0,False,False,(58; 76; 192),760
95,95.0,0.0,18.0,False,False,(58; 76; 192),760
96,96.0,0.0,18.0,False,False,(58; 76; 192),760
97,97.0,0.0,18.0,False,False,(58; 76; 192),760
98,98.0,0.0,18.0,False,False,(58; 76; 192),760
99,99.0,0.0,18.0,False,False,(58; 76; 192),760
100,100.0,0.0,18.0,False,False,(58; 76; 192),760
101,101.0,0.0,18.0,False,False,(58; 76; 192),760
102,102.0,0.0,18.0,False,False,(58; 76; 192),760
103,103.0,0.0,18.0,False,False,(58; 76; 192),760
104,104.0,0.0,18.0,False,False,(58; 76; 192),760
105,105.0,0.0,18.0,False,False,(58; 76; 192),760
106,106.0,0.0,18.0,False,False,(58; 76; 192),760
107,107.0,0.0,18.0,False,False,(58; 76; 192),760
108,108.0,0.0,18.0,False,False,(58; 76; 192),760
109,109.0,0.0,18.0,False,False,(58; 76; 192),760
110,110.0,0.0,18.0,False,False,(58; 76; 192),760
111,111.0,0.0,18.0,False,False,(58; 76; 192),760
