,minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0,0.0,0.0,18.0,False,False,(58; 76; 192),33
1,1.0,0.0,18.0,False,False,(58; 76; 192),33
2,2.0,0.0,18.0,False,False,(58; 76; 192),33
3,3.0,0.0,18.0,False,False,(58; 76; 192),33
4,4.0,0.0,18.0,False,False,(58; 76; 192),33
5,5.0,0.0,18.0,False,False,(58; 76; 192),33
6,6.0,0.0,18.0,False,False,(58; 76; 192),33
7,7.0,0.0,18.0,False,False,(58; 76; 192),33
8,8.0,0.0,18.0,False,False,(58; 76; 192),33
9,9.0,0.0,18.0,False,False,(58; 76; 192),33
10,10.0,0.0,18.0,False,False,(58; 76; 192),33
11,11.0,0.0,18.0,False,False,(58; 76; 192),33
12,12.0,0.0,18.0,False,False,(58; 76; 192),33
13,13.0,0.0,18.0,False,False,(58; 76; 192),33
14,14.0,0.0,18.0,False,False,(58; 76; 192),33
15,15.0,0.0,18.0,False,False,(58; 76; 192),33
16,16.0,0.0,18.0,False,False,(58; 76; 192),33
17,17.0,0.0,18.0,False,False,(58; 76; 192),33
18,18.0,0.0,18.0,False,False,(58; 76; 192),33
19,19.0,0.0,18.0,False,False,(58; 76; 192),33
20,20.0,0.0,18.0,False,False,(58; 76; 192),33
21,21.0,0.0,18.0,False,False,(58; 76; 192),33
22,22.0,0.0,18.0,False,False,(58; 76; 192),33
23,23.0,0.0,18.0,False,False,(58; 76; 192),33
24,24.0,0.0,18.0,False,False,(58; 76; 192),33
25,25.0,0.0,18.0,False,False,(58; 76; 192),33
26,26.0,0.0,18.0,False,False,(58; 76; 192),33
27,27.0,0.0,18.022,False,True,(59; 77; 193),33
28,28.0,0.0,18.685,False,True,(112; 147; 243),33
29,29.0,0.0,19.348,False,True,(171; 199; 252),33
30,30.0,0.0,20.011,False,True,(221; 220; 219),33
31,31.0,0.0,20.674,False,True,(246; 182; 154),33
32,32.0,0.0,21.337,False,True,(230; 116; 90),34
33,33.0,1.0,22.0,True,True,(179; 3; 38),44
34,34.0,2.0,22.0,True,True,(179; 3; 38),44
35,35.0,2.0,22.0,True,True,(179; 3; 38),44
36,36.0,2.0,22.0,True,True,(179; 3; 38),44
37,37.0,1.0,22.0,True,True,(179; 3; 38),44
38,38.0,1.0,22.0,True,True,(179; 3; 38),44
39,39.0,1.0,22.0,True,True,(179; 3; 38),44
40,40.0,1.0,22.0,True,True,(179; 3; 38),44
41,41.0,1.0,22.0,True,True,(179; 3; 38),44
42,42.0,1.0,22.0,True,True,(179; 3; 38),44
43,43.0,1.0,22.0,True,True,(179; 3; 38),47
44,44.0,2.0,22.0,True,True,(179; 3; 38),47
45,45.0,1.0,22.0,True,True,(179; 3; 38),47
46,46.0,1.0,22.0,True,True,(179; 3; 38),545
47,47.0,2.0,22.0,True,True,(179; 3; 38),545
48,48.0,1.0,22.0,True,True,(179; 3; 38),545
49,49.0,0.0,21.0,False,False,(243; 152; 121),545
50,50.0,0.0,20.0,False,False,(221; 220; 219),545
51,51.0,0.0,19.0,False,False,(141; 175; 253),545
52,52.0,0.0,18.0,False,False,(58; 76; 192),545
53,53.0,0.0,18.0,False,False,(58; 76; 192),545
