,minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0,0.0,0.0,18.0,False,False,(58; 76; 192),71
1,1.0,0.0,18.0,False,False,(58; 76; 192),71
2,2.0,0.0,18.0,False,False,(58; 76; 192),71
3,3.0,0.0,18.0,False,False,(58; 76; 192),71
4,4.0,0.0,18.0,False,False,(58; 76; 192),71
5,5.0,0.0,18.0,False,False,(58; 76; 192),71
6,6.0,0.0,18.0,False,False,(58; 76; 192),71
7,7.0,0.0,18.0,False,False,(58; 76; 192),71
8,8.0,0.0,18.0,False,False,(58; 76; 192),71
9,9.0,0.0,18.0,False,False,(58; 76; 192),71
10,10.0,0.0,18.0,False,False,(58; 76; 192),71
11,11.0,0.0,18.0,False,False,(58; 76; 192),71
12,12.0,0.0,18.0,False,False,(58; 76; 192),71
13,13.0,0.0,18.0,False,False,(58; 76; 192),71
14,14.0,0.0,18.0,False,False,(58; 76; 192),71
15,15.0,0.0,18.0,False,False,(58; 76; 192),71
16,16.0,0.0,18.0,False,False,(58; 76; 192),71
17,17.0,0.0,18.0,False,False,(58; 76; 192),71
18,18.0,0.0,18.0,False,False,(58; 76; 192),71
19,19.0,0.0,18.0,False,False,(58; 76; 192),71
20,20.0,0.0,18.0,False,False,(58; 76; 192),71
21,21.0,0.0,18.0,False,False,(58; 76; 192),71
22,22.0,0.0,18.0,False,False,(58; 76; 192),71
23,23.0,0.0,18.0,False,False,(58; 76; 192),71
24,24.0,0.0,18.0,False,False,(58; 76; 192),71
25,25.0,0.0,18.0,False,False,(58; 76; 192),71
26,26.0,0.0,18.0,False,False,(58; 76; 192),71
27,27.0,0.0,18.0,False,False,(58; 76; 192),71
28,28.0,0.0,18.0,False,False,(58; 76; 192),71
29,29.0,0.0,18.0,False,False,(58; 76; 192),71
30,30.0,0.0,18.0,False,False,(58; 76; 192),71
31,31.0,0.0,18.0,False,False,(58; 76; 192),71
32,32.0,0.0,18.0,False,False,(58; 76; 192),71
33,33.0,0.0,18.0,False,False,(58; 76; 192),71
34,34.0,0.0,18.0,False,False,(58; 76; 192),71
35,35.0,0.0,18.0,False,False,(58; 76; 192),71
36,36.0,0.0,18.0,False,False,(58; 76; 192),71
37,37.0,0.0,18.0,False,False,(58; 76; 192),71
38,38.0,0.0,18.0,False,False,(58; 76; 192),71
39,39.0,0.0,18.0,False,False,(58; 76; 192),71
40,40.0,0.0,18.0,False,False,(58; 76; 192),71
41,41.0,0.0,18.0,False,False,(58; 76; 192),71
42,42.0,0.0,18.0,False,False,(58; 76; 192),71
43,43.0,0.0,18.0,False,False,(58; 76; 192),71
