,day,hour,minute,room_actual,minute_idx
0,216,8,0,Übergang,600
1,216,9,24,4C-05,684
2,216,10,20,5C-02.1,740
3,216,10,40,5C-02.1,760
4,216,11,35,5C-02.1,815
5,216,12,13,Küche 5. OG,853
6,216,13,5,5C-02.1,905
7,216,15,32,5C-02.1,1052
8,216,16,37,5C-02.1,1117
9,216,17,34,Übergang,1174
10,217,8,47,Übergang,1247
11,217,8,59,5C-02.1,1259
12,217,9,28,5C-02.1,1288
13,217,10,51,5C-02.1,1371
14,217,11,46,5C-02.1,1426
15,217,12,13,Flur 4. OG Übergang,1453
16,217,12,43,5C-02.1,1483
17,217,13,22,5C-02.1,1522
18,217,13,53,5C-02.1,1553
19,217,14,39,5C-02.1,1599
20,217,16,40,5C-02.1,1720
21,217,17,31,Übergang,1771
22,218,8,47,Übergang,1847
23,218,8,50,5C-02.1,1850
24,218,9,31,5C-02.1,1891
25,218,10,29,5C-01.1,1949
26,218,11,40,5C-02.1,2020
27,218,12,9,Flur 4. OG Übergang,2049
28,218,12,49,5C-02.1,2089
29,218,16,29,5C-02.1,2309
30,218,17,11,Übergang,2351
