,minute_idx,start,ziel
0,0,Übergang,Übergang
1,47,Übergang,Übergang
2,49,4C-07.1,4C-07.1
3,169,4C-07.1,4C-07.1
4,194,4C-07.1,4C-07.1
5,224,4C-07.1,4C-07.1
6,251,Küche 5. OG,Küche 5. OG
7,288,4C-07.1,4C-07.1
8,397,Flur 4. OG Übergang,Flur 4. OG Übergang
9,513,4C-07.1,4C-07.1
10,545,Übergang,Übergang
11,643,Übergang,Übergang
12,644,4C-07.1,4C-07.1
13,742,4C-07.1,4C-07.1
14,782,4C-05,4C-05
15,848,Küche 5. OG,Küche 5. OG
16,886,4C-07.1,4C-07.1
17,999,4C-05,4C-05
18,1044,4C-07.1,4C-07.1
19,1143,Übergang,Übergang
20,1245,Übergang,Übergang
21,1246,4C-07.1,4C-07.1
22,1321,4C-07.1,4C-07.1
23,1352,4C-07.1,4C-07.1
24,1403,4C-07.1,4C-07.1
25,1434,4C-07.1,4C-07.1
26,1451,Küche 5. OG,Küche 5. OG
27,1515,5C-01.1,5C-01.1
28,1533,4C-07.1,4C-07.1
29,1587,4C-07.1,4C-07.1
30,1611,4C-07.1,4C-07.1
31,1711,4C-07.1,4C-07.1
32,1763,Übergang,Übergang
33,1844,Übergang,Übergang
34,1859,5C-01.1,5C-01.1
35,1946,5C-01.1,5C-01.1
36,2009,4C-07.1,4C-07.1
37,2051,Küche 5. OG,Küche 5. OG
38,2096,4C-07.1,4C-07.1
39,2140,4C-07.1,4C-07.1
40,2317,4C-07.1,4C-07.1
41,2355,Übergang,Übergang
42,2448,Übergang,Übergang
43,2450,4C-07.1,4C-07.1
44,2544,4C-07.1,4C-07.1
45,2602,4C-07.1,4C-07.1
46,2644,Küche 5. OG,Küche 5. OG
47,2680,4C-07.1,4C-07.1
48,2849,4C-07.1,4C-07.1
49,2883,5C-01.1,5C-01.1
50,2914,4C-07.1,4C-07.1
51,2945,Übergang,Übergang
