day,hour,minute,room_actual,minute_idx
216,8,55,4C-08,655
216,9,25,5C-05.2,685
216,9,42,4C-08,702
216,11,28,Flur 4. OG Übergang,808
216,12,7,Flur 4. OG Übergang,847
216,12,59,4C-08,899
216,13,42,4C-08,942
216,15,8,5C-05.2,1028
216,15,27,4C-08,1047
217,8,46,4C-08,1246
217,10,36,4C-08,1356
217,12,5,Flur 4. OG Übergang,1445
217,12,45,4C-08,1485
217,13,53,4C-08,1553
217,14,21,4C-08,1581
217,16,5,4C-08,1685
218,8,54,4C-08,1854
218,9,35,4C-05,1895
218,10,10,4C-08,1930
218,10,55,4C-08,1975
218,12,7,Flur 4. OG Übergang,2047
218,12,42,4C-08,2082
218,13,2,4C-08,2102
218,16,24,4C-08,2304
