minute_idx,PersonenAnzahl,temp,rgb_value
628,1.0,21.930584496884432,"(239, 137, 108)"
769,0.0,22.084340923229934,"(234, 123, 96)"
804,1.0,18.69624008194412,"(101, 134, 236)"
851,0.0,21.275743030384724,"(246, 187, 160)"
879,1.0,22.79097615103566,"(194, 45, 49)"
928,0.0,19.583377476848085,"(164, 194, 254)"
967,1.0,20.75317639169216,"(232, 213, 202)"
1010,0.0,21.821416146043116,"(242, 147, 117)"
1029,1.0,18.341319954417834,"(78, 105, 216)"
1083,0.0,20.99248613836587,"(241, 202, 182)"
1236,1.0,22.266349223533666,"(226, 106, 83)"
1260,0.0,19.387612842801232,"(151, 184, 254)"
1295,1.0,19.331554558531828,"(146, 180, 254)"
1450,0.0,18.879632446219713,"(115, 149, 244)"
1485,1.0,20.663088447897753,"(229, 216, 208)"
1514,0.0,18.846101157561627,"(112, 147, 243)"
1532,1.0,21.179266120445288,"(245, 193, 168)"
1655,0.0,22.75266409822631,"(197, 50, 51)"
1691,1.0,21.805919859101238,"(243, 149, 118)"
1766,0.0,20.95749878721956,"(240, 204, 185)"
1823,1.0,19.409891308011215,"(152, 185, 254)"
1858,0.0,21.084092758642253,"(243, 198, 176)"
2027,1.0,20.4864012719188,"(220, 220, 221)"
2045,0.0,22.69746602307106,"(201, 59, 55)"
2077,1.0,22.622007651341217,"(206, 68, 60)"
2382,0.0,22.46723250139639,"(216, 86, 70)"
