minute_idx,PersonenAnzahl,temp,rgb_value
638,1.0,19.880678548312623,"(184, 207, 248)"
848,0.0,18.204504567184813,"(70, 93, 207)"
882,1.0,19.121466894292716,"(131, 166, 251)"
1175,0.0,22.100822591393733,"(234, 123, 96)"
1289,1.0,21.54504203987625,"(246, 169, 138)"
1444,0.0,22.219593970546285,"(228, 110, 86)"
1533,1.0,22.94198771243439,"(182, 13, 40)"
1567,0.0,21.384665730759124,"(247, 179, 151)"
1605,1.0,22.81295958806654,"(193, 42, 48)"
1772,0.0,22.51709577031694,"(212, 79, 66)"
1834,1.0,18.112225800541374,"(64, 84, 199)"
1865,0.0,18.116849502791727,"(64, 84, 199)"
2020,1.0,21.57814967190255,"(246, 166, 135)"
2051,0.0,21.683347013531506,"(245, 158, 127)"
2100,1.0,22.70335299318613,"(201, 59, 55)"
2262,0.0,20.74686593859151,"(232, 213, 202)"
