,minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0,0.0,0.0,18.0,False,False,(58; 76; 192),2102
1,1.0,0.0,18.0,False,False,(58; 76; 192),2102
2,2.0,0.0,18.0,False,False,(58; 76; 192),2102
3,3.0,0.0,18.0,False,False,(58; 76; 192),2102
4,4.0,0.0,18.0,False,False,(58; 76; 192),2102
5,5.0,0.0,18.0,False,False,(58; 76; 192),2102
6,6.0,0.0,18.0,False,False,(58; 76; 192),2102
7,7.0,0.0,18.0,False,False,(58; 76; 192),2102
8,8.0,0.0,18.0,False,False,(58; 76; 192),2102
9,9.0,0.0,18.0,False,False,(58; 76; 192),2102
10,10.0,0.0,18.0,False,False,(58; 76; 192),2102
11,11.0,0.0,18.0,False,False,(58; 76; 192),2102
12,12.0,0.0,18.0,False,False,(58; 76; 192),2102
13,13.0,0.0,18.0,False,False,(58; 76; 192),2102
14,14.0,0.0,18.0,False,False,(58; 76; 192),2102
15,15.0,0.0,18.0,False,False,(58; 76; 192),2102
16,16.0,0.0,18.0,False,False,(58; 76; 192),2102
17,17.0,0.0,18.0,False,False,(58; 76; 192),2102
18,18.0,0.0,18.0,False,False,(58; 76; 192),2102
19,19.0,0.0,18.0,False,False,(58; 76; 192),2102
20,20.0,0.0,18.0,False,False,(58; 76; 192),2102
21,21.0,0.0,18.0,False,False,(58; 76; 192),2102
22,22.0,0.0,18.0,False,False,(58; 76; 192),2102
23,23.0,0.0,18.0,False,False,(58; 76; 192),2102
24,24.0,0.0,18.0,False,False,(58; 76; 192),2102
25,25.0,0.0,18.0,False,False,(58; 76; 192),2102
26,26.0,0.0,18.0,False,False,(58; 76; 192),2102
27,27.0,0.0,18.0,False,False,(58; 76; 192),2102
28,28.0,0.0,18.0,False,False,(58; 76; 192),2102
29,29.0,0.0,18.0,False,False,(58; 76; 192),2102
30,30.0,0.0,18.0,False,False,(58; 76; 192),2102
31,31.0,0.0,18.0,False,False,(58; 76; 192),2102
32,32.0,0.0,18.0,False,False,(58; 76; 192),2102
33,33.0,0.0,18.0,False,False,(58; 76; 192),2102
34,34.0,0.0,18.0,False,False,(58; 76; 192),2102
35,35.0,0.0,18.0,False,False,(58; 76; 192),2102
36,36.0,0.0,18.0,False,False,(58; 76; 192),2102
37,37.0,0.0,18.0,False,False,(58; 76; 192),2102
38,38.0,0.0,18.0,False,False,(58; 76; 192),2102
39,39.0,0.0,18.0,False,False,(58; 76; 192),2102
40,40.0,0.0,18.0,False,False,(58; 76; 192),2102
41,41.0,0.0,18.0,False,False,(58; 76; 192),2102
42,42.0,0.0,18.0,False,False,(58; 76; 192),2102
43,43.0,0.0,18.0,False,False,(58; 76; 192),2102
44,44.0,0.0,18.0,False,False,(58; 76; 192),2102
45,45.0,0.0,18.0,False,False,(58; 76; 192),2102
46,46.0,0.0,18.0,False,False,(58; 76; 192),2102
47,47.0,0.0,18.0,False,False,(58; 76; 192),2102
48,48.0,0.0,18.0,False,False,(58; 76; 192),2102
49,49.0,0.0,18.0,False,False,(58; 76; 192),2102
50,50.0,0.0,18.0,False,False,(58; 76; 192),2102
51,51.0,0.0,18.0,False,False,(58; 76; 192),2102
52,52.0,0.0,18.0,False,False,(58; 76; 192),2102
53,53.0,0.0,18.0,False,False,(58; 76; 192),2102
54,54.0,0.0,18.0,False,False,(58; 76; 192),2102
55,55.0,0.0,18.0,False,False,(58; 76; 192),2102
56,56.0,0.0,18.0,False,False,(58; 76; 192),2102
57,57.0,0.0,18.0,False,False,(58; 76; 192),2102
58,58.0,0.0,18.0,False,False,(58; 76; 192),2102
59,59.0,0.0,18.0,False,False,(58; 76; 192),2102
60,60.0,0.0,18.0,False,False,(58; 76; 192),2102
61,61.0,0.0,18.0,False,False,(58; 76; 192),2102
62,62.0,0.0,18.0,False,False,(58; 76; 192),2102
63,63.0,0.0,18.0,False,False,(58; 76; 192),2102
64,64.0,0.0,18.0,False,False,(58; 76; 192),2102
65,65.0,0.0,18.0,False,False,(58; 76; 192),2102
66,66.0,0.0,18.0,False,False,(58; 76; 192),2102
67,67.0,0.0,18.0,False,False,(58; 76; 192),2102
68,68.0,0.0,18.0,False,False,(58; 76; 192),2102
69,69.0,0.0,18.0,False,False,(58; 76; 192),2102
70,70.0,0.0,18.0,False,False,(58; 76; 192),2102
71,71.0,0.0,18.0,False,False,(58; 76; 192),2102
72,72.0,0.0,18.0,False,False,(58; 76; 192),2102
73,73.0,0.0,18.0,False,False,(58; 76; 192),2102
74,74.0,0.0,18.0,False,False,(58; 76; 192),2102
75,75.0,0.0,18.0,False,False,(58; 76; 192),2102
76,76.0,0.0,18.0,False,False,(58; 76; 192),2102
77,77.0,0.0,18.0,False,False,(58; 76; 192),2102
78,78.0,0.0,18.0,False,False,(58; 76; 192),2102
79,79.0,0.0,18.0,False,False,(58; 76; 192),2102
80,80.0,0.0,18.0,False,False,(58; 76; 192),2102
81,81.0,0.0,18.0,False,False,(58; 76; 192),2102
82,82.0,0.0,18.0,False,False,(58; 76; 192),2102
83,83.0,0.0,18.0,False,False,(58; 76; 192),2102
84,84.0,0.0,18.0,False,False,(58; 76; 192),2102
85,85.0,0.0,18.0,False,False,(58; 76; 192),2102
86,86.0,0.0,18.0,False,False,(58; 76; 192),2102
87,87.0,0.0,18.0,False,False,(58; 76; 192),2102
88,88.0,0.0,18.0,False,False,(58; 76; 192),2102
89,89.0,0.0,18.0,False,False,(58; 76; 192),2102
90,90.0,0.0,18.0,False,False,(58; 76; 192),2102
91,91.0,0.0,18.0,False,False,(58; 76; 192),2102
92,92.0,0.0,18.0,False,False,(58; 76; 192),2102
93,93.0,0.0,18.0,False,False,(58; 76; 192),2102
94,94.0,0.0,18.0,False,False,(58; 76; 192),2102
95,95.0,0.0,18.0,False,False,(58; 76; 192),2102
96,96.0,0.0,18.0,False,False,(58; 76; 192),2102
97,97.0,0.0,18.0,False,False,(58; 76; 192),2102
98,98.0,0.0,18.0,False,False,(58; 76; 192),2102
99,99.0,0.0,18.0,False,False,(58; 76; 192),2102
100,100.0,0.0,18.0,False,False,(58; 76; 192),2102
101,101.0,0.0,18.0,False,False,(58; 76; 192),2102
102,102.0,0.0,18.0,False,False,(58; 76; 192),2102
103,103.0,0.0,18.0,False,False,(58; 76; 192),2102
104,104.0,0.0,18.0,False,False,(58; 76; 192),2102
105,105.0,0.0,18.0,False,False,(58; 76; 192),2102
106,106.0,0.0,18.0,False,False,(58; 76; 192),2102
107,107.0,0.0,18.0,False,False,(58; 76; 192),2102
108,108.0,0.0,18.0,False,False,(58; 76; 192),2102
109,109.0,0.0,18.0,False,False,(58; 76; 192),2102
110,110.0,0.0,18.0,False,False,(58; 76; 192),2102
111,111.0,0.0,18.0,False,False,(58; 76; 192),2102
112,112.0,0.0,18.0,False,False,(58; 76; 192),2102
113,113.0,0.0,18.0,False,False,(58; 76; 192),2102
114,114.0,0.0,18.0,False,False,(58; 76; 192),2102
115,115.0,0.0,18.0,False,False,(58; 76; 192),2102
116,116.0,0.0,18.0,False,False,(58; 76; 192),2102
117,117.0,0.0,18.0,False,False,(58; 76; 192),2102
118,118.0,0.0,18.0,False,False,(58; 76; 192),2102
119,119.0,0.0,18.0,False,False,(58; 76; 192),2102
120,120.0,0.0,18.0,False,False,(58; 76; 192),2102
121,121.0,0.0,18.0,False,False,(58; 76; 192),2102
122,122.0,0.0,18.0,False,False,(58; 76; 192),2102
123,123.0,0.0,18.0,False,False,(58; 76; 192),2102
124,124.0,0.0,18.0,False,False,(58; 76; 192),2102
125,125.0,0.0,18.0,False,False,(58; 76; 192),2102
126,126.0,0.0,18.0,False,False,(58; 76; 192),2102
127,127.0,0.0,18.0,False,False,(58; 76; 192),2102
128,128.0,0.0,18.0,False,False,(58; 76; 192),2102
129,129.0,0.0,18.0,False,False,(58; 76; 192),2102
130,130.0,0.0,18.0,False,False,(58; 76; 192),2102
131,131.0,0.0,18.0,False,False,(58; 76; 192),2102
132,132.0,0.0,18.0,False,False,(58; 76; 192),2102
133,133.0,0.0,18.0,False,False,(58; 76; 192),2102
134,134.0,0.0,18.0,False,False,(58; 76; 192),2102
135,135.0,0.0,18.0,False,False,(58; 76; 192),2102
136,136.0,0.0,18.0,False,False,(58; 76; 192),2102
137,137.0,0.0,18.0,False,False,(58; 76; 192),2102
138,138.0,0.0,18.0,False,False,(58; 76; 192),2102
139,139.0,0.0,18.0,False,False,(58; 76; 192),2102
140,140.0,0.0,18.0,False,False,(58; 76; 192),2102
141,141.0,0.0,18.0,False,False,(58; 76; 192),2102
142,142.0,0.0,18.0,False,False,(58; 76; 192),2102
143,143.0,0.0,18.0,False,False,(58; 76; 192),2102
144,144.0,0.0,18.0,False,False,(58; 76; 192),2102
145,145.0,0.0,18.0,False,False,(58; 76; 192),2102
146,146.0,0.0,18.0,False,False,(58; 76; 192),2102
147,147.0,0.0,18.0,False,False,(58; 76; 192),2102
148,148.0,0.0,18.0,False,False,(58; 76; 192),2102
149,149.0,0.0,18.0,False,False,(58; 76; 192),2102
150,150.0,0.0,18.0,False,False,(58; 76; 192),2102
151,151.0,0.0,18.0,False,False,(58; 76; 192),2102
152,152.0,0.0,18.0,False,False,(58; 76; 192),2102
153,153.0,0.0,18.0,False,False,(58; 76; 192),2102
154,154.0,0.0,18.0,False,False,(58; 76; 192),2102
155,155.0,0.0,18.0,False,False,(58; 76; 192),2102
156,156.0,0.0,18.0,False,False,(58; 76; 192),2102
157,157.0,0.0,18.0,False,False,(58; 76; 192),2102
