,minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0,0,0,18,False,False,(58; 76; 192),71
1,1,0,18,False,False,(58; 76; 192),71
2,2,0,18,False,False,(58; 76; 192),71
3,3,0,18,False,False,(58; 76; 192),71
4,4,0,18,False,False,(58; 76; 192),71
5,5,0,18,False,False,(58; 76; 192),71
6,6,0,18,False,False,(58; 76; 192),71
7,7,0,18,False,False,(58; 76; 192),71
8,8,0,18,False,False,(58; 76; 192),71
9,9,0,18,False,False,(58; 76; 192),71
10,10,0,18,False,False,(58; 76; 192),71
11,11,0,18,False,False,(58; 76; 192),71
12,12,0,18,False,False,(58; 76; 192),71
13,13,0,18,False,False,(58; 76; 192),71
14,14,0,18,False,False,(58; 76; 192),71
15,15,0,18,False,False,(58; 76; 192),71
16,16,0,18,False,False,(58; 76; 192),71
17,17,0,18,False,False,(58; 76; 192),71
18,18,0,18,False,False,(58; 76; 192),71
19,19,0,18,False,False,(58; 76; 192),71
20,20,0,18,False,False,(58; 76; 192),71
21,21,0,18,False,False,(58; 76; 192),71
22,22,0,18,False,False,(58; 76; 192),71
23,23,0,18,False,False,(58; 76; 192),71
24,24,0,18,False,False,(58; 76; 192),71
25,25,0,18,False,False,(58; 76; 192),71
26,26,0,18,False,False,(58; 76; 192),71
27,27,0,18,False,False,(58; 76; 192),71
28,28,0,18,False,False,(58; 76; 192),71
29,29,0,18,False,False,(58; 76; 192),71
30,30,0,18,False,False,(58; 76; 192),71
31,31,0,18,False,False,(58; 76; 192),71
32,32,0,18,False,False,(58; 76; 192),71
33,33,0,18,False,False,(58; 76; 192),71
34,34,0,18,False,False,(58; 76; 192),71
35,35,0,18,False,False,(58; 76; 192),71
36,36,0,18,False,False,(58; 76; 192),71
37,37,0,18,False,False,(58; 76; 192),71
38,38,0,18,False,False,(58; 76; 192),71
39,39,0,18,False,False,(58; 76; 192),71
40,40,0,18,False,False,(58; 76; 192),71
41,41,0,18,False,False,(58; 76; 192),71
42,42,0,18,False,False,(58; 76; 192),71
43,43,0,18,False,False,(58; 76; 192),71
44,44,0,18,False,False,(58; 76; 192),71
45,45,0,18,False,False,(58; 76; 192),71
46,46,0,18,False,False,(58; 76; 192),71
47,47,0,18,False,False,(58; 76; 192),71
48,48,0,18,False,False,(58; 76; 192),71
49,49,0,18,False,False,(58; 76; 192),71
50,50,0,18,False,False,(58; 76; 192),71
51,51,0,18,False,False,(58; 76; 192),71
52,52,0,18,False,False,(58; 76; 192),71
53,53,0,18,False,False,(58; 76; 192),71
54,54,0,18,False,False,(58; 76; 192),71
55,55,0,18,False,False,(58; 76; 192),71
56,56,0,18,False,False,(58; 76; 192),71
57,57,0,18,False,False,(58; 76; 192),71
58,58,0,18,False,False,(58; 76; 192),71
59,59,0,18.04,False,True,(60; 79; 195),71
60,60,0,18.37,False,True,(86; 115; 224),71
61,61,0,18.7,False,True,(113; 148; 244),71
62,62,0,19.03,False,True,(142; 177; 253),71
63,63,0,19.36,False,True,(172; 200; 252),71
64,64,0,19.69,False,True,(199; 214; 240),71
65,65,0,20.02,False,True,(222; 219; 218),71
66,66,0,20.35,False,True,(239; 205; 187),71
67,67,0,20.68,False,True,(246; 182; 154),71
68,68,0,21.01,False,True,(243; 152; 121),71
69,69,0,21.34,False,True,(230; 116; 90),71
70,70,0,21.67,False,True,(209; 73; 62),71
71,71,1,22,True,True,(179; 3; 38),154
72,72,1,22,True,True,(179; 3; 38),154
73,73,1,22,True,True,(179; 3; 38),154
74,74,1,22,True,True,(179; 3; 38),154
75,75,1,22,True,True,(179; 3; 38),154
76,76,1,22,True,True,(179; 3; 38),154
77,77,1,22,True,True,(179; 3; 38),154
78,78,1,22,True,True,(179; 3; 38),154
79,79,1,22,True,True,(179; 3; 38),154
80,80,1,22,True,True,(179; 3; 38),154
81,81,1,22,True,True,(179; 3; 38),154
82,82,1,22,True,True,(179; 3; 38),154
83,83,1,22,True,True,(179; 3; 38),154
84,84,1,22,True,True,(179; 3; 38),154
85,85,1,22,True,True,(179; 3; 38),154
86,86,1,22,True,True,(179; 3; 38),154
87,87,1,22,True,True,(179; 3; 38),154
88,88,1,22,True,True,(179; 3; 38),154
89,89,1,22,True,True,(179; 3; 38),154
90,90,1,22,True,True,(179; 3; 38),154
91,91,1,22,True,True,(179; 3; 38),154
92,92,1,22,True,True,(179; 3; 38),154
93,93,1,22,True,True,(179; 3; 38),154
94,94,1,22,True,True,(179; 3; 38),154
95,95,1,22,True,True,(179; 3; 38),154
96,96,1,22,True,True,(179; 3; 38),154
97,97,1,22,True,True,(179; 3; 38),154
98,98,1,22,True,True,(179; 3; 38),154
99,99,1,22,True,True,(179; 3; 38),154
100,100,1,22,True,True,(179; 3; 38),154
101,101,1,22,True,True,(179; 3; 38),154
102,102,1,22,True,True,(179; 3; 38),154
103,103,1,22,True,True,(179; 3; 38),154
104,104,1,22,True,True,(179; 3; 38),154
105,105,1,22,True,True,(179; 3; 38),154
106,106,1,22,True,True,(179; 3; 38),154
107,107,1,22,True,True,(179; 3; 38),154
108,108,1,22,True,True,(179; 3; 38),154
109,109,1,22,True,True,(179; 3; 38),154
110,110,1,22,True,True,(179; 3; 38),154
111,111,1,22,True,True,(179; 3; 38),154
112,112,1,22,True,True,(179; 3; 38),154
113,113,1,22,True,True,(179; 3; 38),154
114,114,1,22,True,True,(179; 3; 38),154
115,115,1,22,True,True,(179; 3; 38),154
116,116,0,21,False,False,(243; 152; 121),154
117,117,0,20,False,False,(221; 220; 219),154
118,118,0,19,False,False,(141; 175; 253),154
119,119,0,18,False,False,(58; 76; 192),154
120,120,0,18,False,False,(58; 76; 192),154
121,121,0,18,False,False,(58; 76; 192),154
122,122,0,18,False,False,(58; 76; 192),154
123,123,0,18,False,False,(58; 76; 192),154
124,124,0,18,False,False,(58; 76; 192),154
125,125,0,18,False,False,(58; 76; 192),154
126,126,0,18,False,False,(58; 76; 192),154
127,127,0,18,False,False,(58; 76; 192),154
128,128,0,18,False,False,(58; 76; 192),154
129,129,0,18,False,False,(58; 76; 192),154
130,130,0,18,False,False,(58; 76; 192),154
131,131,0,18,False,False,(58; 76; 192),154
132,132,0,18,False,False,(58; 76; 192),154
133,133,0,18,False,False,(58; 76; 192),154
134,134,0,18,False,False,(58; 76; 192),154
135,135,0,18,False,False,(58; 76; 192),154
136,136,0,18,False,False,(58; 76; 192),154
137,137,0,18,False,False,(58; 76; 192),154
138,138,0,18,False,False,(58; 76; 192),154
139,139,0,18,False,False,(58; 76; 192),154
140,140,0,18,False,False,(58; 76; 192),154
141,141,0,18,False,False,(58; 76; 192),154
142,142,0,18.04,False,True,(60; 79; 195),154
143,143,0,18.37,False,True,(86; 115; 224),154
144,144,0,18.7,False,True,(113; 148; 244),154
145,145,0,19.03,False,True,(142; 177; 253),154
146,146,0,19.36,False,True,(172; 200; 252),154
147,147,0,19.69,False,True,(199; 214; 240),154
148,148,0,20.02,False,True,(222; 219; 218),154
149,149,0,20.35,False,True,(239; 205; 187),154
150,150,0,20.68,False,True,(246; 182; 154),154
151,151,0,21.01,False,True,(243; 152; 121),154
152,152,0,21.34,False,True,(230; 116; 90),154
153,153,0,21.67,False,True,(209; 73; 62),154
154,154,1,22,True,True,(179; 3; 38),310
155,155,1,22,True,True,(179; 3; 38),310
156,156,1,22,True,True,(179; 3; 38),310
157,157,1,22,True,True,(179; 3; 38),310
158,158,1,22,True,True,(179; 3; 38),310
159,159,1,22,True,True,(179; 3; 38),310
160,160,1,22,True,True,(179; 3; 38),310
161,161,1,22,True,True,(179; 3; 38),310
162,162,1,22,True,True,(179; 3; 38),310
163,163,1,22,True,True,(179; 3; 38),310
164,164,1,22,True,True,(179; 3; 38),310
165,165,1,22,True,True,(179; 3; 38),310
166,166,1,22,True,True,(179; 3; 38),310
167,167,1,22,True,True,(179; 3; 38),310
168,168,1,22,True,True,(179; 3; 38),310
169,169,1,22,True,True,(179; 3; 38),310
170,170,1,22,True,True,(179; 3; 38),310
171,171,1,22,True,True,(179; 3; 38),310
172,172,1,22,True,True,(179; 3; 38),310
173,173,1,22,True,True,(179; 3; 38),310
174,174,1,22,True,True,(179; 3; 38),310
175,175,1,22,True,True,(179; 3; 38),310
176,176,1,22,True,True,(179; 3; 38),310
177,177,1,22,True,True,(179; 3; 38),310
