day,time,person,x,y,z
1,8.803567,0,5.816002,-9.69,-9.394993
1,8.805238,0,3.51649475,-8.933346,-9.422941
1,8.806909,0,-0.490779877,-8.933345,-9.471653
1,8.808579,0,-4.501156,-8.933346,-9.520397
1,8.810254,0,-8.520811,-8.933346,-9.569262
1,8.811924,0,-12.528017,-8.933345,-9.617973
1,8.813595,0,-16.5370274,-8.933345,-9.666708
1,8.815263,0,-20.5382042,-8.933345,-9.739952
1,8.816932,0,-24.41715,-8.90775,-9.920559
1,8.818601,0,-28.2919731,-8.841498,-10.1643906
1,8.820272,0,-32.17908,-8.75856,-10.48984
1,8.821944,0,-33.720787,-8.119839,-11.6542091
1,8.823612,0,-31.51056,-6.229167,-13.38895
1,8.825281,0,-28.9225883,-3.627664,-14.4482727
1,8.826951,0,-26.0172844,-0.929116368,-13.3933983
1,8.828624,0,-22.9970226,1.43753469,-11.1439514
1,8.830295,0,-19.5051537,1.56665456,-9.475004
1,8.831968,0,-18.0761967,1.56665456,-10.5692406
1,8.833642,0,-19.9657116,1.56665456,-13.7499619
1,8.835309,0,-22.1575623,1.56665456,-17.0972519
1,8.836977,0,-24.3506584,1.56665456,-20.4464741
1,8.838645,0,-26.54491,1.56665456,-23.7974434
1,8.840317,0,-28.7414227,1.56665456,-27.15186
1,8.841987,0,-31.075119,1.56665456,-30.3904133
1,8.843657,0,-33.01,1.56665456,-32.87
1,10.26075,0,-33.01,1.56665456,-32.87
1,10.2624207,0,-31.563549,1.56665456,-31.0565567
1,10.26409,0,-29.23214,1.56665456,-27.9031162
1,10.2657595,0,-27.1708584,1.56665456,-24.4663334
1,10.2674294,0,-25.1092281,1.56665456,-21.0289268
1,10.2691,0,-23.04709,1.56665456,-17.5907
1,10.2707729,0,-21.0212536,1.56665456,-14.1849785
1,10.2724438,0,-19.59895,1.56665456,-10.4604836
1,10.2741165,0,-18.7439785,1.56665456,-6.61911774
1,10.2757835,0,-19.8675537,1.56665456,-2.79713249
1,10.2774515,0,-21.9234848,1.56665456,-0.7066574
1,10.3024635,0,-22.0899963,1.56665456,-1.35998154
1,10.3041306,0,-20.120945,1.56665456,-2.578762
1,10.3057976,0,-18.76373,1.56665456,-5.96088028
1,10.3074694,0,-19.40513,1.56665456,-9.864521
1,10.3091373,0,-19.98919,1.56665456,-11.9218807
1,10.3108091,0,-21.2315273,1.56665456,-14.5565453
1,10.312479,0,-23.28909,1.56665456,-17.9938927
1,10.314147,0,-25.3494625,1.56665456,-21.42751
1,10.315814,0,-27.40926,1.56665456,-24.8601646
1,10.3174858,0,-29.467989,1.56665456,-28.2724113
1,10.3191547,0,-31.8998718,1.56665456,-31.447731
1,10.8610382,0,-33.01,1.56665456,-32.87
