minute_idx,PersonenAnzahl,temp,rgb_value
3,1.0,19.86998273073086,"(183, 207, 249)"
248,0.0,22.469537212553202,"(216, 86, 70)"
281,1.0,22.956657575682076,"(182, 13, 40)"
681,0.0,22.29810205403532,"(224, 102, 80)"
738,1.0,22.18135041398379,"(230, 114, 89)"
845,0.0,19.789094099549057,"(178, 203, 251)"
894,1.0,19.959884470081725,"(189, 210, 246)"
1096,0.0,19.354218472668126,"(148, 181, 254)"
1117,1.0,21.48186797946425,"(247, 173, 143)"
1204,2.0,21.333167999660077,"(246, 183, 156)"
1207,3.0,22.506609199313964,"(214, 82, 67)"
1320,2.0,21.093657702302224,"(243, 197, 175)"
1338,3.0,22.052540995511137,"(235, 127, 99)"
1407,2.0,21.262010814231964,"(246, 187, 160)"
1446,1.0,19.617241885990367,"(166, 195, 253)"
1451,0.0,19.94635399755117,"(188, 209, 246)"
1478,1.0,20.767939611898154,"(233, 212, 201)"
1479,2.0,19.146549067362614,"(133, 168, 251)"
1495,3.0,21.136925677962132,"(244, 195, 171)"
1511,2.0,20.169323196760484,"(202, 216, 238)"
1621,3.0,20.23882459415914,"(206, 217, 235)"
1682,2.0,18.465679868072645,"(86, 115, 224)"
1725,3.0,22.3661072609142,"(221, 96, 76)"
1731,2.0,21.23526147308486,"(246, 189, 164)"
1807,3.0,21.11179992290765,"(244, 196, 173)"
1943,4.0,19.475391125456554,"(156, 188, 254)"
2020,3.0,22.204766047840288,"(229, 112, 87)"
2041,2.0,20.85921743770014,"(237, 208, 193)"
2049,1.0,19.933773991383347,"(188, 209, 246)"
2056,0.0,18.09562419521778,"(63, 83, 198)"
2089,1.0,19.045858898877327,"(126, 161, 249)"
2093,2.0,21.117395405665178,"(244, 196, 173)"
2096,3.0,19.610093207654447,"(166, 195, 253)"
2488,2.0,21.088593659223356,"(243, 197, 175)"
2496,1.0,20.357991069015334,"(213, 219, 229)"
2528,2.0,19.38833476929734,"(151, 184, 254)"
2548,3.0,21.293194129055408,"(246, 186, 159)"
2644,1.0,19.18663793280728,"(135, 170, 252)"
2653,0.0,22.384566838949972,"(220, 94, 75)"
2677,1.0,20.98828371128851,"(241, 202, 182)"
2678,2.0,19.996329143174663,"(192, 211, 245)"
2682,3.0,22.90501845882295,"(185, 22, 42)"
2774,2.0,20.293041255975602,"(209, 218, 232)"
2842,3.0,22.380501431102353,"(220, 94, 75)"
2847,2.0,20.522778558136775,"(222, 219, 218)"
2913,3.0,21.415228453896987,"(247, 178, 149)"
2941,2.0,20.495197607446602,"(220, 220, 221)"
