,minute_idx,PersonenAnzahl,temp,rgb_value
0,0,0.0,18.0,"(221, 96, 76)"
1,612,1.0,21.90113278683464,"(240, 141, 111)"
2,627,2.0,22.907590547578597,"(185, 22, 42)"
3,852,1.0,18.432178263580536,"(85, 113, 222)"
4,891,2.0,21.2111867395832,"(245, 191, 165)"
5,951,1.0,22.52461407136014,"(212, 79, 66)"
6,1010,2.0,19.15286491689216,"(134, 169, 252)"
7,1066,1.0,19.12019595537241,"(131, 166, 251)"
8,1077,0.0,18.95716326012889,"(120, 155, 247)"
9,1114,1.0,20.960687960108277,"(240, 204, 185)"
10,1212,2.0,21.52152379987756,"(246, 170, 140)"
11,1441,1.0,18.48243977251236,"(87, 117, 225)"
12,1445,0.0,21.62799665383236,"(246, 163, 132)"
13,1533,1.0,20.86783709507159,"(237, 208, 193)"
14,1584,2.0,22.99625862174971,"(179, 3, 38)"
15,1731,1.0,22.707995884291005,"(200, 56, 53)"
16,1811,2.0,20.045665258150866,"(194, 212, 243)"
17,1858,1.0,22.87594051520461,"(188, 31, 44)"
18,1865,0.0,21.513107224687808,"(246, 171, 141)"
19,2028,1.0,18.87022104663359,"(113, 148, 244)"
20,2048,0.0,19.74340688351014,"(175, 202, 251)"
21,2080,1.0,21.39834588649578,"(247, 179, 151)"
22,2083,2.0,18.42741409900409,"(83, 112, 221)"
23,2313,1.0,18.810117216395557,"(109, 144, 241)"
