,minute_idx,PersonenAnzahl,temp,rgb_value
0,0,0.0,18.0,"(221, 96, 76)"
1,622,1.0,19.18077473101838,"(135, 170, 252)"
2,643,2.0,19.095263424481896,"(130, 165, 251)"
3,843,0.0,19.769039911645827,"(176, 203, 251)"
4,882,1.0,21.58750992919049,"(246, 166, 135)"
5,905,2.0,21.013439111488776,"(242, 201, 181)"
6,922,1.0,19.375495343258684,"(149, 183, 254)"
7,958,2.0,20.34916979818072,"(213, 219, 229)"
8,982,1.0,18.81271088921709,"(109, 144, 241)"
9,1061,2.0,18.36161533124141,"(80, 107, 218)"
10,1126,1.0,18.76930155761986,"(107, 141, 240)"
11,1232,2.0,22.516997370119388,"(212, 79, 66)"
12,1442,1.0,18.766735111152634,"(107, 141, 240)"
13,1480,2.0,22.61815439227352,"(206, 68, 60)"
14,1513,1.0,20.019230252373305,"(193, 212, 244)"
15,1514,0.0,21.290680572608917,"(246, 186, 159)"
16,1544,1.0,21.79213573661872,"(243, 149, 118)"
17,1552,2.0,21.5291444531303,"(246, 170, 140)"
18,1603,1.0,22.15506782896273,"(231, 117, 92)"
19,1650,2.0,20.2502762044543,"(207, 217, 234)"
20,1702,1.0,19.03731330878594,"(126, 161, 249)"
21,1731,0.0,22.067104329783557,"(234, 125, 97)"
22,1831,1.0,18.500116000651104,"(88, 118, 226)"
23,1834,2.0,19.513376092787023,"(159, 190, 254)"
24,1858,0.0,21.622696289429157,"(246, 163, 132)"
25,2027,1.0,21.80650377299396,"(243, 149, 118)"
26,2083,2.0,21.59787545418221,"(246, 164, 134)"
27,2165,1.0,20.409600733522105,"(216, 219, 225)"
28,2221,2.0,20.922366997415345,"(239, 206, 188)"
