minute_idx,PersonenAnzahl,temp,rgb_value
71,1.0,21.812688313653354,"(242, 147, 117)"
116,0.0,22.60071467453732,"(207, 70, 61)"
154,1.0,21.729642280746496,"(244, 155, 124)"
184,0.0,21.04212391542631,"(242, 200, 179)"
310,1.0,18.681604270220518,"(100, 133, 235)"
361,0.0,21.272017288759166,"(246, 187, 160)"
684,1.0,20.83357814918242,"(236, 209, 195)"
740,0.0,19.729709405210972,"(174, 201, 252)"
769,1.0,20.11108516877824,"(199, 214, 240)"
782,2.0,19.719718224238832,"(174, 201, 252)"
804,1.0,21.63696908688901,"(245, 161, 130)"
808,2.0,19.650848528056994,"(168, 197, 253)"
847,1.0,19.888469627249652,"(184, 207, 248)"
848,0.0,20.389428786830543,"(215, 219, 226)"
951,1.0,18.43596020886785,"(85, 113, 222)"
999,2.0,19.114093388506976,"(131, 166, 251)"
1010,1.0,18.996390631140066,"(123, 158, 248)"
1044,0.0,18.644686618882876,"(99, 131, 234)"
1066,1.0,18.601913748607863,"(95, 126, 231)"
1077,2.0,18.114631301320387,"(64, 84, 199)"
1114,1.0,21.196489465448426,"(245, 192, 167)"
1143,0.0,21.123529006887548,"(244, 196, 173)"
1265,1.0,21.75728254417099,"(243, 152, 121)"
1336,2.0,18.51556111441444,"(90, 120, 227)"
1344,1.0,22.033640428824697,"(236, 128, 100)"
1392,0.0,20.71568772601228,"(231, 214, 204)"
1407,1.0,21.319797795279023,"(246, 185, 157)"
1446,0.0,19.652380906824927,"(168, 197, 253)"
1573,1.0,20.87540761254068,"(237, 207, 192)"
1603,2.0,22.306944413347793,"(224, 102, 80)"
1631,1.0,20.683376912105505,"(230, 215, 207)"
1650,0.0,19.09071134814516,"(128, 164, 250)"
1702,1.0,19.52612618779892,"(160, 191, 254)"
1731,3.0,20.827174843581766,"(236, 210, 196)"
1754,2.0,22.374210425823918,"(221, 96, 76)"
1777,1.0,20.81177897978096,"(235, 211, 198)"
1778,0.0,21.945990254426494,"(238, 135, 106)"
1895,1.0,21.81894898554899,"(242, 147, 117)"
1930,0.0,22.417205435404718,"(218, 90, 72)"
2043,1.0,18.284466811224156,"(75, 100, 212)"
2083,0.0,21.92074741811538,"(240, 139, 109)"
2242,1.0,21.2031890181954,"(245, 191, 165)"
2291,0.0,18.83680747718367,"(111, 145, 242)"
2451,1.0,18.93837390875889,"(119, 154, 246)"
2496,2.0,20.762443385005856,"(233, 212, 201)"
2497,1.0,19.47902595611026,"(156, 188, 254)"
2548,0.0,20.177800180437174,"(202, 216, 238)"
2774,1.0,22.437892258958062,"(217, 88, 71)"
2842,0.0,21.2450653326125,"(246, 188, 162)"
2847,1.0,20.265950176753638,"(208, 218, 233)"
2873,2.0,21.09263825559399,"(243, 197, 175)"
2913,1.0,19.406577079828306,"(152, 185, 254)"
2929,0.0,19.1970460132838,"(137, 172, 252)"
