minute_idx,PersonenAnzahl,temp,rgb_value
49,1.0,19.278038044629408,"(142, 177, 253)"
251,0.0,19.663586837222997,"(170, 198, 253)"
288,1.0,22.17140139126431,"(230, 116, 90)"
397,0.0,19.09136027573534,"(128, 164, 250)"
513,1.0,19.072591608215493,"(127, 162, 250)"
545,0.0,21.55032203153229,"(246, 169, 138)"
644,1.0,22.85913244419365,"(190, 35, 45)"
782,0.0,18.80083357144432,"(109, 144, 241)"
886,1.0,18.283526903428132,"(75, 100, 212)"
999,0.0,19.221766937706096,"(138, 173, 253)"
1044,1.0,18.29994212745272,"(76, 102, 214)"
1143,0.0,18.144323830453054,"(66, 88, 202)"
1246,1.0,21.890296105556946,"(240, 141, 111)"
1451,0.0,20.581011570776518,"(225, 218, 214)"
1533,1.0,21.824463225092202,"(242, 147, 117)"
1763,0.0,21.163092607654573,"(244, 194, 170)"
2009,1.0,18.017976761867242,"(58, 76, 192)"
2051,0.0,21.11808865874957,"(244, 196, 173)"
2096,1.0,18.27070341708411,"(73, 98, 211)"
2355,0.0,21.28543448021165,"(246, 186, 159)"
2450,1.0,21.7911381415593,"(243, 149, 118)"
2644,0.0,21.154772522692195,"(244, 194, 170)"
2680,1.0,18.897106159371248,"(115, 149, 244)"
2883,0.0,21.6350338097679,"(245, 161, 130)"
2914,1.0,19.553842657574076,"(162, 192, 254)"
2945,0.0,21.874870549757496,"(241, 142, 112)"
