minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0.0,0.0,18.0,False,False,(58; 76; 192),49
1.0,0.0,18.0,False,False,(58; 76; 192),49
2.0,0.0,18.0,False,False,(58; 76; 192),49
3.0,0.0,18.0,False,False,(58; 76; 192),49
4.0,0.0,18.0,False,False,(58; 76; 192),49
5.0,0.0,18.0,False,False,(58; 76; 192),49
6.0,0.0,18.0,False,False,(58; 76; 192),49
7.0,0.0,18.0,False,False,(58; 76; 192),49
8.0,0.0,18.0,False,False,(58; 76; 192),49
9.0,0.0,18.0,False,False,(58; 76; 192),49
10.0,0.0,18.0,False,False,(58; 76; 192),49
11.0,0.0,18.0,False,False,(58; 76; 192),49
12.0,0.0,18.0,False,False,(58; 76; 192),49
13.0,0.0,18.0,False,False,(58; 76; 192),49
14.0,0.0,18.0,False,False,(58; 76; 192),49
15.0,0.0,18.0,False,False,(58; 76; 192),49
16.0,0.0,18.0,False,False,(58; 76; 192),49
17.0,0.0,18.0,False,False,(58; 76; 192),49
18.0,0.0,18.0,False,False,(58; 76; 192),49
19.0,0.0,18.0,False,False,(58; 76; 192),49
20.0,0.0,18.0,False,False,(58; 76; 192),49
21.0,0.0,18.0,False,False,(58; 76; 192),49
22.0,0.0,18.0,False,False,(58; 76; 192),49
23.0,0.0,18.0,False,False,(58; 76; 192),49
24.0,0.0,18.0,False,False,(58; 76; 192),49
25.0,0.0,18.0,False,False,(58; 76; 192),49
26.0,0.0,18.0,False,False,(58; 76; 192),49
27.0,0.0,18.0,False,False,(58; 76; 192),49
28.0,0.0,18.0,False,False,(58; 76; 192),49
29.0,0.0,18.0,False,False,(58; 76; 192),49
30.0,0.0,18.0,False,False,(58; 76; 192),49
31.0,0.0,18.0,False,False,(58; 76; 192),49
32.0,0.0,18.0,False,False,(58; 76; 192),49
33.0,0.0,18.0,False,False,(58; 76; 192),49
34.0,0.0,18.0,False,False,(58; 76; 192),49
35.0,0.0,18.0,False,False,(58; 76; 192),49
36.0,0.0,18.0,False,False,(58; 76; 192),49
37.0,0.0,18.0,False,False,(58; 76; 192),49
38.0,0.0,18.0,False,False,(58; 76; 192),49
39.0,0.0,18.0,False,False,(58; 76; 192),49
40.0,0.0,18.0,False,False,(58; 76; 192),49
41.0,0.0,18.0,False,False,(58; 76; 192),49
42.0,0.0,18.0,False,False,(58; 76; 192),49
43.0,0.0,18.022,False,True,(59; 77; 193),49
44.0,0.0,18.685,False,True,(112; 147; 243),49
45.0,0.0,19.348,False,True,(171; 199; 252),49
46.0,0.0,20.011,False,True,(221; 220; 219),49
47.0,0.0,20.674,False,True,(246; 182; 154),49
48.0,0.0,21.337,False,True,(230; 116; 90),288
49.0,1.0,22.0,True,True,(179; 3; 38),288
50.0,1.0,22.0,True,True,(179; 3; 38),288
51.0,1.0,22.0,True,True,(179; 3; 38),288
52.0,1.0,22.0,True,True,(179; 3; 38),288
53.0,1.0,22.0,True,True,(179; 3; 38),288
54.0,1.0,22.0,True,True,(179; 3; 38),288
55.0,1.0,22.0,True,True,(179; 3; 38),288
