minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0.0,0.0,18.0,False,False,(58; 76; 192),1246
1.0,0.0,18.0,False,False,(58; 76; 192),1246
2.0,0.0,18.0,False,False,(58; 76; 192),1246
3.0,0.0,18.0,False,False,(58; 76; 192),1246
4.0,0.0,18.0,False,False,(58; 76; 192),1246
5.0,0.0,18.0,False,False,(58; 76; 192),1246
6.0,0.0,18.0,False,False,(58; 76; 192),1246
7.0,0.0,18.0,False,False,(58; 76; 192),1246
8.0,0.0,18.0,False,False,(58; 76; 192),1246
9.0,0.0,18.0,False,False,(58; 76; 192),1246
10.0,0.0,18.0,False,False,(58; 76; 192),1246
11.0,0.0,18.0,False,False,(58; 76; 192),1246
12.0,0.0,18.0,False,False,(58; 76; 192),1246
13.0,0.0,18.0,False,False,(58; 76; 192),1246
14.0,0.0,18.0,False,False,(58; 76; 192),1246
15.0,0.0,18.0,False,False,(58; 76; 192),1246
16.0,0.0,18.0,False,False,(58; 76; 192),1246
17.0,0.0,18.0,False,False,(58; 76; 192),1246
18.0,0.0,18.0,False,False,(58; 76; 192),1246
19.0,0.0,18.0,False,False,(58; 76; 192),1246
20.0,0.0,18.0,False,False,(58; 76; 192),1246
21.0,0.0,18.0,False,False,(58; 76; 192),1246
22.0,0.0,18.0,False,False,(58; 76; 192),1246
23.0,0.0,18.0,False,False,(58; 76; 192),1246
24.0,0.0,18.0,False,False,(58; 76; 192),1246
25.0,0.0,18.0,False,False,(58; 76; 192),1246
26.0,0.0,18.0,False,False,(58; 76; 192),1246
27.0,0.0,18.0,False,False,(58; 76; 192),1246
28.0,0.0,18.0,False,False,(58; 76; 192),1246
29.0,0.0,18.0,False,False,(58; 76; 192),1246
30.0,0.0,18.0,False,False,(58; 76; 192),1246
31.0,0.0,18.0,False,False,(58; 76; 192),1246
32.0,0.0,18.0,False,False,(58; 76; 192),1246
33.0,0.0,18.0,False,False,(58; 76; 192),1246
34.0,0.0,18.0,False,False,(58; 76; 192),1246
35.0,0.0,18.0,False,False,(58; 76; 192),1246
36.0,0.0,18.0,False,False,(58; 76; 192),1246
37.0,0.0,18.0,False,False,(58; 76; 192),1246
38.0,0.0,18.0,False,False,(58; 76; 192),1246
39.0,0.0,18.0,False,False,(58; 76; 192),1246
40.0,0.0,18.0,False,False,(58; 76; 192),1246
41.0,0.0,18.0,False,False,(58; 76; 192),1246
42.0,0.0,18.0,False,False,(58; 76; 192),1246
43.0,0.0,18.0,False,False,(58; 76; 192),1246
44.0,0.0,18.0,False,False,(58; 76; 192),1246
45.0,0.0,18.0,False,False,(58; 76; 192),1246
46.0,0.0,18.0,False,False,(58; 76; 192),1246
47.0,0.0,18.0,False,False,(58; 76; 192),1246
48.0,0.0,18.0,False,False,(58; 76; 192),1246
49.0,0.0,18.0,False,False,(58; 76; 192),1246
50.0,0.0,18.0,False,False,(58; 76; 192),1246
51.0,0.0,18.0,False,False,(58; 76; 192),1246
52.0,0.0,18.0,False,False,(58; 76; 192),1246
53.0,0.0,18.0,False,False,(58; 76; 192),1246
54.0,0.0,18.0,False,False,(58; 76; 192),1246
55.0,0.0,18.0,False,False,(58; 76; 192),1246
56.0,0.0,18.0,False,False,(58; 76; 192),1246
57.0,0.0,18.0,False,False,(58; 76; 192),1246
58.0,0.0,18.0,False,False,(58; 76; 192),1246
59.0,0.0,18.0,False,False,(58; 76; 192),1246
60.0,0.0,18.0,False,False,(58; 76; 192),1246
61.0,0.0,18.0,False,False,(58; 76; 192),1246
62.0,0.0,18.0,False,False,(58; 76; 192),1246
63.0,0.0,18.0,False,False,(58; 76; 192),1246
64.0,0.0,18.0,False,False,(58; 76; 192),1246
65.0,0.0,18.0,False,False,(58; 76; 192),1246
66.0,0.0,18.0,False,False,(58; 76; 192),1246
67.0,0.0,18.0,False,False,(58; 76; 192),1246
68.0,0.0,18.0,False,False,(58; 76; 192),1246
69.0,0.0,18.0,False,False,(58; 76; 192),1246
70.0,0.0,18.0,False,False,(58; 76; 192),1246
71.0,0.0,18.0,False,False,(58; 76; 192),1246
72.0,0.0,18.0,False,False,(58; 76; 192),1246
73.0,0.0,18.0,False,False,(58; 76; 192),1246
74.0,0.0,18.0,False,False,(58; 76; 192),1246
75.0,0.0,18.0,False,False,(58; 76; 192),1246
76.0,0.0,18.0,False,False,(58; 76; 192),1246
77.0,0.0,18.0,False,False,(58; 76; 192),1246
78.0,0.0,18.0,False,False,(58; 76; 192),1246
79.0,0.0,18.0,False,False,(58; 76; 192),1246
80.0,0.0,18.0,False,False,(58; 76; 192),1246
81.0,0.0,18.0,False,False,(58; 76; 192),1246
82.0,0.0,18.0,False,False,(58; 76; 192),1246
83.0,0.0,18.0,False,False,(58; 76; 192),1246
84.0,0.0,18.0,False,False,(58; 76; 192),1246
85.0,0.0,18.0,False,False,(58; 76; 192),1246
86.0,0.0,18.0,False,False,(58; 76; 192),1246
87.0,0.0,18.0,False,False,(58; 76; 192),1246
88.0,0.0,18.0,False,False,(58; 76; 192),1246
89.0,0.0,18.0,False,False,(58; 76; 192),1246
90.0,0.0,18.0,False,False,(58; 76; 192),1246
91.0,0.0,18.0,False,False,(58; 76; 192),1246
92.0,0.0,18.0,False,False,(58; 76; 192),1246
93.0,0.0,18.0,False,False,(58; 76; 192),1246
94.0,0.0,18.0,False,False,(58; 76; 192),1246
95.0,0.0,18.0,False,False,(58; 76; 192),1246
96.0,0.0,18.0,False,False,(58; 76; 192),1246
97.0,0.0,18.0,False,False,(58; 76; 192),1246
