minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0.0,0.0,18.0,False,False,(58; 76; 192),1077
1.0,0.0,18.0,False,False,(58; 76; 192),1077
2.0,0.0,18.0,False,False,(58; 76; 192),1077
3.0,0.0,18.0,False,False,(58; 76; 192),1077
4.0,0.0,18.0,False,False,(58; 76; 192),1077
5.0,0.0,18.0,False,False,(58; 76; 192),1077
6.0,0.0,18.0,False,False,(58; 76; 192),1077
7.0,0.0,18.0,False,False,(58; 76; 192),1077
8.0,0.0,18.0,False,False,(58; 76; 192),1077
9.0,0.0,18.0,False,False,(58; 76; 192),1077
10.0,0.0,18.0,False,False,(58; 76; 192),1077
11.0,0.0,18.0,False,False,(58; 76; 192),1077
12.0,0.0,18.0,False,False,(58; 76; 192),1077
13.0,0.0,18.0,False,False,(58; 76; 192),1077
14.0,0.0,18.0,False,False,(58; 76; 192),1077
15.0,0.0,18.0,False,False,(58; 76; 192),1077
16.0,0.0,18.0,False,False,(58; 76; 192),1077
17.0,0.0,18.0,False,False,(58; 76; 192),1077
18.0,0.0,18.0,False,False,(58; 76; 192),1077
19.0,0.0,18.0,False,False,(58; 76; 192),1077
20.0,0.0,18.0,False,False,(58; 76; 192),1077
21.0,0.0,18.0,False,False,(58; 76; 192),1077
22.0,0.0,18.0,False,False,(58; 76; 192),1077
23.0,0.0,18.0,False,False,(58; 76; 192),1077
24.0,0.0,18.0,False,False,(58; 76; 192),1077
25.0,0.0,18.0,False,False,(58; 76; 192),1077
26.0,0.0,18.0,False,False,(58; 76; 192),1077
27.0,0.0,18.0,False,False,(58; 76; 192),1077
28.0,0.0,18.0,False,False,(58; 76; 192),1077
29.0,0.0,18.0,False,False,(58; 76; 192),1077
30.0,0.0,18.0,False,False,(58; 76; 192),1077
31.0,0.0,18.0,False,False,(58; 76; 192),1077
32.0,0.0,18.0,False,False,(58; 76; 192),1077
33.0,0.0,18.0,False,False,(58; 76; 192),1077
34.0,0.0,18.0,False,False,(58; 76; 192),1077
35.0,0.0,18.0,False,False,(58; 76; 192),1077
36.0,0.0,18.0,False,False,(58; 76; 192),1077
37.0,0.0,18.0,False,False,(58; 76; 192),1077
38.0,0.0,18.0,False,False,(58; 76; 192),1077
