minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0.0,0.0,18.0,False,False,(58; 76; 192),928
1.0,0.0,18.0,False,False,(58; 76; 192),928
2.0,0.0,18.0,False,False,(58; 76; 192),928
3.0,0.0,18.0,False,False,(58; 76; 192),928
4.0,0.0,18.0,False,False,(58; 76; 192),928
5.0,0.0,18.0,False,False,(58; 76; 192),928
6.0,0.0,18.0,False,False,(58; 76; 192),928
7.0,0.0,18.0,False,False,(58; 76; 192),928
8.0,0.0,18.0,False,False,(58; 76; 192),928
9.0,0.0,18.0,False,False,(58; 76; 192),928
10.0,0.0,18.0,False,False,(58; 76; 192),928
11.0,0.0,18.0,False,False,(58; 76; 192),928
12.0,0.0,18.0,False,False,(58; 76; 192),928
13.0,0.0,18.0,False,False,(58; 76; 192),928
14.0,0.0,18.0,False,False,(58; 76; 192),928
15.0,0.0,18.0,False,False,(58; 76; 192),928
16.0,0.0,18.0,False,False,(58; 76; 192),928
17.0,0.0,18.0,False,False,(58; 76; 192),928
18.0,0.0,18.0,False,False,(58; 76; 192),928
19.0,0.0,18.0,False,False,(58; 76; 192),928
20.0,0.0,18.0,False,False,(58; 76; 192),928
21.0,0.0,18.0,False,False,(58; 76; 192),928
22.0,0.0,18.0,False,False,(58; 76; 192),928
23.0,0.0,18.0,False,False,(58; 76; 192),928
24.0,0.0,18.0,False,False,(58; 76; 192),928
25.0,0.0,18.0,False,False,(58; 76; 192),928
26.0,0.0,18.0,False,False,(58; 76; 192),928
27.0,0.0,18.0,False,False,(58; 76; 192),928
28.0,0.0,18.0,False,False,(58; 76; 192),928
29.0,0.0,18.0,False,False,(58; 76; 192),928
30.0,0.0,18.0,False,False,(58; 76; 192),928
31.0,0.0,18.0,False,False,(58; 76; 192),928
32.0,0.0,18.0,False,False,(58; 76; 192),928
33.0,0.0,18.0,False,False,(58; 76; 192),928
34.0,0.0,18.0,False,False,(58; 76; 192),928
35.0,0.0,18.0,False,False,(58; 76; 192),928
36.0,0.0,18.0,False,False,(58; 76; 192),928
37.0,0.0,18.0,False,False,(58; 76; 192),928
38.0,0.0,18.0,False,False,(58; 76; 192),928
39.0,0.0,18.0,False,False,(58; 76; 192),928
40.0,0.0,18.0,False,False,(58; 76; 192),928
41.0,0.0,18.0,False,False,(58; 76; 192),928
42.0,0.0,18.0,False,False,(58; 76; 192),928
43.0,0.0,18.0,False,False,(58; 76; 192),928
44.0,0.0,18.0,False,False,(58; 76; 192),928
45.0,0.0,18.0,False,False,(58; 76; 192),928
46.0,0.0,18.0,False,False,(58; 76; 192),928
47.0,0.0,18.0,False,False,(58; 76; 192),928
48.0,0.0,18.0,False,False,(58; 76; 192),928
49.0,0.0,18.0,False,False,(58; 76; 192),928
50.0,0.0,18.0,False,False,(58; 76; 192),928
51.0,0.0,18.0,False,False,(58; 76; 192),928
52.0,0.0,18.0,False,False,(58; 76; 192),928
53.0,0.0,18.0,False,False,(58; 76; 192),928
54.0,0.0,18.0,False,False,(58; 76; 192),928
55.0,0.0,18.0,False,False,(58; 76; 192),928
56.0,0.0,18.0,False,False,(58; 76; 192),928
57.0,0.0,18.0,False,False,(58; 76; 192),928
58.0,0.0,18.0,False,False,(58; 76; 192),928
59.0,0.0,18.0,False,False,(58; 76; 192),928
60.0,0.0,18.0,False,False,(58; 76; 192),928
61.0,0.0,18.0,False,False,(58; 76; 192),928
62.0,0.0,18.0,False,False,(58; 76; 192),928
63.0,0.0,18.0,False,False,(58; 76; 192),928
64.0,0.0,18.0,False,False,(58; 76; 192),928
65.0,0.0,18.0,False,False,(58; 76; 192),928
66.0,0.0,18.0,False,False,(58; 76; 192),928
67.0,0.0,18.0,False,False,(58; 76; 192),928
68.0,0.0,18.0,False,False,(58; 76; 192),928
69.0,0.0,18.0,False,False,(58; 76; 192),928
70.0,0.0,18.0,False,False,(58; 76; 192),928
71.0,0.0,18.0,False,False,(58; 76; 192),928
72.0,0.0,18.0,False,False,(58; 76; 192),928
73.0,0.0,18.0,False,False,(58; 76; 192),928
74.0,0.0,18.0,False,False,(58; 76; 192),928
75.0,0.0,18.0,False,False,(58; 76; 192),928
76.0,0.0,18.0,False,False,(58; 76; 192),928
77.0,0.0,18.0,False,False,(58; 76; 192),928
78.0,0.0,18.0,False,False,(58; 76; 192),928
79.0,0.0,18.0,False,False,(58; 76; 192),928
80.0,0.0,18.0,False,False,(58; 76; 192),928
81.0,0.0,18.0,False,False,(58; 76; 192),928
82.0,0.0,18.0,False,False,(58; 76; 192),928
83.0,0.0,18.0,False,False,(58; 76; 192),928
84.0,0.0,18.0,False,False,(58; 76; 192),928
85.0,0.0,18.0,False,False,(58; 76; 192),928
86.0,0.0,18.0,False,False,(58; 76; 192),928
87.0,0.0,18.0,False,False,(58; 76; 192),928
88.0,0.0,18.0,False,False,(58; 76; 192),928
89.0,0.0,18.0,False,False,(58; 76; 192),928
90.0,0.0,18.0,False,False,(58; 76; 192),928
91.0,0.0,18.0,False,False,(58; 76; 192),928
92.0,0.0,18.0,False,False,(58; 76; 192),928
93.0,0.0,18.0,False,False,(58; 76; 192),928
94.0,0.0,18.0,False,False,(58; 76; 192),928
95.0,0.0,18.0,False,False,(58; 76; 192),928
96.0,0.0,18.0,False,False,(58; 76; 192),928
97.0,0.0,18.0,False,False,(58; 76; 192),928
98.0,0.0,18.0,False,False,(58; 76; 192),928
