,minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0,0.0,0.0,18.0,False,False,(58; 76; 192),247
1,1.0,0.0,18.0,False,False,(58; 76; 192),247
2,2.0,0.0,18.0,False,False,(58; 76; 192),247
3,3.0,0.0,18.0,False,False,(58; 76; 192),247
4,4.0,0.0,18.0,False,False,(58; 76; 192),247
5,5.0,0.0,18.0,False,False,(58; 76; 192),247
6,6.0,0.0,18.0,False,False,(58; 76; 192),247
7,7.0,0.0,18.0,False,False,(58; 76; 192),247
8,8.0,0.0,18.0,False,False,(58; 76; 192),247
9,9.0,0.0,18.0,False,False,(58; 76; 192),247
10,10.0,0.0,18.0,False,False,(58; 76; 192),247
11,11.0,0.0,18.0,False,False,(58; 76; 192),247
12,12.0,0.0,18.0,False,False,(58; 76; 192),247
13,13.0,0.0,18.0,False,False,(58; 76; 192),247
14,14.0,0.0,18.0,False,False,(58; 76; 192),247
15,15.0,0.0,18.0,False,False,(58; 76; 192),247
16,16.0,0.0,18.0,False,False,(58; 76; 192),247
17,17.0,0.0,18.0,False,False,(58; 76; 192),247
18,18.0,0.0,18.0,False,False,(58; 76; 192),247
19,19.0,0.0,18.0,False,False,(58; 76; 192),247
20,20.0,0.0,18.0,False,False,(58; 76; 192),247
21,21.0,0.0,18.0,False,False,(58; 76; 192),247
22,22.0,0.0,18.0,False,False,(58; 76; 192),247
23,23.0,0.0,18.0,False,False,(58; 76; 192),247
24,24.0,0.0,18.0,False,False,(58; 76; 192),247
25,25.0,0.0,18.0,False,False,(58; 76; 192),247
26,26.0,0.0,18.0,False,False,(58; 76; 192),247
27,27.0,0.0,18.0,False,False,(58; 76; 192),247
28,28.0,0.0,18.0,False,False,(58; 76; 192),247
29,29.0,0.0,18.0,False,False,(58; 76; 192),247
30,30.0,0.0,18.0,False,False,(58; 76; 192),247
31,31.0,0.0,18.0,False,False,(58; 76; 192),247
32,32.0,0.0,18.0,False,False,(58; 76; 192),247
