,minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0,0.0,0.0,18.0,False,False,(58; 76; 192),3
1,1.0,0.0,18.674,False,True,(171; 199; 252),3
2,2.0,0.0,19.337,False,True,(246; 182; 154),281
3,3.0,1.0,20.0,True,True,(179; 3; 38),281
4,4.0,1.0,20.0,True,True,(179; 3; 38),281
5,5.0,1.0,20.0,True,True,(179; 3; 38),281
6,6.0,1.0,20.0,True,True,(179; 3; 38),281
7,7.0,1.0,20.0,True,True,(179; 3; 38),281
8,8.0,1.0,20.0,True,True,(179; 3; 38),281
9,9.0,1.0,20.0,True,True,(179; 3; 38),281
10,10.0,1.0,20.0,True,True,(179; 3; 38),281
11,11.0,1.0,20.0,True,True,(179; 3; 38),281
12,12.0,1.0,20.0,True,True,(179; 3; 38),281
13,13.0,1.0,20.0,True,True,(179; 3; 38),281
14,14.0,1.0,20.0,True,True,(179; 3; 38),281
15,15.0,1.0,20.0,True,True,(179; 3; 38),281
16,16.0,1.0,20.0,True,True,(179; 3; 38),281
17,17.0,1.0,20.0,True,True,(179; 3; 38),281
18,18.0,1.0,20.0,True,True,(179; 3; 38),281
19,19.0,1.0,20.0,True,True,(179; 3; 38),281
20,20.0,1.0,20.0,True,True,(179; 3; 38),281
21,21.0,1.0,20.0,True,True,(179; 3; 38),281
22,22.0,1.0,20.0,True,True,(179; 3; 38),281
23,23.0,1.0,20.0,True,True,(179; 3; 38),281
24,24.0,1.0,20.0,True,True,(179; 3; 38),281
25,25.0,1.0,20.0,True,True,(179; 3; 38),281
26,26.0,1.0,20.0,True,True,(179; 3; 38),281
27,27.0,1.0,20.0,True,True,(179; 3; 38),281
28,28.0,1.0,20.0,True,True,(179; 3; 38),281
29,29.0,1.0,20.0,True,True,(179; 3; 38),281
30,30.0,1.0,20.0,True,True,(179; 3; 38),281
31,31.0,1.0,20.0,True,True,(179; 3; 38),281
32,32.0,1.0,20.0,True,True,(179; 3; 38),281
33,33.0,1.0,20.0,True,True,(179; 3; 38),281
34,34.0,1.0,20.0,True,True,(179; 3; 38),281
35,35.0,1.0,20.0,True,True,(179; 3; 38),281
36,36.0,1.0,20.0,True,True,(179; 3; 38),281
37,37.0,1.0,20.0,True,True,(179; 3; 38),281
38,38.0,1.0,20.0,True,True,(179; 3; 38),281
39,39.0,1.0,20.0,True,True,(179; 3; 38),281
40,40.0,1.0,20.0,True,True,(179; 3; 38),281
41,41.0,1.0,20.0,True,True,(179; 3; 38),281
42,42.0,1.0,20.0,True,True,(179; 3; 38),281
43,43.0,1.0,20.0,True,True,(179; 3; 38),281
44,44.0,1.0,20.0,True,True,(179; 3; 38),281
45,45.0,1.0,20.0,True,True,(179; 3; 38),281
46,46.0,1.0,20.0,True,True,(179; 3; 38),281
47,47.0,1.0,20.0,True,True,(179; 3; 38),281
48,48.0,1.0,20.0,True,True,(179; 3; 38),281
49,49.0,1.0,20.0,True,True,(179; 3; 38),281
50,50.0,1.0,20.0,True,True,(179; 3; 38),281
51,51.0,1.0,20.0,True,True,(179; 3; 38),281
52,52.0,1.0,20.0,True,True,(179; 3; 38),281
53,53.0,1.0,20.0,True,True,(179; 3; 38),281
54,54.0,1.0,20.0,True,True,(179; 3; 38),281
55,55.0,1.0,20.0,True,True,(179; 3; 38),281
56,56.0,1.0,20.0,True,True,(179; 3; 38),281
57,57.0,1.0,20.0,True,True,(179; 3; 38),281
58,58.0,1.0,20.0,True,True,(179; 3; 38),281
59,59.0,1.0,20.0,True,True,(179; 3; 38),281
60,60.0,1.0,20.0,True,True,(179; 3; 38),281
61,61.0,1.0,20.0,True,True,(179; 3; 38),281
62,62.0,1.0,20.0,True,True,(179; 3; 38),281
63,63.0,1.0,20.0,True,True,(179; 3; 38),281
64,64.0,1.0,20.0,True,True,(179; 3; 38),281
65,65.0,1.0,20.0,True,True,(179; 3; 38),281
66,66.0,1.0,20.0,True,True,(179; 3; 38),281
67,67.0,1.0,20.0,True,True,(179; 3; 38),281
68,68.0,1.0,20.0,True,True,(179; 3; 38),281
69,69.0,1.0,20.0,True,True,(179; 3; 38),281
70,70.0,1.0,20.0,True,True,(179; 3; 38),281
71,71.0,1.0,20.0,True,True,(179; 3; 38),281
72,72.0,1.0,20.0,True,True,(179; 3; 38),281
73,73.0,1.0,20.0,True,True,(179; 3; 38),281
74,74.0,1.0,20.0,True,True,(179; 3; 38),281
75,75.0,1.0,20.0,True,True,(179; 3; 38),281
76,76.0,1.0,20.0,True,True,(179; 3; 38),281
77,77.0,1.0,20.0,True,True,(179; 3; 38),281
78,78.0,1.0,20.0,True,True,(179; 3; 38),281
79,79.0,1.0,20.0,True,True,(179; 3; 38),281
80,80.0,1.0,20.0,True,True,(179; 3; 38),281
81,81.0,1.0,20.0,True,True,(179; 3; 38),281
82,82.0,1.0,20.0,True,True,(179; 3; 38),281
83,83.0,1.0,20.0,True,True,(179; 3; 38),281
84,84.0,1.0,20.0,True,True,(179; 3; 38),281
85,85.0,1.0,20.0,True,True,(179; 3; 38),281
86,86.0,1.0,20.0,True,True,(179; 3; 38),281
87,87.0,1.0,20.0,True,True,(179; 3; 38),281
88,88.0,1.0,20.0,True,True,(179; 3; 38),281
89,89.0,1.0,20.0,True,True,(179; 3; 38),281
90,90.0,1.0,20.0,True,True,(179; 3; 38),281
91,91.0,1.0,20.0,True,True,(179; 3; 38),281
92,92.0,1.0,20.0,True,True,(179; 3; 38),281
93,93.0,1.0,20.0,True,True,(179; 3; 38),281
94,94.0,1.0,20.0,True,True,(179; 3; 38),281
95,95.0,1.0,20.0,True,True,(179; 3; 38),281
96,96.0,1.0,20.0,True,True,(179; 3; 38),281
97,97.0,1.0,20.0,True,True,(179; 3; 38),281
98,98.0,1.0,20.0,True,True,(179; 3; 38),281
99,99.0,1.0,20.0,True,True,(179; 3; 38),281
100,100.0,1.0,20.0,True,True,(179; 3; 38),281
101,101.0,1.0,20.0,True,True,(179; 3; 38),281
102,102.0,1.0,20.0,True,True,(179; 3; 38),281
103,103.0,1.0,20.0,True,True,(179; 3; 38),281
104,104.0,1.0,20.0,True,True,(179; 3; 38),281
105,105.0,1.0,20.0,True,True,(179; 3; 38),281
106,106.0,1.0,20.0,True,True,(179; 3; 38),281
107,107.0,1.0,20.0,True,True,(179; 3; 38),281
108,108.0,1.0,20.0,True,True,(179; 3; 38),281
109,109.0,1.0,20.0,True,True,(179; 3; 38),281
110,110.0,1.0,20.0,True,True,(179; 3; 38),281
111,111.0,1.0,20.0,True,True,(179; 3; 38),281
112,112.0,1.0,20.0,True,True,(179; 3; 38),281
113,113.0,1.0,20.0,True,True,(179; 3; 38),281
114,114.0,1.0,20.0,True,True,(179; 3; 38),281
115,115.0,1.0,20.0,True,True,(179; 3; 38),281
116,116.0,1.0,20.0,True,True,(179; 3; 38),281
117,117.0,1.0,20.0,True,True,(179; 3; 38),281
118,118.0,1.0,20.0,True,True,(179; 3; 38),281
119,119.0,1.0,20.0,True,True,(179; 3; 38),281
120,120.0,1.0,20.0,True,True,(179; 3; 38),281
121,121.0,1.0,20.0,True,True,(179; 3; 38),281
122,122.0,1.0,20.0,True,True,(179; 3; 38),281
123,123.0,1.0,20.0,True,True,(179; 3; 38),281
124,124.0,1.0,20.0,True,True,(179; 3; 38),281
125,125.0,1.0,20.0,True,True,(179; 3; 38),281
126,126.0,1.0,20.0,True,True,(179; 3; 38),281
127,127.0,1.0,20.0,True,True,(179; 3; 38),281
128,128.0,1.0,20.0,True,True,(179; 3; 38),281
129,129.0,1.0,20.0,True,True,(179; 3; 38),281
130,130.0,1.0,20.0,True,True,(179; 3; 38),281
131,131.0,1.0,20.0,True,True,(179; 3; 38),281
132,132.0,1.0,20.0,True,True,(179; 3; 38),281
133,133.0,1.0,20.0,True,True,(179; 3; 38),281
134,134.0,1.0,20.0,True,True,(179; 3; 38),281
135,135.0,1.0,20.0,True,True,(179; 3; 38),281
136,136.0,1.0,20.0,True,True,(179; 3; 38),281
137,137.0,1.0,20.0,True,True,(179; 3; 38),281
138,138.0,1.0,20.0,True,True,(179; 3; 38),281
139,139.0,1.0,20.0,True,True,(179; 3; 38),281
140,140.0,1.0,20.0,True,True,(179; 3; 38),281
141,141.0,1.0,20.0,True,True,(179; 3; 38),281
142,142.0,1.0,20.0,True,True,(179; 3; 38),281
143,143.0,1.0,20.0,True,True,(179; 3; 38),281
144,144.0,1.0,20.0,True,True,(179; 3; 38),281
145,145.0,1.0,20.0,True,True,(179; 3; 38),281
146,146.0,1.0,20.0,True,True,(179; 3; 38),281
147,147.0,1.0,20.0,True,True,(179; 3; 38),281
148,148.0,1.0,20.0,True,True,(179; 3; 38),281
149,149.0,1.0,20.0,True,True,(179; 3; 38),281
150,150.0,1.0,20.0,True,True,(179; 3; 38),281
151,151.0,1.0,20.0,True,True,(179; 3; 38),281
152,152.0,1.0,20.0,True,True,(179; 3; 38),281
153,153.0,1.0,20.0,True,True,(179; 3; 38),281
154,154.0,1.0,20.0,True,True,(179; 3; 38),281
155,155.0,1.0,20.0,True,True,(179; 3; 38),281
156,156.0,1.0,20.0,True,True,(179; 3; 38),281
157,157.0,1.0,20.0,True,True,(179; 3; 38),281
158,158.0,1.0,20.0,True,True,(179; 3; 38),281
159,159.0,1.0,20.0,True,True,(179; 3; 38),281
160,160.0,1.0,20.0,True,True,(179; 3; 38),281
161,161.0,1.0,20.0,True,True,(179; 3; 38),281
162,162.0,1.0,20.0,True,True,(179; 3; 38),281
163,163.0,1.0,20.0,True,True,(179; 3; 38),281
164,164.0,1.0,20.0,True,True,(179; 3; 38),281
165,165.0,1.0,20.0,True,True,(179; 3; 38),281
166,166.0,1.0,20.0,True,True,(179; 3; 38),281
167,167.0,1.0,20.0,True,True,(179; 3; 38),281
168,168.0,1.0,20.0,True,True,(179; 3; 38),281
169,169.0,1.0,20.0,True,True,(179; 3; 38),281
170,170.0,1.0,20.0,True,True,(179; 3; 38),281
171,171.0,1.0,20.0,True,True,(179; 3; 38),281
172,172.0,1.0,20.0,True,True,(179; 3; 38),281
173,173.0,1.0,20.0,True,True,(179; 3; 38),281
174,174.0,1.0,20.0,True,True,(179; 3; 38),281
175,175.0,1.0,20.0,True,True,(179; 3; 38),281
176,176.0,1.0,20.0,True,True,(179; 3; 38),281
177,177.0,1.0,20.0,True,True,(179; 3; 38),281
178,178.0,1.0,20.0,True,True,(179; 3; 38),281
179,179.0,1.0,20.0,True,True,(179; 3; 38),281
180,180.0,1.0,20.0,True,True,(179; 3; 38),281
181,181.0,1.0,20.0,True,True,(179; 3; 38),281
182,182.0,1.0,20.0,True,True,(179; 3; 38),281
183,183.0,1.0,20.0,True,True,(179; 3; 38),281
184,184.0,1.0,20.0,True,True,(179; 3; 38),281
185,185.0,1.0,20.0,True,True,(179; 3; 38),281
186,186.0,1.0,20.0,True,True,(179; 3; 38),281
187,187.0,1.0,20.0,True,True,(179; 3; 38),281
188,188.0,1.0,20.0,True,True,(179; 3; 38),281
189,189.0,1.0,20.0,True,True,(179; 3; 38),281
190,190.0,1.0,20.0,True,True,(179; 3; 38),281
191,191.0,1.0,20.0,True,True,(179; 3; 38),281
192,192.0,1.0,20.0,True,True,(179; 3; 38),281
193,193.0,1.0,20.0,True,True,(179; 3; 38),281
194,194.0,1.0,20.0,True,True,(179; 3; 38),281
195,195.0,1.0,20.0,True,True,(179; 3; 38),281
196,196.0,1.0,20.0,True,True,(179; 3; 38),281
197,197.0,1.0,20.0,True,True,(179; 3; 38),281
198,198.0,1.0,20.0,True,True,(179; 3; 38),281
199,199.0,1.0,20.0,True,True,(179; 3; 38),281
200,200.0,1.0,20.0,True,True,(179; 3; 38),281
201,201.0,1.0,20.0,True,True,(179; 3; 38),281
202,202.0,1.0,20.0,True,True,(179; 3; 38),281
203,203.0,1.0,20.0,True,True,(179; 3; 38),281
204,204.0,1.0,20.0,True,True,(179; 3; 38),281
205,205.0,1.0,20.0,True,True,(179; 3; 38),281
206,206.0,1.0,20.0,True,True,(179; 3; 38),281
207,207.0,1.0,20.0,True,True,(179; 3; 38),281
208,208.0,1.0,20.0,True,True,(179; 3; 38),281
209,209.0,1.0,20.0,True,True,(179; 3; 38),281
210,210.0,1.0,20.0,True,True,(179; 3; 38),281
211,211.0,1.0,20.0,True,True,(179; 3; 38),281
212,212.0,1.0,20.0,True,True,(179; 3; 38),281
213,213.0,1.0,20.0,True,True,(179; 3; 38),281
214,214.0,1.0,20.0,True,True,(179; 3; 38),281
