,minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0,0.0,0.0,18.0,False,False,(58; 76; 192),1066
1,1.0,0.0,18.0,False,False,(58; 76; 192),1066
2,2.0,0.0,18.0,False,False,(58; 76; 192),1066
3,3.0,0.0,18.0,False,False,(58; 76; 192),1066
4,4.0,0.0,18.0,False,False,(58; 76; 192),1066
5,5.0,0.0,18.0,False,False,(58; 76; 192),1066
6,6.0,0.0,18.0,False,False,(58; 76; 192),1066
7,7.0,0.0,18.0,False,False,(58; 76; 192),1066
8,8.0,0.0,18.0,False,False,(58; 76; 192),1066
9,9.0,0.0,18.0,False,False,(58; 76; 192),1066
10,10.0,0.0,18.0,False,False,(58; 76; 192),1066
11,11.0,0.0,18.0,False,False,(58; 76; 192),1066
12,12.0,0.0,18.0,False,False,(58; 76; 192),1066
13,13.0,0.0,18.0,False,False,(58; 76; 192),1066
14,14.0,0.0,18.0,False,False,(58; 76; 192),1066
15,15.0,0.0,18.0,False,False,(58; 76; 192),1066
16,16.0,0.0,18.0,False,False,(58; 76; 192),1066
17,17.0,0.0,18.0,False,False,(58; 76; 192),1066
18,18.0,0.0,18.0,False,False,(58; 76; 192),1066
19,19.0,0.0,18.0,False,False,(58; 76; 192),1066
20,20.0,0.0,18.0,False,False,(58; 76; 192),1066
21,21.0,0.0,18.0,False,False,(58; 76; 192),1066
22,22.0,0.0,18.0,False,False,(58; 76; 192),1066
23,23.0,0.0,18.0,False,False,(58; 76; 192),1066
24,24.0,0.0,18.0,False,False,(58; 76; 192),1066
25,25.0,0.0,18.0,False,False,(58; 76; 192),1066
26,26.0,0.0,18.0,False,False,(58; 76; 192),1066
27,27.0,0.0,18.0,False,False,(58; 76; 192),1066
28,28.0,0.0,18.0,False,False,(58; 76; 192),1066
29,29.0,0.0,18.0,False,False,(58; 76; 192),1066
30,30.0,0.0,18.0,False,False,(58; 76; 192),1066
31,31.0,0.0,18.0,False,False,(58; 76; 192),1066
32,32.0,0.0,18.0,False,False,(58; 76; 192),1066
33,33.0,0.0,18.0,False,False,(58; 76; 192),1066
34,34.0,0.0,18.0,False,False,(58; 76; 192),1066
35,35.0,0.0,18.0,False,False,(58; 76; 192),1066
36,36.0,0.0,18.0,False,False,(58; 76; 192),1066
37,37.0,0.0,18.0,False,False,(58; 76; 192),1066
38,38.0,0.0,18.0,False,False,(58; 76; 192),1066
39,39.0,0.0,18.0,False,False,(58; 76; 192),1066
40,40.0,0.0,18.0,False,False,(58; 76; 192),1066
41,41.0,0.0,18.0,False,False,(58; 76; 192),1066
42,42.0,0.0,18.0,False,False,(58; 76; 192),1066
43,43.0,0.0,18.0,False,False,(58; 76; 192),1066
44,44.0,0.0,18.0,False,False,(58; 76; 192),1066
45,45.0,0.0,18.0,False,False,(58; 76; 192),1066
46,46.0,0.0,18.0,False,False,(58; 76; 192),1066
47,47.0,0.0,18.0,False,False,(58; 76; 192),1066
48,48.0,0.0,18.0,False,False,(58; 76; 192),1066
49,49.0,0.0,18.0,False,False,(58; 76; 192),1066
50,50.0,0.0,18.0,False,False,(58; 76; 192),1066
51,51.0,0.0,18.0,False,False,(58; 76; 192),1066
52,52.0,0.0,18.0,False,False,(58; 76; 192),1066
53,53.0,0.0,18.0,False,False,(58; 76; 192),1066
54,54.0,0.0,18.0,False,False,(58; 76; 192),1066
55,55.0,0.0,18.0,False,False,(58; 76; 192),1066
56,56.0,0.0,18.0,False,False,(58; 76; 192),1066
57,57.0,0.0,18.0,False,False,(58; 76; 192),1066
58,58.0,0.0,18.0,False,False,(58; 76; 192),1066
59,59.0,0.0,18.0,False,False,(58; 76; 192),1066
60,60.0,0.0,18.0,False,False,(58; 76; 192),1066
61,61.0,0.0,18.0,False,False,(58; 76; 192),1066
62,62.0,0.0,18.0,False,False,(58; 76; 192),1066
63,63.0,0.0,18.0,False,False,(58; 76; 192),1066
64,64.0,0.0,18.0,False,False,(58; 76; 192),1066
65,65.0,0.0,18.0,False,False,(58; 76; 192),1066
66,66.0,0.0,18.0,False,False,(58; 76; 192),1066
67,67.0,0.0,18.0,False,False,(58; 76; 192),1066
68,68.0,0.0,18.0,False,False,(58; 76; 192),1066
69,69.0,0.0,18.0,False,False,(58; 76; 192),1066
70,70.0,0.0,18.0,False,False,(58; 76; 192),1066
71,71.0,0.0,18.0,False,False,(58; 76; 192),1066
72,72.0,0.0,18.0,False,False,(58; 76; 192),1066
73,73.0,0.0,18.0,False,False,(58; 76; 192),1066
74,74.0,0.0,18.0,False,False,(58; 76; 192),1066
75,75.0,0.0,18.0,False,False,(58; 76; 192),1066
76,76.0,0.0,18.0,False,False,(58; 76; 192),1066
77,77.0,0.0,18.0,False,False,(58; 76; 192),1066
78,78.0,0.0,18.0,False,False,(58; 76; 192),1066
79,79.0,0.0,18.0,False,False,(58; 76; 192),1066
80,80.0,0.0,18.0,False,False,(58; 76; 192),1066
81,81.0,0.0,18.0,False,False,(58; 76; 192),1066
82,82.0,0.0,18.0,False,False,(58; 76; 192),1066
83,83.0,0.0,18.0,False,False,(58; 76; 192),1066
84,84.0,0.0,18.0,False,False,(58; 76; 192),1066
85,85.0,0.0,18.0,False,False,(58; 76; 192),1066
86,86.0,0.0,18.0,False,False,(58; 76; 192),1066
87,87.0,0.0,18.0,False,False,(58; 76; 192),1066
88,88.0,0.0,18.0,False,False,(58; 76; 192),1066
89,89.0,0.0,18.0,False,False,(58; 76; 192),1066
90,90.0,0.0,18.0,False,False,(58; 76; 192),1066
91,91.0,0.0,18.0,False,False,(58; 76; 192),1066
92,92.0,0.0,18.0,False,False,(58; 76; 192),1066
93,93.0,0.0,18.0,False,False,(58; 76; 192),1066
94,94.0,0.0,18.0,False,False,(58; 76; 192),1066
95,95.0,0.0,18.0,False,False,(58; 76; 192),1066
96,96.0,0.0,18.0,False,False,(58; 76; 192),1066
97,97.0,0.0,18.0,False,False,(58; 76; 192),1066
98,98.0,0.0,18.0,False,False,(58; 76; 192),1066
99,99.0,0.0,18.0,False,False,(58; 76; 192),1066
100,100.0,0.0,18.0,False,False,(58; 76; 192),1066
101,101.0,0.0,18.0,False,False,(58; 76; 192),1066
102,102.0,0.0,18.0,False,False,(58; 76; 192),1066
103,103.0,0.0,18.0,False,False,(58; 76; 192),1066
104,104.0,0.0,18.0,False,False,(58; 76; 192),1066
105,105.0,0.0,18.0,False,False,(58; 76; 192),1066
106,106.0,0.0,18.0,False,False,(58; 76; 192),1066
107,107.0,0.0,18.0,False,False,(58; 76; 192),1066
108,108.0,0.0,18.0,False,False,(58; 76; 192),1066
109,109.0,0.0,18.0,False,False,(58; 76; 192),1066
110,110.0,0.0,18.0,False,False,(58; 76; 192),1066
111,111.0,0.0,18.0,False,False,(58; 76; 192),1066
112,112.0,0.0,18.0,False,False,(58; 76; 192),1066
113,113.0,0.0,18.0,False,False,(58; 76; 192),1066
114,114.0,0.0,18.0,False,False,(58; 76; 192),1066
115,115.0,0.0,18.0,False,False,(58; 76; 192),1066
116,116.0,0.0,18.0,False,False,(58; 76; 192),1066
117,117.0,0.0,18.0,False,False,(58; 76; 192),1066
118,118.0,0.0,18.0,False,False,(58; 76; 192),1066
119,119.0,0.0,18.0,False,False,(58; 76; 192),1066
120,120.0,0.0,18.0,False,False,(58; 76; 192),1066
121,121.0,0.0,18.0,False,False,(58; 76; 192),1066
122,122.0,0.0,18.0,False,False,(58; 76; 192),1066
123,123.0,0.0,18.0,False,False,(58; 76; 192),1066
124,124.0,0.0,18.0,False,False,(58; 76; 192),1066
125,125.0,0.0,18.0,False,False,(58; 76; 192),1066
126,126.0,0.0,18.0,False,False,(58; 76; 192),1066
127,127.0,0.0,18.0,False,False,(58; 76; 192),1066
128,128.0,0.0,18.0,False,False,(58; 76; 192),1066
129,129.0,0.0,18.0,False,False,(58; 76; 192),1066
130,130.0,0.0,18.0,False,False,(58; 76; 192),1066
131,131.0,0.0,18.0,False,False,(58; 76; 192),1066
132,132.0,0.0,18.0,False,False,(58; 76; 192),1066
