,minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0,0.0,0.0,18.0,False,False,(58; 76; 192),853
1,1.0,0.0,18.0,False,False,(58; 76; 192),853
2,2.0,0.0,18.0,False,False,(58; 76; 192),853
3,3.0,0.0,18.0,False,False,(58; 76; 192),853
4,4.0,0.0,18.0,False,False,(58; 76; 192),853
5,5.0,0.0,18.0,False,False,(58; 76; 192),853
6,6.0,0.0,18.0,False,False,(58; 76; 192),853
7,7.0,0.0,18.0,False,False,(58; 76; 192),853
8,8.0,0.0,18.0,False,False,(58; 76; 192),853
9,9.0,0.0,18.0,False,False,(58; 76; 192),853
10,10.0,0.0,18.0,False,False,(58; 76; 192),853
11,11.0,0.0,18.0,False,False,(58; 76; 192),853
12,12.0,0.0,18.0,False,False,(58; 76; 192),853
13,13.0,0.0,18.0,False,False,(58; 76; 192),853
14,14.0,0.0,18.0,False,False,(58; 76; 192),853
15,15.0,0.0,18.0,False,False,(58; 76; 192),853
16,16.0,0.0,18.0,False,False,(58; 76; 192),853
17,17.0,0.0,18.0,False,False,(58; 76; 192),853
18,18.0,0.0,18.0,False,False,(58; 76; 192),853
19,19.0,0.0,18.0,False,False,(58; 76; 192),853
20,20.0,0.0,18.0,False,False,(58; 76; 192),853
21,21.0,0.0,18.0,False,False,(58; 76; 192),853
22,22.0,0.0,18.0,False,False,(58; 76; 192),853
23,23.0,0.0,18.0,False,False,(58; 76; 192),853
24,24.0,0.0,18.0,False,False,(58; 76; 192),853
25,25.0,0.0,18.0,False,False,(58; 76; 192),853
26,26.0,0.0,18.0,False,False,(58; 76; 192),853
27,27.0,0.0,18.0,False,False,(58; 76; 192),853
28,28.0,0.0,18.0,False,False,(58; 76; 192),853
29,29.0,0.0,18.0,False,False,(58; 76; 192),853
30,30.0,0.0,18.0,False,False,(58; 76; 192),853
31,31.0,0.0,18.0,False,False,(58; 76; 192),853
32,32.0,0.0,18.0,False,False,(58; 76; 192),853
33,33.0,0.0,18.0,False,False,(58; 76; 192),853
34,34.0,0.0,18.0,False,False,(58; 76; 192),853
35,35.0,0.0,18.0,False,False,(58; 76; 192),853
36,36.0,0.0,18.0,False,False,(58; 76; 192),853
37,37.0,0.0,18.0,False,False,(58; 76; 192),853
38,38.0,0.0,18.0,False,False,(58; 76; 192),853
39,39.0,0.0,18.0,False,False,(58; 76; 192),853
40,40.0,0.0,18.0,False,False,(58; 76; 192),853
41,41.0,0.0,18.0,False,False,(58; 76; 192),853
42,42.0,0.0,18.0,False,False,(58; 76; 192),853
43,43.0,0.0,18.0,False,False,(58; 76; 192),853
44,44.0,0.0,18.0,False,False,(58; 76; 192),853
45,45.0,0.0,18.0,False,False,(58; 76; 192),853
46,46.0,0.0,18.0,False,False,(58; 76; 192),853
47,47.0,0.0,18.0,False,False,(58; 76; 192),853
48,48.0,0.0,18.0,False,False,(58; 76; 192),853
49,49.0,0.0,18.0,False,False,(58; 76; 192),853
50,50.0,0.0,18.0,False,False,(58; 76; 192),853
51,51.0,0.0,18.0,False,False,(58; 76; 192),853
52,52.0,0.0,18.0,False,False,(58; 76; 192),853
53,53.0,0.0,18.0,False,False,(58; 76; 192),853
54,54.0,0.0,18.0,False,False,(58; 76; 192),853
55,55.0,0.0,18.0,False,False,(58; 76; 192),853
56,56.0,0.0,18.0,False,False,(58; 76; 192),853
57,57.0,0.0,18.0,False,False,(58; 76; 192),853
58,58.0,0.0,18.0,False,False,(58; 76; 192),853
59,59.0,0.0,18.0,False,False,(58; 76; 192),853
60,60.0,0.0,18.0,False,False,(58; 76; 192),853
61,61.0,0.0,18.0,False,False,(58; 76; 192),853
62,62.0,0.0,18.0,False,False,(58; 76; 192),853
63,63.0,0.0,18.0,False,False,(58; 76; 192),853
64,64.0,0.0,18.0,False,False,(58; 76; 192),853
65,65.0,0.0,18.0,False,False,(58; 76; 192),853
66,66.0,0.0,18.0,False,False,(58; 76; 192),853
67,67.0,0.0,18.0,False,False,(58; 76; 192),853
68,68.0,0.0,18.0,False,False,(58; 76; 192),853
69,69.0,0.0,18.0,False,False,(58; 76; 192),853
70,70.0,0.0,18.0,False,False,(58; 76; 192),853
71,71.0,0.0,18.0,False,False,(58; 76; 192),853
72,72.0,0.0,18.0,False,False,(58; 76; 192),853
73,73.0,0.0,18.0,False,False,(58; 76; 192),853
74,74.0,0.0,18.0,False,False,(58; 76; 192),853
75,75.0,0.0,18.0,False,False,(58; 76; 192),853
76,76.0,0.0,18.0,False,False,(58; 76; 192),853
77,77.0,0.0,18.0,False,False,(58; 76; 192),853
78,78.0,0.0,18.0,False,False,(58; 76; 192),853
79,79.0,0.0,18.0,False,False,(58; 76; 192),853
80,80.0,0.0,18.0,False,False,(58; 76; 192),853
81,81.0,0.0,18.0,False,False,(58; 76; 192),853
82,82.0,0.0,18.0,False,False,(58; 76; 192),853
83,83.0,0.0,18.0,False,False,(58; 76; 192),853
84,84.0,0.0,18.0,False,False,(58; 76; 192),853
85,85.0,0.0,18.0,False,False,(58; 76; 192),853
86,86.0,0.0,18.0,False,False,(58; 76; 192),853
87,87.0,0.0,18.0,False,False,(58; 76; 192),853
88,88.0,0.0,18.0,False,False,(58; 76; 192),853
89,89.0,0.0,18.0,False,False,(58; 76; 192),853
90,90.0,0.0,18.0,False,False,(58; 76; 192),853
91,91.0,0.0,18.0,False,False,(58; 76; 192),853
92,92.0,0.0,18.0,False,False,(58; 76; 192),853
93,93.0,0.0,18.0,False,False,(58; 76; 192),853
94,94.0,0.0,18.0,False,False,(58; 76; 192),853
95,95.0,0.0,18.0,False,False,(58; 76; 192),853
96,96.0,0.0,18.0,False,False,(58; 76; 192),853
97,97.0,0.0,18.0,False,False,(58; 76; 192),853
98,98.0,0.0,18.0,False,False,(58; 76; 192),853
99,99.0,0.0,18.0,False,False,(58; 76; 192),853
100,100.0,0.0,18.0,False,False,(58; 76; 192),853
101,101.0,0.0,18.0,False,False,(58; 76; 192),853
102,102.0,0.0,18.0,False,False,(58; 76; 192),853
103,103.0,0.0,18.0,False,False,(58; 76; 192),853
104,104.0,0.0,18.0,False,False,(58; 76; 192),853
105,105.0,0.0,18.0,False,False,(58; 76; 192),853
106,106.0,0.0,18.0,False,False,(58; 76; 192),853
107,107.0,0.0,18.0,False,False,(58; 76; 192),853
108,108.0,0.0,18.0,False,False,(58; 76; 192),853
109,109.0,0.0,18.0,False,False,(58; 76; 192),853
110,110.0,0.0,18.0,False,False,(58; 76; 192),853
111,111.0,0.0,18.0,False,False,(58; 76; 192),853
112,112.0,0.0,18.0,False,False,(58; 76; 192),853
113,113.0,0.0,18.0,False,False,(58; 76; 192),853
114,114.0,0.0,18.0,False,False,(58; 76; 192),853
115,115.0,0.0,18.0,False,False,(58; 76; 192),853
