,day,hour,minute,room_actual,minute_idx
0,216,8,20,Übergang,620
1,216,8,22,5C-02.2,622
2,216,11,4,5C-02.2,784
3,216,12,3,Küche 5. OG,843
4,216,12,42,5C-02.2,882
5,216,14,22,Flur 4. OG Übergang,982
6,216,15,41,5C-02.2,1061
7,216,16,19,5C-02.2,1099
8,216,16,46,Flur 4. OG Übergang,1126
9,216,17,40,Übergang,1180
10,217,8,10,Übergang,1210
11,217,8,32,5C-02.2,1232
12,217,11,30,5C-02.2,1410
13,217,13,13,5C-01.1,1513
14,217,13,52,5C-02.2,1552
15,217,14,43,4C-05,1603
16,217,15,30,5C-02.2,1650
17,217,16,22,4C-05,1702
18,217,17,37,Übergang,1777
19,218,8,29,Übergang,1829
20,218,8,31,5C-02.2,1831
21,218,8,58,5C-01.1,1858
22,218,10,26,5C-01.1,1946
23,218,12,5,Küche 5. OG,2045
24,218,12,43,5C-02.2,2083
25,218,14,1,5C-02.2,2161
26,218,17,18,Übergang,2358
