,minute_idx,start,ziel
0,0,Übergang,Übergang
1,625,Übergang,Übergang
2,627,4C-10,4C-10
3,695,4C-10,4C-10
4,825,4C-10,4C-10
5,852,Küche 5. OG,Küche 5. OG
6,891,4C-10,4C-10
7,1022,4C-10,4C-10
8,1066,4C-05,4C-05
9,1114,4C-10,4C-10
10,1143,Übergang,Übergang
11,1216,Übergang,Übergang
12,1217,4C-10,4C-10
13,1343,4C-10,4C-10
14,1402,4C-10,4C-10
15,1445,Küche 5. OG,Küche 5. OG
16,1514,5C-01.1,5C-01.1
17,1533,4C-10,4C-10
18,1557,4C-10,4C-10
19,1683,4C-10,4C-10
20,1731,4C-05,4C-05
21,1778,Übergang,Übergang
22,1810,Übergang,Übergang
23,1811,4C-10,4C-10
24,1858,5C-01.1,5C-01.1
25,1949,5C-01.1,5C-01.1
26,2028,4C-10,4C-10
27,2048,Küche 5. OG,Küche 5. OG
28,2080,4C-10,4C-10
29,2111,4C-10,4C-10
30,2249,4C-10,4C-10
31,2313,5C-01.1,5C-01.1
32,2376,Übergang,Übergang
