person,x_MAE,x_MSE,x_RMSE,y_MAE,y_MSE,y_RMSE,z_MAE,z_MSE,z_RMSE,accuracy
Locations_00,0.440210432,0.317746669,0.563690224,1.262656569,13.22382545,0.563690224,3.231703997,50.42058945,0.563690224,72
Locations_01,0.839245379,4.725336075,2.173783815,0.49901402,4.97431612,2.173783815,1.398633242,15.30497456,2.173783815,88.63636364
Locations_02,0.812048793,4.341765881,2.083690447,1.685673475,17.62273598,2.083690447,1.864992857,26.67243195,2.083690447,80
Locations_03,2.401985884,40.32471466,6.35017438,2.455375195,25.72153091,6.35017438,2.772496939,38.33182144,6.35017438,73.33333333
Locations_04,3.924345016,109.9798279,10.48712677,0.894474983,9.241591454,10.48712677,2.729973555,42.60174179,10.48712677,75
Locations_05,0.173141897,0.054246787,0.232909397,0.081381552,0.116025083,0.232909397,2.777581453,40.77941895,0.232909397,84
Locations_06,4.459186077,105.6845856,10.28030085,0.752132952,7.857097149,10.28030085,2.943952322,42.24636459,10.28030085,75
Locations_07,0.228844032,0.149619177,0.386806382,0.61970377,6.479387283,0.386806382,1.819574475,16.82813072,0.386806382,88.23529412
Locations_08,0.413325995,0.319064438,0.564857892,0.846732497,8.810413361,0.564857892,1.132140756,24.33806419,0.564857892,88
Locations_09,0.8236233,5.619307995,2.370507961,0.050787032,0.005220845,2.370507961,1.208222151,4.73877573,2.370507961,85
Locations_10,0.774933398,4.874452591,2.207816249,0.030734446,0.00179045,2.207816249,1.982529759,25.98803711,2.207816249,90.24390244
Locations_11,0.574774325,0.668997049,0.817922398,0.447980285,4.57551527,0.817922398,0.33720994,1.127206922,0.817922398,95.83333333
Locations_12,0.128539741,0.031959161,0.178771254,0.020246334,0.001648571,0.178771254,5.217810154,135.3435974,0.178771254,80
Locations_13,3.513040543,112.5643997,10.60963712,0.449023485,4.601783752,10.60963712,1.754662871,18.60923386,10.60963712,85.41666667
Locations_14,0.673552573,1.712544799,1.308642349,0.648657084,6.463071346,1.308642349,6.741948605,148.344696,1.308642349,64.70588235
Locations_15,1.483501554,21.18281746,4.60247949,1.201050639,12.52118492,4.60247949,4.323785305,94.02443695,4.60247949,79.54545455
Locations_16,0.202206209,0.064752154,0.254464446,2.005879164,20.91332245,0.254464446,1.323326945,12.41204357,0.254464446,80.95238095
Locations_17,0.057252303,0.004857822,0.069698073,0.025788154,0.000879701,0.029659757,4.298092365,53.18152618,7.292566299,72.22
Locations_18,0.281608909,0.202831715,0.450368422,0.035839181,0.003807716,0.450368422,3.21089983,82.55125427,0.450368422,88.46153846
Locations_19,1.582170248,68.6411438,8.2849951,1.769462109,18.28404617,8.2849951,4.352511883,80.83135986,8.2849951,75
Locations_20,0.373642623,0.367036492,0.605835367,1.214195371,12.71293163,0.605835367,0.779238164,2.667252541,0.605835367,88.46153846
