minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0.0,0.0,18.0,False,False,(58; 76; 192),702
1.0,0.0,18.0,False,False,(58; 76; 192),702
2.0,0.0,18.0,False,False,(58; 76; 192),702
3.0,0.0,18.0,False,False,(58; 76; 192),702
4.0,0.0,18.0,False,False,(58; 76; 192),702
5.0,0.0,18.0,False,False,(58; 76; 192),702
6.0,0.0,18.0,False,False,(58; 76; 192),702
7.0,0.0,18.0,False,False,(58; 76; 192),702
8.0,0.0,18.0,False,False,(58; 76; 192),702
9.0,0.0,18.0,False,False,(58; 76; 192),702
10.0,0.0,18.0,False,False,(58; 76; 192),702
11.0,0.0,18.0,False,False,(58; 76; 192),702
12.0,0.0,18.0,False,False,(58; 76; 192),702
13.0,0.0,18.0,False,False,(58; 76; 192),702
14.0,0.0,18.0,False,False,(58; 76; 192),702
15.0,0.0,18.0,False,False,(58; 76; 192),702
16.0,0.0,18.0,False,False,(58; 76; 192),702
17.0,0.0,18.0,False,False,(58; 76; 192),702
18.0,0.0,18.0,False,False,(58; 76; 192),702
19.0,0.0,18.0,False,False,(58; 76; 192),702
20.0,0.0,18.0,False,False,(58; 76; 192),702
21.0,0.0,18.0,False,False,(58; 76; 192),702
22.0,0.0,18.0,False,False,(58; 76; 192),702
23.0,0.0,18.0,False,False,(58; 76; 192),702
24.0,0.0,18.0,False,False,(58; 76; 192),702
25.0,0.0,18.0,False,False,(58; 76; 192),702
26.0,0.0,18.0,False,False,(58; 76; 192),702
27.0,0.0,18.0,False,False,(58; 76; 192),702
28.0,0.0,18.0,False,False,(58; 76; 192),702
29.0,0.0,18.0,False,False,(58; 76; 192),702
30.0,0.0,18.0,False,False,(58; 76; 192),702
31.0,0.0,18.0,False,False,(58; 76; 192),702
32.0,0.0,18.0,False,False,(58; 76; 192),702
33.0,0.0,18.0,False,False,(58; 76; 192),702
34.0,0.0,18.0,False,False,(58; 76; 192),702
35.0,0.0,18.0,False,False,(58; 76; 192),702
36.0,0.0,18.0,False,False,(58; 76; 192),702
37.0,0.0,18.0,False,False,(58; 76; 192),702
38.0,0.0,18.0,False,False,(58; 76; 192),702
