minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0.0,0.0,18.0,False,False,(58; 76; 192),808
1.0,0.0,18.0,False,False,(58; 76; 192),808
2.0,0.0,18.0,False,False,(58; 76; 192),808
3.0,0.0,18.0,False,False,(58; 76; 192),808
4.0,0.0,18.0,False,False,(58; 76; 192),808
5.0,0.0,18.0,False,False,(58; 76; 192),808
6.0,0.0,18.0,False,False,(58; 76; 192),808
7.0,0.0,18.0,False,False,(58; 76; 192),808
8.0,0.0,18.0,False,False,(58; 76; 192),808
9.0,0.0,18.0,False,False,(58; 76; 192),808
10.0,0.0,18.0,False,False,(58; 76; 192),808
11.0,0.0,18.0,False,False,(58; 76; 192),808
12.0,0.0,18.0,False,False,(58; 76; 192),808
13.0,0.0,18.0,False,False,(58; 76; 192),808
14.0,0.0,18.0,False,False,(58; 76; 192),808
15.0,0.0,18.0,False,False,(58; 76; 192),808
16.0,0.0,18.0,False,False,(58; 76; 192),808
17.0,0.0,18.0,False,False,(58; 76; 192),808
18.0,0.0,18.0,False,False,(58; 76; 192),808
19.0,0.0,18.0,False,False,(58; 76; 192),808
20.0,0.0,18.0,False,False,(58; 76; 192),808
21.0,0.0,18.0,False,False,(58; 76; 192),808
22.0,0.0,18.0,False,False,(58; 76; 192),808
23.0,0.0,18.0,False,False,(58; 76; 192),808
24.0,0.0,18.0,False,False,(58; 76; 192),808
25.0,0.0,18.0,False,False,(58; 76; 192),808
26.0,0.0,18.0,False,False,(58; 76; 192),808
27.0,0.0,18.0,False,False,(58; 76; 192),808
28.0,0.0,18.0,False,False,(58; 76; 192),808
29.0,0.0,18.0,False,False,(58; 76; 192),808
30.0,0.0,18.0,False,False,(58; 76; 192),808
31.0,0.0,18.0,False,False,(58; 76; 192),808
32.0,0.0,18.0,False,False,(58; 76; 192),808
33.0,0.0,18.0,False,False,(58; 76; 192),808
34.0,0.0,18.0,False,False,(58; 76; 192),808
35.0,0.0,18.0,False,False,(58; 76; 192),808
36.0,0.0,18.0,False,False,(58; 76; 192),808
37.0,0.0,18.0,False,False,(58; 76; 192),808
38.0,0.0,18.0,False,False,(58; 76; 192),808
39.0,0.0,18.0,False,False,(58; 76; 192),808
40.0,0.0,18.0,False,False,(58; 76; 192),808
41.0,0.0,18.0,False,False,(58; 76; 192),808
42.0,0.0,18.0,False,False,(58; 76; 192),808
43.0,0.0,18.0,False,False,(58; 76; 192),808
44.0,0.0,18.0,False,False,(58; 76; 192),808
45.0,0.0,18.0,False,False,(58; 76; 192),808
46.0,0.0,18.0,False,False,(58; 76; 192),808
47.0,0.0,18.0,False,False,(58; 76; 192),808
48.0,0.0,18.0,False,False,(58; 76; 192),808
49.0,0.0,18.0,False,False,(58; 76; 192),808
50.0,0.0,18.0,False,False,(58; 76; 192),808
51.0,0.0,18.0,False,False,(58; 76; 192),808
52.0,0.0,18.0,False,False,(58; 76; 192),808
53.0,0.0,18.0,False,False,(58; 76; 192),808
54.0,0.0,18.0,False,False,(58; 76; 192),808
55.0,0.0,18.0,False,False,(58; 76; 192),808
56.0,0.0,18.0,False,False,(58; 76; 192),808
57.0,0.0,18.0,False,False,(58; 76; 192),808
58.0,0.0,18.0,False,False,(58; 76; 192),808
59.0,0.0,18.0,False,False,(58; 76; 192),808
60.0,0.0,18.0,False,False,(58; 76; 192),808
61.0,0.0,18.0,False,False,(58; 76; 192),808
62.0,0.0,18.0,False,False,(58; 76; 192),808
63.0,0.0,18.0,False,False,(58; 76; 192),808
64.0,0.0,18.0,False,False,(58; 76; 192),808
65.0,0.0,18.0,False,False,(58; 76; 192),808
66.0,0.0,18.0,False,False,(58; 76; 192),808
67.0,0.0,18.0,False,False,(58; 76; 192),808
68.0,0.0,18.0,False,False,(58; 76; 192),808
69.0,0.0,18.0,False,False,(58; 76; 192),808
70.0,0.0,18.0,False,False,(58; 76; 192),808
71.0,0.0,18.0,False,False,(58; 76; 192),808
72.0,0.0,18.0,False,False,(58; 76; 192),808
73.0,0.0,18.0,False,False,(58; 76; 192),808
74.0,0.0,18.0,False,False,(58; 76; 192),808
75.0,0.0,18.0,False,False,(58; 76; 192),808
76.0,0.0,18.0,False,False,(58; 76; 192),808
77.0,0.0,18.0,False,False,(58; 76; 192),808
78.0,0.0,18.0,False,False,(58; 76; 192),808
79.0,0.0,18.0,False,False,(58; 76; 192),808
80.0,0.0,18.0,False,False,(58; 76; 192),808
81.0,0.0,18.0,False,False,(58; 76; 192),808
82.0,0.0,18.0,False,False,(58; 76; 192),808
83.0,0.0,18.0,False,False,(58; 76; 192),808
84.0,0.0,18.0,False,False,(58; 76; 192),808
85.0,0.0,18.0,False,False,(58; 76; 192),808
86.0,0.0,18.0,False,False,(58; 76; 192),808
87.0,0.0,18.0,False,False,(58; 76; 192),808
88.0,0.0,18.0,False,False,(58; 76; 192),808
89.0,0.0,18.0,False,False,(58; 76; 192),808
90.0,0.0,18.0,False,False,(58; 76; 192),808
91.0,0.0,18.0,False,False,(58; 76; 192),808
92.0,0.0,18.0,False,False,(58; 76; 192),808
93.0,0.0,18.0,False,False,(58; 76; 192),808
94.0,0.0,18.0,False,False,(58; 76; 192),808
95.0,0.0,18.0,False,False,(58; 76; 192),808
96.0,0.0,18.0,False,False,(58; 76; 192),808
97.0,0.0,18.0,False,False,(58; 76; 192),808
98.0,0.0,18.0,False,False,(58; 76; 192),808
99.0,0.0,18.0,False,False,(58; 76; 192),808
100.0,0.0,18.0,False,False,(58; 76; 192),808
101.0,0.0,18.0,False,False,(58; 76; 192),808
102.0,0.0,18.0,False,False,(58; 76; 192),808
103.0,0.0,18.0,False,False,(58; 76; 192),808
104.0,0.0,18.0,False,False,(58; 76; 192),808
105.0,0.0,18.0,False,False,(58; 76; 192),808
106.0,0.0,18.0,False,False,(58; 76; 192),808
107.0,0.0,18.0,False,False,(58; 76; 192),808
108.0,0.0,18.0,False,False,(58; 76; 192),808
109.0,0.0,18.0,False,False,(58; 76; 192),808
110.0,0.0,18.0,False,False,(58; 76; 192),808
111.0,0.0,18.0,False,False,(58; 76; 192),808
112.0,0.0,18.0,False,False,(58; 76; 192),808
113.0,0.0,18.0,False,False,(58; 76; 192),808
114.0,0.0,18.0,False,False,(58; 76; 192),808
115.0,0.0,18.0,False,False,(58; 76; 192),808
116.0,0.0,18.0,False,False,(58; 76; 192),808
117.0,0.0,18.0,False,False,(58; 76; 192),808
118.0,0.0,18.0,False,False,(58; 76; 192),808
119.0,0.0,18.0,False,False,(58; 76; 192),808
120.0,0.0,18.0,False,False,(58; 76; 192),808
121.0,0.0,18.0,False,False,(58; 76; 192),808
122.0,0.0,18.0,False,False,(58; 76; 192),808
123.0,0.0,18.0,False,False,(58; 76; 192),808
124.0,0.0,18.0,False,False,(58; 76; 192),808
125.0,0.0,18.0,False,False,(58; 76; 192),808
126.0,0.0,18.0,False,False,(58; 76; 192),808
127.0,0.0,18.0,False,False,(58; 76; 192),808
128.0,0.0,18.0,False,False,(58; 76; 192),808
129.0,0.0,18.0,False,False,(58; 76; 192),808
130.0,0.0,18.0,False,False,(58; 76; 192),808
131.0,0.0,18.0,False,False,(58; 76; 192),808
132.0,0.0,18.0,False,False,(58; 76; 192),808
133.0,0.0,18.0,False,False,(58; 76; 192),808
134.0,0.0,18.0,False,False,(58; 76; 192),808
135.0,0.0,18.0,False,False,(58; 76; 192),808
136.0,0.0,18.0,False,False,(58; 76; 192),808
137.0,0.0,18.0,False,False,(58; 76; 192),808
138.0,0.0,18.0,False,False,(58; 76; 192),808
139.0,0.0,18.0,False,False,(58; 76; 192),808
140.0,0.0,18.0,False,False,(58; 76; 192),808
141.0,0.0,18.0,False,False,(58; 76; 192),808
142.0,0.0,18.0,False,False,(58; 76; 192),808
143.0,0.0,18.0,False,False,(58; 76; 192),808
144.0,0.0,18.0,False,False,(58; 76; 192),808
145.0,0.0,18.0,False,False,(58; 76; 192),808
146.0,0.0,18.0,False,False,(58; 76; 192),808
147.0,0.0,18.0,False,False,(58; 76; 192),808
148.0,0.0,18.0,False,False,(58; 76; 192),808
149.0,0.0,18.0,False,False,(58; 76; 192),808
150.0,0.0,18.0,False,False,(58; 76; 192),808
151.0,0.0,18.0,False,False,(58; 76; 192),808
152.0,0.0,18.0,False,False,(58; 76; 192),808
153.0,0.0,18.0,False,False,(58; 76; 192),808
154.0,0.0,18.0,False,False,(58; 76; 192),808
155.0,0.0,18.0,False,False,(58; 76; 192),808
156.0,0.0,18.0,False,False,(58; 76; 192),808
157.0,0.0,18.0,False,False,(58; 76; 192),808
158.0,0.0,18.0,False,False,(58; 76; 192),808
159.0,0.0,18.0,False,False,(58; 76; 192),808
160.0,0.0,18.0,False,False,(58; 76; 192),808
161.0,0.0,18.0,False,False,(58; 76; 192),808
162.0,0.0,18.0,False,False,(58; 76; 192),808
163.0,0.0,18.0,False,False,(58; 76; 192),808
164.0,0.0,18.0,False,False,(58; 76; 192),808
165.0,0.0,18.0,False,False,(58; 76; 192),808
166.0,0.0,18.0,False,False,(58; 76; 192),808
167.0,0.0,18.0,False,False,(58; 76; 192),808
168.0,0.0,18.0,False,False,(58; 76; 192),808
169.0,0.0,18.0,False,False,(58; 76; 192),808
170.0,0.0,18.0,False,False,(58; 76; 192),808
171.0,0.0,18.0,False,False,(58; 76; 192),808
172.0,0.0,18.0,False,False,(58; 76; 192),808
173.0,0.0,18.0,False,False,(58; 76; 192),808
174.0,0.0,18.0,False,False,(58; 76; 192),808
175.0,0.0,18.0,False,False,(58; 76; 192),808
176.0,0.0,18.0,False,False,(58; 76; 192),808
177.0,0.0,18.0,False,False,(58; 76; 192),808
178.0,0.0,18.0,False,False,(58; 76; 192),808
179.0,0.0,18.0,False,False,(58; 76; 192),808
180.0,0.0,18.0,False,False,(58; 76; 192),808
181.0,0.0,18.0,False,False,(58; 76; 192),808
182.0,0.0,18.0,False,False,(58; 76; 192),808
183.0,0.0,18.0,False,False,(58; 76; 192),808
184.0,0.0,18.0,False,False,(58; 76; 192),808
185.0,0.0,18.0,False,False,(58; 76; 192),808
186.0,0.0,18.0,False,False,(58; 76; 192),808
187.0,0.0,18.0,False,False,(58; 76; 192),808
188.0,0.0,18.0,False,False,(58; 76; 192),808
189.0,0.0,18.0,False,False,(58; 76; 192),808
190.0,0.0,18.0,False,False,(58; 76; 192),808
191.0,0.0,18.0,False,False,(58; 76; 192),808
192.0,0.0,18.0,False,False,(58; 76; 192),808
193.0,0.0,18.0,False,False,(58; 76; 192),808
194.0,0.0,18.0,False,False,(58; 76; 192),808
195.0,0.0,18.0,False,False,(58; 76; 192),808
196.0,0.0,18.0,False,False,(58; 76; 192),808
197.0,0.0,18.0,False,False,(58; 76; 192),808
198.0,0.0,18.0,False,False,(58; 76; 192),808
199.0,0.0,18.0,False,False,(58; 76; 192),808
200.0,0.0,18.0,False,False,(58; 76; 192),808
201.0,0.0,18.0,False,False,(58; 76; 192),808
202.0,0.0,18.0,False,False,(58; 76; 192),808
203.0,0.0,18.0,False,False,(58; 76; 192),808
204.0,0.0,18.0,False,False,(58; 76; 192),808
205.0,0.0,18.0,False,False,(58; 76; 192),808
206.0,0.0,18.0,False,False,(58; 76; 192),808
207.0,0.0,18.0,False,False,(58; 76; 192),808
208.0,0.0,18.0,False,False,(58; 76; 192),808
209.0,0.0,18.0,False,False,(58; 76; 192),808
210.0,0.0,18.0,False,False,(58; 76; 192),808
211.0,0.0,18.0,False,False,(58; 76; 192),808
212.0,0.0,18.0,False,False,(58; 76; 192),808
213.0,0.0,18.0,False,False,(58; 76; 192),808
214.0,0.0,18.0,False,False,(58; 76; 192),808
215.0,0.0,18.0,False,False,(58; 76; 192),808
216.0,0.0,18.0,False,False,(58; 76; 192),808
217.0,0.0,18.0,False,False,(58; 76; 192),808
218.0,0.0,18.0,False,False,(58; 76; 192),808
219.0,0.0,18.0,False,False,(58; 76; 192),808
220.0,0.0,18.0,False,False,(58; 76; 192),808
221.0,0.0,18.0,False,False,(58; 76; 192),808
222.0,0.0,18.0,False,False,(58; 76; 192),808
223.0,0.0,18.0,False,False,(58; 76; 192),808
224.0,0.0,18.0,False,False,(58; 76; 192),808
225.0,0.0,18.0,False,False,(58; 76; 192),808
226.0,0.0,18.0,False,False,(58; 76; 192),808
227.0,0.0,18.0,False,False,(58; 76; 192),808
228.0,0.0,18.0,False,False,(58; 76; 192),808
229.0,0.0,18.0,False,False,(58; 76; 192),808
