minute_idx,PersonenAnzahl,temp,in_usage,heating,rgb_value,next_person_enters
0.0,0.0,18.0,False,False,(58; 76; 192),760
1.0,0.0,18.0,False,False,(58; 76; 192),760
2.0,0.0,18.0,False,False,(58; 76; 192),760
3.0,0.0,18.0,False,False,(58; 76; 192),760
4.0,0.0,18.0,False,False,(58; 76; 192),760
5.0,0.0,18.0,False,False,(58; 76; 192),760
6.0,0.0,18.0,False,False,(58; 76; 192),760
7.0,0.0,18.0,False,False,(58; 76; 192),760
8.0,0.0,18.0,False,False,(58; 76; 192),760
9.0,0.0,18.0,False,False,(58; 76; 192),760
10.0,0.0,18.0,False,False,(58; 76; 192),760
11.0,0.0,18.0,False,False,(58; 76; 192),760
12.0,0.0,18.0,False,False,(58; 76; 192),760
13.0,0.0,18.0,False,False,(58; 76; 192),760
14.0,0.0,18.0,False,False,(58; 76; 192),760
15.0,0.0,18.0,False,False,(58; 76; 192),760
16.0,0.0,18.0,False,False,(58; 76; 192),760
17.0,0.0,18.0,False,False,(58; 76; 192),760
18.0,0.0,18.0,False,False,(58; 76; 192),760
19.0,0.0,18.0,False,False,(58; 76; 192),760
20.0,0.0,18.0,False,False,(58; 76; 192),760
21.0,0.0,18.0,False,False,(58; 76; 192),760
22.0,0.0,18.0,False,False,(58; 76; 192),760
23.0,0.0,18.0,False,False,(58; 76; 192),760
24.0,0.0,18.0,False,False,(58; 76; 192),760
25.0,0.0,18.0,False,False,(58; 76; 192),760
26.0,0.0,18.0,False,False,(58; 76; 192),760
27.0,0.0,18.0,False,False,(58; 76; 192),760
28.0,0.0,18.0,False,False,(58; 76; 192),760
29.0,0.0,18.0,False,False,(58; 76; 192),760
30.0,0.0,18.0,False,False,(58; 76; 192),760
31.0,0.0,18.0,False,False,(58; 76; 192),760
32.0,0.0,18.0,False,False,(58; 76; 192),760
33.0,0.0,18.0,False,False,(58; 76; 192),760
34.0,0.0,18.0,False,False,(58; 76; 192),760
35.0,0.0,18.0,False,False,(58; 76; 192),760
36.0,0.0,18.0,False,False,(58; 76; 192),760
37.0,0.0,18.0,False,False,(58; 76; 192),760
38.0,0.0,18.0,False,False,(58; 76; 192),760
39.0,0.0,18.0,False,False,(58; 76; 192),760
40.0,0.0,18.0,False,False,(58; 76; 192),760
41.0,0.0,18.0,False,False,(58; 76; 192),760
42.0,0.0,18.0,False,False,(58; 76; 192),760
43.0,0.0,18.0,False,False,(58; 76; 192),760
44.0,0.0,18.0,False,False,(58; 76; 192),760
45.0,0.0,18.0,False,False,(58; 76; 192),760
46.0,0.0,18.0,False,False,(58; 76; 192),760
47.0,0.0,18.0,False,False,(58; 76; 192),760
48.0,0.0,18.0,False,False,(58; 76; 192),760
49.0,0.0,18.0,False,False,(58; 76; 192),760
50.0,0.0,18.0,False,False,(58; 76; 192),760
51.0,0.0,18.0,False,False,(58; 76; 192),760
52.0,0.0,18.0,False,False,(58; 76; 192),760
53.0,0.0,18.0,False,False,(58; 76; 192),760
54.0,0.0,18.0,False,False,(58; 76; 192),760
55.0,0.0,18.0,False,False,(58; 76; 192),760
56.0,0.0,18.0,False,False,(58; 76; 192),760
57.0,0.0,18.0,False,False,(58; 76; 192),760
58.0,0.0,18.0,False,False,(58; 76; 192),760
59.0,0.0,18.0,False,False,(58; 76; 192),760
60.0,0.0,18.0,False,False,(58; 76; 192),760
61.0,0.0,18.0,False,False,(58; 76; 192),760
62.0,0.0,18.0,False,False,(58; 76; 192),760
63.0,0.0,18.0,False,False,(58; 76; 192),760
64.0,0.0,18.0,False,False,(58; 76; 192),760
65.0,0.0,18.0,False,False,(58; 76; 192),760
66.0,0.0,18.0,False,False,(58; 76; 192),760
67.0,0.0,18.0,False,False,(58; 76; 192),760
68.0,0.0,18.0,False,False,(58; 76; 192),760
69.0,0.0,18.0,False,False,(58; 76; 192),760
70.0,0.0,18.0,False,False,(58; 76; 192),760
71.0,0.0,18.0,False,False,(58; 76; 192),760
72.0,0.0,18.0,False,False,(58; 76; 192),760
73.0,0.0,18.0,False,False,(58; 76; 192),760
74.0,0.0,18.0,False,False,(58; 76; 192),760
75.0,0.0,18.0,False,False,(58; 76; 192),760
76.0,0.0,18.0,False,False,(58; 76; 192),760
77.0,0.0,18.0,False,False,(58; 76; 192),760
78.0,0.0,18.0,False,False,(58; 76; 192),760
79.0,0.0,18.0,False,False,(58; 76; 192),760
80.0,0.0,18.0,False,False,(58; 76; 192),760
81.0,0.0,18.0,False,False,(58; 76; 192),760
82.0,0.0,18.0,False,False,(58; 76; 192),760
83.0,0.0,18.0,False,False,(58; 76; 192),760
84.0,0.0,18.0,False,False,(58; 76; 192),760
85.0,0.0,18.0,False,False,(58; 76; 192),760
86.0,0.0,18.0,False,False,(58; 76; 192),760
87.0,0.0,18.0,False,False,(58; 76; 192),760
88.0,0.0,18.0,False,False,(58; 76; 192),760
89.0,0.0,18.0,False,False,(58; 76; 192),760
90.0,0.0,18.0,False,False,(58; 76; 192),760
91.0,0.0,18.0,False,False,(58; 76; 192),760
92.0,0.0,18.0,False,False,(58; 76; 192),760
93.0,0.0,18.0,False,False,(58; 76; 192),760
94.0,0.0,18.0,False,False,(58; 76; 192),760
95.0,0.0,18.0,False,False,(58; 76; 192),760
96.0,0.0,18.0,False,False,(58; 76; 192),760
97.0,0.0,18.0,False,False,(58; 76; 192),760
98.0,0.0,18.0,False,False,(58; 76; 192),760
99.0,0.0,18.0,False,False,(58; 76; 192),760
100.0,0.0,18.0,False,False,(58; 76; 192),760
101.0,0.0,18.0,False,False,(58; 76; 192),760
102.0,0.0,18.0,False,False,(58; 76; 192),760
103.0,0.0,18.0,False,False,(58; 76; 192),760
104.0,0.0,18.0,False,False,(58; 76; 192),760
105.0,0.0,18.0,False,False,(58; 76; 192),760
106.0,0.0,18.0,False,False,(58; 76; 192),760
107.0,0.0,18.0,False,False,(58; 76; 192),760
108.0,0.0,18.0,False,False,(58; 76; 192),760
109.0,0.0,18.0,False,False,(58; 76; 192),760
110.0,0.0,18.0,False,False,(58; 76; 192),760
111.0,0.0,18.0,False,False,(58; 76; 192),760
112.0,0.0,18.0,False,False,(58; 76; 192),760
113.0,0.0,18.0,False,False,(58; 76; 192),760
114.0,0.0,18.0,False,False,(58; 76; 192),760
115.0,0.0,18.0,False,False,(58; 76; 192),760
116.0,0.0,18.0,False,False,(58; 76; 192),760
117.0,0.0,18.0,False,False,(58; 76; 192),760
118.0,0.0,18.0,False,False,(58; 76; 192),760
119.0,0.0,18.0,False,False,(58; 76; 192),760
120.0,0.0,18.0,False,False,(58; 76; 192),760
121.0,0.0,18.0,False,False,(58; 76; 192),760
122.0,0.0,18.0,False,False,(58; 76; 192),760
123.0,0.0,18.0,False,False,(58; 76; 192),760
124.0,0.0,18.0,False,False,(58; 76; 192),760
125.0,0.0,18.0,False,False,(58; 76; 192),760
126.0,0.0,18.0,False,False,(58; 76; 192),760
127.0,0.0,18.0,False,False,(58; 76; 192),760
128.0,0.0,18.0,False,False,(58; 76; 192),760
129.0,0.0,18.0,False,False,(58; 76; 192),760
130.0,0.0,18.0,False,False,(58; 76; 192),760
131.0,0.0,18.0,False,False,(58; 76; 192),760
132.0,0.0,18.0,False,False,(58; 76; 192),760
133.0,0.0,18.0,False,False,(58; 76; 192),760
134.0,0.0,18.0,False,False,(58; 76; 192),760
135.0,0.0,18.0,False,False,(58; 76; 192),760
136.0,0.0,18.0,False,False,(58; 76; 192),760
137.0,0.0,18.0,False,False,(58; 76; 192),760
138.0,0.0,18.0,False,False,(58; 76; 192),760
139.0,0.0,18.0,False,False,(58; 76; 192),760
140.0,0.0,18.0,False,False,(58; 76; 192),760
141.0,0.0,18.0,False,False,(58; 76; 192),760
142.0,0.0,18.0,False,False,(58; 76; 192),760
143.0,0.0,18.0,False,False,(58; 76; 192),760
144.0,0.0,18.0,False,False,(58; 76; 192),760
